
[00:00:00.000 --> 00:00:03.000]  頂刺滅口的時候我們的信心
[00:00:03.000 --> 00:00:06.000]  往往會建基在一些我們所信任
[00:00:06.000 --> 00:00:10.000]  或者我們認為他是專家的人的說話當中
[00:00:10.000 --> 00:00:14.000]  甚至有時候我們會看外在的環境
[00:00:14.000 --> 00:00:16.000]  我們可以拿捏的一些東西
[00:00:16.000 --> 00:00:19.000]  甚至我們看到環境好像有曙光的時候
[00:00:19.000 --> 00:00:24.000]  我們就對那個事情對前面充滿信心
[00:00:24.000 --> 00:00:28.000]  但曾經何時我們看到這些所謂我們可以拿捏的東西
[00:00:28.000 --> 00:00:30.000]  我們認為的曙光
[00:00:30.000 --> 00:00:35.000]  事實上告訴你不一定有絕對的保證
[00:00:35.000 --> 00:00:37.000]  對於我們信徒來說
[00:00:37.000 --> 00:00:40.000]  往往有時候我們經歷的另一回事
[00:00:40.000 --> 00:00:42.000]  就是我們所信的上帝
[00:00:42.000 --> 00:00:48.000]  他在我們生命裡面往往擺在一些我們沒辦法察覺的事情
[00:00:48.000 --> 00:00:51.000]  甚至他的帶領他的安排
[00:00:51.000 --> 00:00:54.000]  是我們意想不到想都想不到的
[00:00:54.000 --> 00:00:57.000]  真是我們的上帝是一位獨行其事的上帝
[00:00:57.000 --> 00:01:00.000]  不過最考驗我們的莫過於
[00:01:00.000 --> 00:01:06.000]  有時候他會將我們擺在一個好像絕望的境地裡面
[00:01:06.000 --> 00:01:10.000]  使我們信徒對我們的信心
[00:01:10.000 --> 00:01:14.000]  一個很大的挑戰和考驗
[00:01:14.000 --> 00:01:17.000]  有些弟妹面對這樣的光景
[00:01:17.000 --> 00:01:19.000]  可能會埋怨
[00:01:19.000 --> 00:01:21.000]  可能會重新思想
[00:01:21.000 --> 00:01:25.000]  我所信的上帝是否真是存活的上帝
[00:01:25.000 --> 00:01:30.000]  但何時我們有一份完全的信靠
[00:01:30.000 --> 00:01:33.000]  我們就在這個絕景裡面
[00:01:33.000 --> 00:01:35.000]  去經歷上帝的帶領
[00:01:35.000 --> 00:01:40.000]  甚至他奇妙又為我們好處而所成就的事情
[00:01:40.000 --> 00:01:44.000]  根據無敵神學手冊
[00:01:44.000 --> 00:01:49.000]  他對信心表達有三種的情況
[00:01:49.000 --> 00:01:53.000]  他的信心包括得救的信心
[00:01:53.000 --> 00:01:56.000]  當我們信耶穌的時候我們需要一個得救的信心
[00:01:56.000 --> 00:01:59.000]  接受耶穌做救主這是第一步
[00:01:59.000 --> 00:02:02.000]  當我們信耶穌之後我們需要第二個信心
[00:02:02.000 --> 00:02:04.000]  就叫做得性的信心
[00:02:04.000 --> 00:02:06.000]  在我們基督徒的生活裡面
[00:02:06.000 --> 00:02:08.000]  我們要面對這個世界
[00:02:08.000 --> 00:02:11.000]  面對其中很多的試煉的時候
[00:02:11.000 --> 00:02:16.000]  我們需要有一份得性這個誘惑的信心
[00:02:16.000 --> 00:02:22.000]  我們能不能夠做到人在江湖身得由己呢
[00:02:22.000 --> 00:02:25.000]  我們能不能夠朝著這位行公義
[00:02:25.000 --> 00:02:29.000]  好憐憫的上帝與他同行的信心
[00:02:29.000 --> 00:02:32.000]  以致我們能夠勝過一切的考驗呢
[00:02:32.000 --> 00:02:35.000]  第三個信心是很重要的
[00:02:35.000 --> 00:02:37.000]  也是我們期盼的
[00:02:37.000 --> 00:02:40.000]  就是那份全被的信心
[00:02:40.000 --> 00:02:43.000]  所有的信心的意思
[00:02:43.000 --> 00:02:45.000]  沒錯
[00:02:45.000 --> 00:02:49.000]  我們真的不知道上帝為什麼會容許這件事在我生命裡面
[00:02:49.000 --> 00:02:51.000]  或者在我身邊的人身上
[00:02:51.000 --> 00:02:52.000]  我不明白
[00:02:52.000 --> 00:02:53.000]  我現在很淒涼
[00:02:53.000 --> 00:02:56.000]  我現在好像在絕境的裡面
[00:02:56.000 --> 00:02:58.000]  但是我能不能夠相信
[00:02:58.000 --> 00:03:02.000]  我的上帝是為我的好處呢
[00:03:02.000 --> 00:03:04.000]  我能不能夠相信你是我的主
[00:03:04.000 --> 00:03:07.000]  我的好處不在你以外呢
[00:03:07.000 --> 00:03:09.000]  當我們願意這樣去相信
[00:03:09.000 --> 00:03:10.000]  投靠的時候
[00:03:10.000 --> 00:03:13.000]  就好像小朋友完全投靠他的父母
[00:03:13.000 --> 00:03:16.000]  我們就看到上帝的榮耀
[00:03:16.000 --> 00:03:17.000]  權能
[00:03:17.000 --> 00:03:20.000]  甚至我們想都想不到的神蹟
[00:03:20.000 --> 00:03:22.000]  希伯來書的作者告訴我們
[00:03:22.000 --> 00:03:26.000]  信就是對所盼望的事的把握
[00:03:26.000 --> 00:03:30.000]  是還沒有看見事的明證
[00:03:30.000 --> 00:03:32.000]  主耶穌也說
