
[00:00:00.000 --> 00:00:05.120]  上星期我們說到雅各為了爭奪祝福
[00:00:05.120 --> 00:00:10.720]  欺騙了父親 傷害了哥哥的心
[00:00:10.720 --> 00:00:14.640]  最後他被迫逃離家園
[00:00:14.640 --> 00:00:18.720]  今天我們來到雅各故事的第二部曲
[00:00:18.720 --> 00:00:23.600]  雅各帶著他的小聰明 帶著他的所有東西
[00:00:23.600 --> 00:00:27.520]  他就長途跋涉 去到哈蘭這個地方
[00:00:27.520 --> 00:00:30.640]  投靠他的舅父拉班
[00:00:30.640 --> 00:00:36.000]  雅各本身以為離開了家 離開了那麼憤怒的哥哥
[00:00:36.000 --> 00:00:38.960]  就可以高枕無憂
[00:00:38.960 --> 00:00:41.200]  但是他萬萬估不到
[00:00:41.200 --> 00:00:46.080]  他在哈蘭將會遇到一個比他更加懂得計算
[00:00:46.080 --> 00:00:50.880]  更加貪婪 更加懂得利用人性的對手
[00:00:50.880 --> 00:00:54.400]  他的舅父拉班
[00:00:54.400 --> 00:00:57.680]  如果我們看完首部曲的時候
[00:00:57.680 --> 00:01:00.720]  我們覺得雅各是一個欺騙的人
[00:01:00.720 --> 00:01:04.880]  拉班就是一個欺騙者的師父
[00:01:04.880 --> 00:01:07.440]  在哈蘭的這二十年
[00:01:07.440 --> 00:01:10.000]  雅各彷彿好像照鏡一樣
[00:01:10.000 --> 00:01:18.480]  他就在拉班身上看到一個曾經充滿著詭詐的自己
[00:01:18.480 --> 00:01:23.120]  這段日子是雅各生命裡面一個很漫長
[00:01:23.120 --> 00:01:26.560]  很痛苦的一個職場生涯
[00:01:26.560 --> 00:01:33.600]  也是神對他的生命一個很深刻的拆毀和重建
[00:01:33.600 --> 00:01:38.000]  今天就讓我們透過雅各在哈蘭的三個回合
[00:01:38.000 --> 00:01:42.000]  我們看看神如何在人受委屈的時候
[00:01:42.000 --> 00:01:44.160]  受欺壓的時候
[00:01:44.160 --> 00:01:46.560]  神仍然掌權
[00:01:46.560 --> 00:01:52.080]  人又是如何在中間被更新和改變
[00:01:52.080 --> 00:01:56.320]  在第一個片段我們看到逃離家鄉的雅各
[00:01:56.320 --> 00:01:58.720]  來到東方的哈蘭
[00:01:58.720 --> 00:02:04.160]  他在井旁遇見了讓他一見鍾情的拉傑
[00:02:04.160 --> 00:02:05.680]  為了娶拉傑
[00:02:05.680 --> 00:02:09.680]  雅各甘願跟拉班說
[00:02:09.680 --> 00:02:14.960]  我甘願為舅父拉班打七年的工
[00:02:14.960 --> 00:02:17.600]  創世紀二十九章二十節
[00:02:17.600 --> 00:02:19.920]  剛才大家讀到一字的經文
[00:02:19.920 --> 00:02:22.480]  是一個很浪漫的描述
[00:02:22.480 --> 00:02:26.320]  雅各為拉傑服侍了七年
[00:02:26.320 --> 00:02:28.880]  他因為深愛拉傑
[00:02:28.880 --> 00:02:32.720]  視這七年如同幾日
[00:02:32.720 --> 00:02:37.840]  一個多麼浪漫的人
[00:02:37.840 --> 00:02:39.360]  因為深愛拉傑
[00:02:39.360 --> 00:02:41.680]  看七年如同幾日
[00:02:41.680 --> 00:02:44.000]  你有沒有試過深愛一個人
[00:02:44.000 --> 00:02:46.800]  看七年如同幾日呢?
[00:02:46.800 --> 00:02:48.720]  七年期滿了
[00:02:48.720 --> 00:02:51.040]  婚禮就舉行了
[00:02:51.040 --> 00:02:56.400]  拉班按照承諾舉辦現席
[00:02:56.400 --> 00:02:58.720]  舉辦婚禮
[00:02:58.720 --> 00:03:02.160]  在沒有電燈的古代夜晚
[00:03:02.160 --> 00:03:06.640]  拉班將女兒送到雅各的新房
[00:03:06.640 --> 00:03:08.960]  雅各滿心歡喜
[00:03:08.960 --> 00:03:11.120]  完成了婚禮
[00:03:11.120 --> 00:03:17.280]  然而創世紀帶給我們一句極之衝擊
[00:03:17.280 --> 00:03:19.840]  極之戲劇性的記載
[00:03:19.840 --> 00:03:20.800]  到了早上
[00:03:20.800 --> 00:03:23.680]  雅各一看是莉雅
[00:03:23.680 --> 00:03:25.600]  我們試想像一下
[00:03:25.600 --> 00:03:29.440]  雅各當時是多麼崩潰
[00:03:29.440 --> 00:03:32.400]  他付出了七年的青春
