
[00:00:00.000 --> 00:00:06.000]  在紐西蘭有一個很特別的地方
[00:00:06.000 --> 00:00:09.000]  陽光非常好 土地很肥沃
[00:00:09.000 --> 00:00:12.000]  所以很多人都種各樣不同的東西
[00:00:12.000 --> 00:00:17.000]  有些人種菜 有些人種花 有些人種果樹
[00:00:17.000 --> 00:00:21.000]  在我旁邊就有兩棵辣椒
[00:00:21.000 --> 00:00:24.000]  這兩棵辣椒都很不同
[00:00:24.000 --> 00:00:26.000]  在我旁邊這一棵綠色的
[00:00:26.000 --> 00:00:31.000]  比較圓的小的就叫做California Wonder
[00:00:31.000 --> 00:00:34.000]  是一個辣椒的品種
[00:00:34.000 --> 00:00:39.000]  另外旁邊就有些紅色的辣椒
[00:00:39.000 --> 00:00:44.000]  這種紅色的辣椒叫做Lunchbox Red
[00:00:44.000 --> 00:00:47.000]  就是說可以整個紅辣椒
[00:00:47.000 --> 00:00:52.000]  等到為小朋友預備的那些lunchbox那裡
[00:00:52.000 --> 00:00:54.000]  因為這裡的小朋友
[00:00:54.000 --> 00:01:01.000]  上學是媽媽在家裡幫他們弄好一個餐盒
[00:01:01.000 --> 00:01:04.000]  因為這裡的西人不吃飯
[00:01:04.000 --> 00:01:08.000]  所以很多時候是一些三明治 餅乾
[00:01:08.000 --> 00:01:12.000]  曲奇 一些香腸 一些火腿
[00:01:12.000 --> 00:01:16.000]  一些雜蛋 給小朋友帶回學校吃
[00:01:16.000 --> 00:01:21.000]  他們全部人就拿自己的lunchbox出來吃
[00:01:21.000 --> 00:01:24.000]  這些小朋友就會交換
[00:01:24.000 --> 00:01:29.000]  你旁邊的那個三明治可以請我吃一點嗎
[00:01:29.000 --> 00:01:30.000]  我就請你吃一點
[00:01:30.000 --> 00:01:32.000]  所以他們很開心的
[00:01:32.000 --> 00:01:35.000]  一起在學校裡面吃lunch
[00:01:35.000 --> 00:01:41.000]  這些品種的辣椒有不同種植的時間
[00:01:41.000 --> 00:01:44.000]  我就在這裡學了
[00:01:44.000 --> 00:01:50.000]  原來這個月份是最好種辣椒的時候
[00:01:50.000 --> 00:01:56.000]  種了之後 大概可能三到五個禮拜就會收成
[00:01:56.000 --> 00:01:59.000]  所以我旁邊這棵紅辣椒
[00:01:59.000 --> 00:02:04.000]  差不多可以剪下來給老婆去炒菜
[00:02:04.000 --> 00:02:08.000]  所以是很開心的
[00:02:08.000 --> 00:02:11.000]  當你看到辣椒收成的時候
[00:02:11.000 --> 00:02:14.000]  你那種興奮的程度 真的很難得
[00:02:14.000 --> 00:02:16.000]  我又有辣椒吃了
[00:02:16.000 --> 00:02:20.000]  不用外出買 自己在家裡種就行了
[00:02:20.000 --> 00:02:23.000]  所以有些人在他的後花園
[00:02:23.000 --> 00:02:26.000]  種了很多辣椒 番茄
[00:02:26.000 --> 00:02:30.000]  如果夏天可以種strawberry
[00:02:30.000 --> 00:02:33.000]  bulberry等等不同的東西
[00:02:33.000 --> 00:02:36.000]  我太太以前都說
[00:02:36.000 --> 00:02:39.000]  她後院有一棵果樹
[00:02:39.000 --> 00:02:43.000]  可以種一些檸檬出來
[00:02:43.000 --> 00:02:46.000]  在我旁邊的後院
[00:02:46.000 --> 00:02:49.000]  真的有一棵很大的檸檬樹
[00:02:49.000 --> 00:02:51.000]  有時候看看樹上
[00:02:51.000 --> 00:02:54.000]  起碼有四五十個檸檬
[00:02:54.000 --> 00:02:57.000]  可以去派給別人
[00:02:57.000 --> 00:03:01.000]  所以原來聖經裡面有一個準則
[00:03:01.000 --> 00:03:02.000]  是很重要的
[00:03:02.000 --> 00:03:05.000]  最人種的是什麼
[00:03:05.000 --> 00:03:08.000]  收的又是什麼
[00:03:08.000 --> 00:03:09.000]  你試想一下
[00:03:09.000 --> 00:03:12.000]  如果我種菜 是種生菜
[00:03:12.000 --> 00:03:15.000]  那他一定會生菜出來
[00:03:15.000 --> 00:03:17.000]  不會生了菠菜
[00:03:17.000 --> 00:03:19.000]  不會生了菜心
[00:03:19.000 --> 00:03:22.000]  因為你種的是什麼種
[00:03:22.000 --> 00:03:25.000]  就會種什麼出來
[00:03:25.000 --> 00:03:29.000]  這個原則其實不只是對我們基督徒有用
[00:03:29.000 --> 00:03:33.000]  對那些未信耶穌的人
[00:03:33.000 --> 00:03:34.000]  都一樣有用
[00:03:34.000 --> 00:03:37.000]  人種什麼就收什麼
[00:03:37.000 --> 00:03:39.000]  如果你喜歡賭錢
[00:03:39.000 --> 00:03:42.000]  那你的後果一定很慘
[00:03:42.000 --> 00:03:45.000]  你會輸光很多的錢
[00:03:45.000 --> 00:03:49.000]  你會浪費生命很多的精力在賭博上
[00:03:49.000 --> 00:03:53.000]  還有賭博是不勞而獲
[00:03:53.000 --> 00:03:55.000]  一個貪念
[00:03:55.000 --> 00:03:58.000]  一個博一鋪的樣子
[00:03:58.000 --> 00:04:00.000]  一個心態
[00:04:00.000 --> 00:04:02.000]  所以是很不健康的
[00:04:02.000 --> 00:04:07.000]  有無數的人中了賭博的毒
[00:04:07.000 --> 00:04:10.000]  不單止財破
[00:04:10.000 --> 00:04:14.000]  甚至連家庭都會破碎
[00:04:14.000 --> 00:04:17.000]  所以人種什麼收什麼
[00:04:17.000 --> 00:04:19.000]  是一個定律
[00:04:19.000 --> 00:04:21.000]  所有人都適用
[00:04:21.000 --> 00:04:23.000]  第二
[00:04:23.000 --> 00:04:27.000]  人種的是什麼種
[00:04:27.000 --> 00:04:29.000]  就收什麼
[00:04:29.000 --> 00:04:30.000]  就剛才我都說了
[00:04:30.000 --> 00:04:32.000]  你種辣椒就收辣椒
[00:04:32.000 --> 00:04:34.000]  種番茄就收番茄
[00:04:34.000 --> 00:04:37.000]  第三人種什麼
[00:04:37.000 --> 00:04:40.000]  收的是會更多的
[00:04:40.000 --> 00:04:44.000]  那棵紅色的辣椒
[00:04:44.000 --> 00:04:47.000]  剛才跟師母在數
[00:04:47.000 --> 00:04:52.000]  起碼樹上超過九個辣椒
[00:04:52.000 --> 00:04:56.000]  好像聖靈所見的九個果子一樣
[00:04:56.000 --> 00:04:59.000]  種出來沒想過是這麼多的
[00:04:59.000 --> 00:05:01.000]  有時候它會開花
[00:05:01.000 --> 00:05:04.000]  當花結實的時候
[00:05:04.000 --> 00:05:07.000]  就會慢慢慢慢長成辣椒
[00:05:07.000 --> 00:05:11.000]  所以聖經耶穌都說過一個殺種的比喻
[00:05:11.000 --> 00:05:14.000]  有一個農夫在路旁殺種
[00:05:14.000 --> 00:05:19.000]  有些種落在路旁就會死了
[00:05:19.000 --> 00:05:22.000]  有些落在淺土地上
[00:05:22.000 --> 00:05:25.000]  一長出來被太陽曬又死了
[00:05:25.000 --> 00:05:27.000]  有些落在荊棘裡面
[00:05:27.000 --> 00:05:31.000]  被荊棘包圍住又長不出來
[00:05:31.000 --> 00:05:35.000]  唯有落在好土裡面
[00:05:35.000 --> 00:05:37.000]  那些種子就成長了
[00:05:37.000 --> 00:05:40.000]  有三十倍
[00:05:40.000 --> 00:05:42.000]  六十倍
[00:05:42.000 --> 00:05:44.000]  有一百倍的
[00:05:44.000 --> 00:05:46.000]  原來你種一粒種子
[00:05:46.000 --> 00:05:50.000]  是會很多收成的
[00:05:50.000 --> 00:05:53.000]  你想想那些農夫把種子一殺
[00:05:53.000 --> 00:05:55.000]  殺到田裡
[00:05:55.000 --> 00:05:59.000]  現代的農夫全部機械化
[00:05:59.000 --> 00:06:03.000]  找一部車把種子殺出去
[00:06:03.000 --> 00:06:05.000]  加很快
[00:06:05.000 --> 00:06:07.000]  或者加一段時間
[00:06:07.000 --> 00:06:09.000]  那些種子就開始成長
[00:06:09.000 --> 00:06:11.000]  當然他要去料理
[00:06:11.000 --> 00:06:13.000]  要除雜草
[00:06:13.000 --> 00:06:15.000]  要施肥
[00:06:15.000 --> 00:06:19.000]  要看著那些作物的成長
[00:06:19.000 --> 00:06:23.000]  看看你種的是什麼
[00:06:23.000 --> 00:06:26.000]  如果你種的菊
[00:06:26.000 --> 00:06:28.000]  種的和
[00:06:28.000 --> 00:06:29.000]  種的米
[00:06:29.000 --> 00:06:32.000]  整個米是一個田
[00:06:32.000 --> 00:06:36.000]  在紐西蘭就有很多那些粟米田
[00:06:36.000 --> 00:06:39.000]  很大片的粟米田
[00:06:39.000 --> 00:06:41.000]  真的大到不得了
[00:06:41.000 --> 00:06:46.000]  就找一部車去收割那些成熟的粟米
[00:06:46.000 --> 00:06:47.000]  我不是農夫
[00:06:47.000 --> 00:06:52.000]  我不知道種粟米要多久才有收成
[00:06:52.000 --> 00:06:55.000]  但一個有經驗的農夫
[00:06:55.000 --> 00:06:57.000]  他知道一年之內
[00:06:57.000 --> 00:07:01.000]  粟米會收成兩株三株
[00:07:01.000 --> 00:07:06.000]  種米會收成一株或者兩株
[00:07:06.000 --> 00:07:11.000]  有些農夫就按照他那個土地的狀況
[00:07:11.000 --> 00:07:17.000]  可以將不同的品種種在他的地上
[00:07:17.000 --> 00:07:20.000]  剛剛這一季種完粟米
[00:07:20.000 --> 00:07:24.000]  下一季就換別的東西或者種薯仔
[00:07:24.000 --> 00:07:27.000]  然後下一季又再種什麼
[00:07:27.000 --> 00:07:31.000]  於是到時候就收成
[00:07:31.000 --> 00:07:35.000]  原來神都是叫我們的生命
[00:07:35.000 --> 00:07:38.000]  我們要種一些東西下去
[00:07:38.000 --> 00:07:41.000]  當你種了一些東西的時候
[00:07:41.000 --> 00:07:45.000]  那個收成可能是很豐富
[00:07:45.000 --> 00:07:46.000]  很豐富
[00:07:46.000 --> 00:07:49.000]  超過你所求所想
[00:07:49.000 --> 00:07:54.000]  你種的不只是兩倍四倍八倍
[00:07:54.000 --> 00:07:56.000]  這樣的收成
[00:07:56.000 --> 00:08:01.000]  原來人種什麼就收什麼
[00:08:01.000 --> 00:08:04.000]  如果你將一些愛心
[00:08:04.000 --> 00:08:08.000]  種在一些有需要的人心裡
[00:08:08.000 --> 00:08:13.000]  那些人永遠記得你
[00:08:13.000 --> 00:08:14.000]  我都記得有一次
[00:08:14.000 --> 00:08:19.000]  有一次和師母在一個商場逛街
[00:08:19.000 --> 00:08:22.000]  前面有個姐妹走過來
[00:08:22.000 --> 00:08:25.000]  她就好像大家都在猜
[00:08:25.000 --> 00:08:27.000]  你是不是誰
[00:08:27.000 --> 00:08:29.000]  師母又好像認得她
[00:08:29.000 --> 00:08:30.000]  你是不是誰
[00:08:30.000 --> 00:08:33.000]  結果說出大家的名字
[00:08:33.000 --> 00:08:37.000]  她說真的很久沒見
[00:08:37.000 --> 00:08:42.000]  原來這個是一個學生的家長
[00:08:42.000 --> 00:08:48.000]  因為師母以前幫一些學生補習數學
[00:08:48.000 --> 00:08:52.000]  所以很多人就來她家補習
[00:08:52.000 --> 00:08:55.000]  由於師母對學生很好
[00:08:55.000 --> 00:08:57.000]  又帶他們回教會
[00:08:57.000 --> 00:08:59.000]  跟他們講耶穌
[00:08:59.000 --> 00:09:03.000]  所以學生很喜歡來師母這裏補習
[00:09:03.000 --> 00:09:07.000]  那些家長很感激
[00:09:07.000 --> 00:09:09.000]  有個這麼好的老師
[00:09:09.000 --> 00:09:11.000]  教他的孩子
[00:09:11.000 --> 00:09:13.000]  讓他們可以成長
[00:09:13.000 --> 00:09:14.000]  讓他們學業有進步
[00:09:14.000 --> 00:09:16.000]  所以那種恩典
[00:09:16.000 --> 00:09:18.000]  那種愛
[00:09:18.000 --> 00:09:20.000]  那種關懷
[00:09:20.000 --> 00:09:24.000]  種進去一個土壤裏面
[00:09:24.000 --> 00:09:27.000]  就會結出果子磷
[00:09:27.000 --> 00:09:29.000]  原來我們很需要
[00:09:29.000 --> 00:09:32.000]  將愛施出去
[00:09:32.000 --> 00:09:35.000]  將恩典施出去
[00:09:35.000 --> 00:09:39.000]  幫助那些有需要的人
[00:09:39.000 --> 00:09:41.000]  其實我們不是為了回報
[00:09:41.000 --> 00:09:44.000]  我們絕對沒有這樣的意念
[00:09:44.000 --> 00:09:46.000]  不過只是你及時
[00:09:46.000 --> 00:09:50.000]  作在一個有需要的人身上
[00:09:50.000 --> 00:09:51.000]  聖經耶穌說
[00:09:51.000 --> 00:09:54.000]  就作在我的身上
[00:09:54.000 --> 00:09:57.000]  你看到一個口乾的人
[00:09:57.000 --> 00:10:01.000]  你給他一杯涼水
[00:10:01.000 --> 00:10:03.000]  你看到一個人沒有衣服穿
[00:10:03.000 --> 00:10:05.000]  你給他一件衣服穿
[00:10:05.000 --> 00:10:07.000]  你看到一個人肚子餓
[00:10:07.000 --> 00:10:10.000]  你只給他一個麵包吃
[00:10:10.000 --> 00:10:15.000]  你就作在主耶穌的身上
[00:10:15.000 --> 00:10:16.000]  所以各位提醒姐妹
[00:10:16.000 --> 00:10:18.000]  讓我們不要吝嗇
[00:10:18.000 --> 00:10:22.000]  讓我們真的及時去行善
[00:10:22.000 --> 00:10:25.000]  當你看到周圍有需要的人的時候
[00:10:25.000 --> 00:10:27.000]  讓我們伸出我們的手
[00:10:27.000 --> 00:10:28.000]  去幫他們
