
[00:00:00.000 --> 00:00:01.940]  各位電影姐妹,平安
[00:00:01.940 --> 00:00:07.300]  有一個很舊的笑話,可能大家都聽過
[00:00:07.300 --> 00:00:11.440]  我略略改變一下內容,跟大家說一下
[00:00:11.440 --> 00:00:16.040]  話說很久之前,有一間鄉村教會
[00:00:16.040 --> 00:00:23.520]  那裡的牧師為了吸引村民到教會聚會
[00:00:23.520 --> 00:00:29.160]  在那間教會的外牆寫了六個大字
[00:00:29.760 --> 00:00:34.440]  如是者,過了一段很長的時間
[00:00:34.440 --> 00:00:39.680]  經過很多的年月,經過雨水的沖洗
[00:00:39.680 --> 00:00:43.840]  有些字開始褪色了
[00:00:43.840 --> 00:00:48.440]  有一天,有一個農夫來到這間教會裡面
[00:00:48.440 --> 00:00:52.160]  他參加完崇拜之後,仍然留下來
[00:00:52.160 --> 00:00:55.840]  那位牧師看到他留下來,就跟他聊天
[00:00:56.200 --> 00:01:00.800]  心想,這位新朋友,這麼追求
[00:01:00.800 --> 00:01:08.400]  牧師就把握機會,有感動,就帶領他去信耶穌
[00:01:08.400 --> 00:01:14.000]  這位農夫也跟著牧師去祈禱
[00:01:14.000 --> 00:01:17.240]  去決志信耶穌
[00:01:17.240 --> 00:01:19.760]  祈禱完之後,這位牧師又怎樣
[00:01:19.760 --> 00:01:24.400]  很開心地去祝福這位農夫
[00:01:24.760 --> 00:01:30.240]  亦邀請他下星期再回來教會聚會
[00:01:30.240 --> 00:01:35.840]  這位農夫聽完牧師的話,他仍然沒有離開
[00:01:35.840 --> 00:01:41.600]  他很期待的眼神,看著牧師
[00:01:41.600 --> 00:01:45.000]  好像在等牧師,還要跟他說些什麼
[00:01:45.000 --> 00:01:49.240]  這位牧師看到這位農夫,就問他
[00:01:49.240 --> 00:01:53.320]  你是不是還有其他需要
[00:01:54.040 --> 00:01:57.120]  這位農夫就跟著牧師說
[00:01:57.120 --> 00:02:04.560]  牧師,我看到你們教會外牆上寫了六個字
[00:02:04.560 --> 00:02:08.920]  你們說信耶穌,得水牛
[00:02:08.920 --> 00:02:11.440]  那我便來到教會
[00:02:11.440 --> 00:02:14.160]  剛好我家裡的水牛死了
[00:02:14.160 --> 00:02:17.120]  所以我便來信耶穌
[00:02:17.120 --> 00:02:18.640]  我剛才信了耶穌
[00:02:19.280 --> 00:02:24.200]  那我是否可以把水牛帶走?水牛在哪裡?
[00:02:24.200 --> 00:02:29.040]  可能有人聽過,或者類似
[00:02:29.040 --> 00:02:31.960]  當然這是一個笑話
[00:02:31.960 --> 00:02:38.080]  但是我們會不會跟這位農夫一樣
[00:02:38.080 --> 00:02:39.640]  比較關心水牛
[00:02:39.640 --> 00:02:42.240]  農夫關心水牛是因為
[00:02:42.240 --> 00:02:45.320]  水牛是牠們的生財工具
[00:02:45.320 --> 00:02:47.560]  對牠們的生活有很大的幫助
[00:02:48.240 --> 00:02:51.240]  我們信耶穌是關心永生的事情
[00:02:51.240 --> 00:02:55.240]  還是關心水牛的事情呢?
[00:02:55.240 --> 00:02:57.960]  你問羅牧師什麼是水牛
[00:02:57.960 --> 00:03:00.880]  水牛可能是我們現時的工作
[00:03:00.880 --> 00:03:02.440]  我們的前途
[00:03:02.440 --> 00:03:04.520]  我們的學習
[00:03:04.520 --> 00:03:05.600]  我們的成績
[00:03:05.600 --> 00:03:09.080]  或者是我們所關心的現在身體的狀況
[00:03:09.080 --> 00:03:12.040]  或者是我們家庭種種的需要
[00:03:12.040 --> 00:03:16.040]  今天的經文,司徒保羅想告訴我們
[00:03:16.040 --> 00:03:17.920]  我們信了耶穌之後
[00:03:18.400 --> 00:03:21.280]  我們的父神是很慷慨的
[00:03:21.280 --> 00:03:23.320]  將很多的福氣
[00:03:23.320 --> 00:03:25.160]  賜過給我們
[00:03:25.160 --> 00:03:28.960]  不單止是我們所關心的現時
[00:03:28.960 --> 00:03:32.040]  這些種種的我們所關心的事情
[00:03:32.040 --> 00:03:35.160]  所以,弟兄姊妹,我們一起先同心有個祈禱
[00:03:35.160 --> 00:03:36.800]  我們進入經文那裡
[00:03:36.800 --> 00:03:42.040]  神,我們感謝祢讓我們今天一起去敬拜侍奉祢
[00:03:42.040 --> 00:03:43.880]  祢招聚我們
[00:03:43.880 --> 00:03:46.080]  唯要是去敬拜
[00:03:46.080 --> 00:03:48.760]  唯要是去讓祢的話
[00:03:48.760 --> 00:03:51.120]  祢也是向我們去發明
[00:03:51.120 --> 00:03:53.320]  聖靈,我們願意祢親自的
[00:03:53.320 --> 00:03:55.560]  自由運行在我們當中
[00:03:55.560 --> 00:03:57.720]  祢親自的去帶人
[00:03:57.720 --> 00:03:59.080]  無論說的、聽的
[00:03:59.080 --> 00:04:00.240]  都蒙祢造就
[00:04:00.240 --> 00:04:01.880]  我們同心獻上禱告
[00:04:01.880 --> 00:04:04.080]  奉耶穌基督的名求
[00:04:04.080 --> 00:04:05.000]  阿們
[00:04:05.000 --> 00:04:08.200]  從剛才
[00:04:08.200 --> 00:04:10.360]  這段經文裡面
[00:04:10.360 --> 00:04:12.600]  提到有五種的福氣
[00:04:12.600 --> 00:04:14.520]  第一個福氣
[00:04:15.080 --> 00:04:16.320]  是什麼福氣呢?
[00:04:16.320 --> 00:04:18.320]  就是說一個新的關係
[00:04:18.320 --> 00:04:21.080]  就是說一個與神和好
[00:04:21.080 --> 00:04:23.240]  復和的一個關係
[00:04:23.240 --> 00:04:26.000]  經文第五章第一節
[00:04:26.000 --> 00:04:28.240]  如果看和合本就沒有「所以」
[00:04:28.240 --> 00:04:30.640]  那麼我們用的版本
[00:04:30.640 --> 00:04:32.440]  或者我在灣仔堂用的版本
[00:04:32.440 --> 00:04:34.000]  新標點和合本
