
[00:00:00.000 --> 00:00:03.660]  我結束的時候 我想用一則新聞
[00:00:03.660 --> 00:00:08.180]  還有三個故事跟大家分享
[00:00:08.180 --> 00:00:13.440]  三個我自己個人的故事去鼓勵大家
[00:00:13.440 --> 00:00:15.840]  那一則新聞就很有趣的
[00:00:15.840 --> 00:00:20.000]  我不知道你昨天有沒有看新聞
[00:00:20.000 --> 00:00:21.640]  有一段很有趣的新聞
[00:00:21.640 --> 00:00:26.720]  就是石油的價錢變成了負數的
[00:00:26.720 --> 00:00:30.520]  你有沒有聽過這個新聞?今天就反過來了
[00:00:30.520 --> 00:00:35.080]  其實主要的原因是因為期貨市場的問題
[00:00:35.080 --> 00:00:37.500]  那我就不解釋這麼多了
[00:00:37.500 --> 00:00:40.780]  但是簡單來說就是有些人之前
[00:00:40.780 --> 00:00:43.700]  你知道因為現在Coronavirus的原因
[00:00:43.700 --> 00:00:45.760]  整個美國社會都封鎖了
[00:00:45.760 --> 00:00:49.720]  其實大家用石油、用油量是大減的
[00:00:49.720 --> 00:00:53.020]  於是之前如果你是石油商
[00:00:53.020 --> 00:00:55.420]  你經常都在那裡買石油
[00:00:55.420 --> 00:00:57.640]  就是突然間出不了貨
[00:00:57.640 --> 00:01:00.560]  但是他們又會買了一些期貨
[00:01:00.560 --> 00:01:02.360]  就是future stock
[00:01:02.360 --> 00:01:05.460]  現在那些期貨差不多到期了 5月
[00:01:05.460 --> 00:01:09.000]  就是說我現在要送貨了
[00:01:09.000 --> 00:01:12.980]  期貨的意思就是說我答應你在5月的時候
[00:01:12.980 --> 00:01:15.540]  用這個價錢跟你買多少貨
[00:01:15.540 --> 00:01:19.080]  那他的貨現在要送貨了
[00:01:19.080 --> 00:01:23.720]  但是送貨的時候你家裡的石油又賣不出去
[00:01:23.720 --> 00:01:27.320]  那石油這家的東西就不是可以隨便在家裡
[00:01:27.320 --> 00:01:32.500]  鋤一塊地、挖一個洞丟下去的
[00:01:32.500 --> 00:01:36.460]  你要有地方去儲藏這些石油的
[00:01:36.460 --> 00:01:40.920]  那儲藏這些石油是需要價錢的
[00:01:40.920 --> 00:01:42.180]  那這個人出不了貨
[00:01:42.180 --> 00:01:46.620]  於是他要將他將要進來的貨賣出去
[00:01:46.620 --> 00:01:48.500]  減便宜、減賤
[00:01:48.500 --> 00:01:50.860]  減到什麼呢?減到是負數
[00:01:50.860 --> 00:01:55.580]  什麼意思呢?他昨天的最低價錢是一個瓶子
[00:01:55.580 --> 00:02:03.420]  一個瓶子多少呢?一個瓶子其實差不多是159公升
[00:02:03.420 --> 00:02:05.340]  就是159支汽水
[00:02:05.340 --> 00:02:08.180]  當然他們的買賣就不是一個瓶子的
[00:02:08.180 --> 00:02:10.380]  可能是成千上萬的瓶子
[00:02:10.380 --> 00:02:11.600]  所以是很多錢的
[00:02:11.600 --> 00:02:16.100]  他說如果一個瓶子我給你37美金
[00:02:16.100 --> 00:02:17.680]  是你幫我要了它
[00:02:17.680 --> 00:02:18.700]  這樣都可以
[00:02:18.700 --> 00:02:20.940]  不過你說那我們也去買
[00:02:20.940 --> 00:02:22.920]  你買不到的,為什麼呢?
[00:02:22.920 --> 00:02:27.000]  因為你去買,那你去哪裡去儲藏這些石油呢?
[00:02:27.000 --> 00:02:28.640]  那為什麼它是負數呢?
[00:02:28.640 --> 00:02:34.320]  我想用這個新聞跟大家反思一些事情
[00:02:34.320 --> 00:02:38.940]  有些事情、有些工作是會
[00:02:38.940 --> 00:02:45.520]  令你的生命的天國指數是負數的
[00:02:45.520 --> 00:02:53.680]  而有些工作是需要因著你這個天國的負指數
[00:02:53.680 --> 00:02:55.640]  是需要一定要斬倉
[00:02:55.640 --> 00:02:56.980]  你明不明白我的意思?
[00:02:56.980 --> 00:03:01.240]  斬倉,就是你要賣了它
[00:03:01.240 --> 00:03:04.820]  那我跟你說三個情況之下
[00:03:04.820 --> 00:03:10.480]  你的天國指數是需要放棄你的工作的
[00:03:10.480 --> 00:03:11.940]  就是我到目前為止就是跟你說
[00:03:11.940 --> 00:03:15.200]  我不想你現在在做什麼工作
[00:03:15.200 --> 00:03:19.340]  我現在就說第一你在奉獻上面你要重心
[00:03:19.340 --> 00:03:24.100]  第二,工作不一定不可以轉的
[00:03:24.100 --> 00:03:25.220]  不一定不可以轉
[00:03:25.220 --> 00:03:27.540]  正如我剛才的朋友Russell
[00:03:27.540 --> 00:03:31.640]  你家人想他做律師、醫生
[00:03:31.640 --> 00:03:32.840]  他都可以轉的
[00:03:32.840 --> 00:03:35.680]  他其實做得到的,不過他都可以轉的
[00:03:35.680 --> 00:03:36.840]  好像他太太那樣
[00:03:36.840 --> 00:03:41.180]  她做醫生都可以去一個弱勢群體去做的
[00:03:41.180 --> 00:03:41.840]  你明白嗎?
[00:03:41.840 --> 00:03:46.140]  不一定要什麼頂級醫院那樣的
[00:03:46.140 --> 00:03:48.180]  你明白我的意思嗎?
[00:03:48.180 --> 00:03:49.680]  工作是可以轉的
[00:03:49.680 --> 00:03:51.620]  在什麼情況之下去轉這個工作?
[00:03:51.620 --> 00:03:53.840]  第一,如果你的工作是很忙
[00:03:53.840 --> 00:03:54.740]  忙到一個地步
[00:03:54.740 --> 00:03:57.640]  令到你沒辦法可以健康、淑齡上
[00:03:57.640 --> 00:04:00.720]  這些一定就是
[00:04:00.720 --> 00:04:04.980]  我意思是說你吃虧都要斬倉的
[00:04:04.980 --> 00:04:08.860]  就是說不行,我現在我真是
[00:04:08.860 --> 00:04:11.380]  我如果沒有了這份工作的話
[00:04:11.380 --> 00:04:16.460]  我生活完全要改變了
[00:04:16.460 --> 00:04:17.800]  那就改吧
[00:04:17.800 --> 00:04:21.680]  因為你的天國指數已經是負債
[00:04:21.680 --> 00:04:22.540]  你需要斬倉
[00:04:22.540 --> 00:04:26.440]  你需要吃虧都要將這份工作送出去
[00:04:26.440 --> 00:04:29.100]  第二個要轉工作的理由
[00:04:29.100 --> 00:04:31.100]  這份工作沒有意義
[00:04:31.100 --> 00:04:34.540]  天國的工作不是計算你的收入的
[00:04:34.540 --> 00:04:35.580]  有些人可能會說
[00:04:35.580 --> 00:04:36.540]  不是的,林牧師
[00:04:36.540 --> 00:04:38.700]  我轉了一份有意義的工作
[00:04:38.700 --> 00:04:39.780]  薪水低了很多
[00:04:39.780 --> 00:04:43.000]  那教會的貢獻呢?教會不是靠你吃飯的
[00:04:43.000 --> 00:04:44.780]  你不用怕教會
[00:04:44.780 --> 00:04:46.300]  最多我跟你一起減薪
[00:04:46.300 --> 00:04:47.660]  沒有所謂的
[00:04:47.660 --> 00:04:50.020]  但是你作為一個會友
[00:04:50.020 --> 00:04:51.140]  你作為一個弟兄姊妹
[00:04:51.140 --> 00:04:53.140]  如果你做了一份沒有意義的工作
