
[00:00:00.000 --> 00:00:02.000]  好,各位丁姊妹,早晨
[00:00:02.000 --> 00:00:07.000]  我預備寫一篇的分享,就叫「矛盾」
[00:00:07.000 --> 00:00:09.000]  心裏面有時真是很多很多的矛盾
[00:00:09.000 --> 00:00:11.000]  即是很簡單,舉個例
[00:00:11.000 --> 00:00:14.000]  在香港裏面,我很渴望我們能夠有一個
[00:00:14.000 --> 00:00:17.000]  即是很好的,每一個人都有一個平等權利的選舉權
[00:00:17.000 --> 00:00:19.000]  或者被選權
[00:00:19.000 --> 00:00:21.000]  但我又不是很想香港的社會呢
[00:00:21.000 --> 00:00:23.000]  那麼多的分化和分裂
[00:00:23.000 --> 00:00:24.000]  這個就是矛盾了
[00:00:24.000 --> 00:00:26.000]  有時很想休息
[00:00:26.000 --> 00:00:28.000]  我上個禮拜,和再上個禮拜
[00:00:28.000 --> 00:00:30.000]  有十幾天不在香港
[00:00:30.000 --> 00:00:32.000]  但是想一想,在大埔塘
[00:00:32.000 --> 00:00:34.000]  我只是十一月最後的一個禮拜不在
[00:00:34.000 --> 00:00:37.000]  但那種感覺就好像和大家好像沒有見了很久
[00:00:37.000 --> 00:00:39.000]  我只是休息了一個禮拜
[00:00:39.000 --> 00:00:41.000]  所以一見到大家的時候
[00:00:41.000 --> 00:00:43.000]  特別有一種很親切的感受
[00:00:43.000 --> 00:00:45.000]  所以這個就是一個矛盾
[00:00:45.000 --> 00:00:48.000]  好,今天我們就會繼續來看「離希米記」
[00:00:48.000 --> 00:00:51.000]  有些人可能是很少星期六的崇拜
[00:00:51.000 --> 00:00:54.000]  星期六的崇拜,我就會一路用《釋經》的講道
[00:00:54.000 --> 00:00:56.000]  來講「離希米記」
[00:00:56.000 --> 00:01:00.000]  那麼今天我們就會看「離希米記」的第九章
[00:01:00.000 --> 00:01:02.000]  上一次我們看到
[00:01:02.000 --> 00:01:05.000]  當「離希米」帶領著一班百姓
[00:01:05.000 --> 00:01:08.000]  很快地去建立好一個城牆
[00:01:08.000 --> 00:01:10.000]  我特別強調
[00:01:10.000 --> 00:01:13.000]  外在是次要的
[00:01:13.000 --> 00:01:15.000]  如果有了很好的城牆
[00:01:15.000 --> 00:01:17.000]  但是如果內部分裂的話
[00:01:17.000 --> 00:01:21.000]  都不能夠令到那個國家
[00:01:21.000 --> 00:01:23.000]  去穩定下來
[00:01:23.000 --> 00:01:25.000]  所以當建完城牆之後
[00:01:25.000 --> 00:01:29.000]  他們有一個很大的屬靈裏面的復興
[00:01:29.000 --> 00:01:31.000]  上一次我們看到
[00:01:31.000 --> 00:01:34.000]  在以色列「離希米」帶領底下
[00:01:34.000 --> 00:01:37.000]  人民在水門廣場那裏
