
[00:00:00.000 --> 00:00:01.500]  我們今日是神學教的主日
[00:00:01.500 --> 00:00:02.600]  亦鼓勵我們的心
[00:00:02.600 --> 00:00:04.540]  是更加知道把握機會
[00:00:04.540 --> 00:00:07.140]  去研習聖經 學習聖經
[00:00:07.140 --> 00:00:08.340]  亦奉獻自己
[00:00:08.340 --> 00:00:12.940]  在教導別人 聖經的事上去毀神
[00:00:12.940 --> 00:00:14.040]  我們大家再一起祈禱
[00:00:14.040 --> 00:00:16.040]  我們求神帶領這段時間
[00:00:16.040 --> 00:00:22.280]  天父我們同心感恩
[00:00:22.280 --> 00:00:28.280]  因為祢的確是賜下祢自己生命之道
[00:00:28.280 --> 00:00:30.980]  祝祢用祢的說話創造天地
[00:00:30.980 --> 00:00:34.980]  用祢自己的話來重生我們
[00:00:34.980 --> 00:00:36.980]  我們今天在祢的面前
[00:00:36.980 --> 00:00:38.480]  竟然蒙恩
[00:00:38.480 --> 00:00:41.680]  能夠領受祢自己生命之道
[00:00:41.680 --> 00:00:43.080]  祝我們很渴望
[00:00:43.080 --> 00:00:46.580]  在我們每一次崇拜當中敬拜祢的時候
[00:00:46.580 --> 00:00:49.480]  祝讓我們的心靈蒙祢的幫助
[00:00:49.480 --> 00:00:51.880]  領受祢自己的真道
[00:00:51.880 --> 00:00:54.180]  也真是知道靠著祢
[00:00:54.180 --> 00:00:58.480]  去將祢的道行在我們的生活當中
[00:00:58.480 --> 00:01:01.880]  也去幫助別人來去遵從
[00:01:01.880 --> 00:01:03.480]  祝祢自己再一次施恩
[00:01:03.480 --> 00:01:06.380]  讓我們今天在祢面前敬拜祢的時候
[00:01:06.380 --> 00:01:10.480]  祝祢再一次賜下祢自己的真道
[00:01:10.480 --> 00:01:11.980]  我們仰望祈禱
[00:01:11.980 --> 00:01:13.880]  奉耶穌成名求
[00:01:13.880 --> 00:01:15.980]  阿門
[00:01:15.980 --> 00:01:17.280]  大家看回剛才讀過
[00:01:17.280 --> 00:01:21.080]  聖經彼得後書第三章的經文
[00:01:21.080 --> 00:01:22.280]  我們一起思想
[00:01:22.280 --> 00:01:30.880]  在主的恩典和思想上進一個方向
[00:01:30.880 --> 00:01:35.180]  我想首先在講道之前提及
[00:01:35.180 --> 00:01:38.680]  有一次我在一個偶然的場合
[00:01:38.680 --> 00:01:40.880]  去了一個商場
[00:01:40.880 --> 00:01:41.980]  在商場裏面
[00:01:41.980 --> 00:01:43.880]  見到一間很大型的
[00:01:43.880 --> 00:01:46.280]  一些新型的補習中心
[00:01:46.280 --> 00:01:47.380]  大家可能見到香港
[00:01:47.380 --> 00:01:49.880]  現在有很多不同的補習中心
[00:01:49.880 --> 00:01:53.080]  我是好像未試過走進去的
[00:01:53.080 --> 00:01:55.680]  我當時就當自己是一些
[00:01:55.680 --> 00:01:57.180]  學生就不是了
[00:01:57.180 --> 00:01:59.980]  當我是學生的家長
[00:01:59.980 --> 00:02:02.180]  走進去四處看四處看
[00:02:02.180 --> 00:02:04.680]  四處去問一下
[00:02:04.680 --> 00:02:07.380]  整個過程其實都有很多感受
[00:02:07.380 --> 00:02:09.480]  一個很深刻的體會
[00:02:09.480 --> 00:02:10.980]  這一間補習中心
