
[00:00:00.000 --> 00:00:06.560]  在前兩個星期我們提到朝聖
[00:00:06.560 --> 00:00:10.920]  我們曾經翻開過在《拔萊書》
[00:00:10.920 --> 00:00:13.600]  十一章八至六節
[00:00:13.600 --> 00:00:19.760]  我們看到一個著名的朝聖之旅
[00:00:19.760 --> 00:00:22.400]  我們看到亞伯拉罕和撒拉
[00:00:22.400 --> 00:00:25.320]  開展了一個很著名的旅程
[00:00:25.320 --> 00:00:29.400]  他們知道自己是客旅是寄居者
[00:00:29.400 --> 00:00:36.720]  他們熱切向前等候天上的耶路撒冷
[00:00:36.720 --> 00:00:38.600]  在這一點上
[00:00:38.600 --> 00:00:41.200]  亞伯拉罕成為了我們的故事
[00:00:41.200 --> 00:00:42.200]  我們都是客旅
[00:00:42.200 --> 00:00:43.720]  我們都是寄居者
[00:00:43.720 --> 00:00:48.000]  我們都是面對面前不安的環境
[00:00:48.000 --> 00:00:49.600]  我們需要有信心
[00:00:49.600 --> 00:00:52.400]  成為信心的百姓
[00:00:52.400 --> 00:00:54.000]  我講過在三方面
[00:00:54.000 --> 00:00:56.200]  我們可以成為信心的百姓
[00:00:56.200 --> 00:00:58.000]  踏上信心的旅程
[00:00:58.000 --> 00:01:01.000]  第一方面就是朝聖
[00:01:01.000 --> 00:01:02.200]  朝向聖城
[00:01:02.200 --> 00:01:07.400]  我們要用朝向聖城的生命地圖
[00:01:07.400 --> 00:01:09.000]  我們講過十誡
[00:01:09.000 --> 00:01:11.000]  十誡真的很重要
[00:01:11.000 --> 00:01:13.600]  如果我們記得前面的四誡
[00:01:13.600 --> 00:01:18.200]  和真的常常記得、常常相信、常常實踐的話
[00:01:18.200 --> 00:01:20.200]  我們的生命會有很多的經歷
[00:01:20.200 --> 00:01:22.200]  就是除了我以外
[00:01:22.200 --> 00:01:24.000]  你不可有別的神
[00:01:24.000 --> 00:01:27.400]  不可為自己雕刻偶像
[00:01:27.400 --> 00:01:31.400]  不可忘稱耶和華你神的名字
[00:01:31.400 --> 00:01:35.200]  當紀念安息日守為聖日
[00:01:35.200 --> 00:01:37.400]  第二,在朝聖的旅程上
[00:01:37.400 --> 00:01:39.800]  我們要專注、要預備
[00:01:39.800 --> 00:01:44.000]  隨時來到的挑戰和艱難
[00:01:44.000 --> 00:01:46.600]  我們面對艱難的時候
[00:01:46.600 --> 00:01:48.800]  就要求神的幫助
[00:01:48.800 --> 00:01:51.800]  所以詩篇四十二篇是很重要的
[00:01:51.800 --> 00:01:59.200]  詩人的靈魂說學無神,好似鹿學無溪水一樣
[00:01:59.200 --> 00:02:03.400]  但是周圍的囚敵會譏笑說
[00:02:03.400 --> 00:02:05.600]  你的神在哪裡?
[00:02:05.600 --> 00:02:07.600]  所以詩人晝夜哭泣
[00:02:07.600 --> 00:02:10.200]  淚水成為他的食物
[00:02:10.200 --> 00:02:13.600]  他去到曠野、去到高山
[00:02:13.600 --> 00:02:15.000]  找不到神
[00:02:15.000 --> 00:02:17.600]  但是去到一個瀑布的旁邊
[00:02:17.600 --> 00:02:23.600]  他聽見他說心冤就如深淵響應
[00:02:23.600 --> 00:02:26.200]  他聽見水在石頭的上面
[00:02:26.200 --> 00:02:28.600]  好像雷電的聲音
[00:02:28.600 --> 00:02:32.000]  是壓迫性的壓迫
[00:02:32.000 --> 00:02:33.600]  是他的經歷
[00:02:33.600 --> 00:02:36.600]  但是在那個時間很奇妙的
[00:02:36.600 --> 00:02:39.000]  他心靈是清澈
[00:02:39.000 --> 00:02:41.200]  他聽見、他看見
[00:02:41.200 --> 00:02:45.000]  這把聲音是神的聲音
[00:02:45.000 --> 00:02:48.000]  第三,在朝聖的路上
[00:02:48.000 --> 00:02:50.200]  你和我都需要朋友
[00:02:50.200 --> 00:02:54.400]  朝聖不是一個人的朝聖獨處
[00:02:54.400 --> 00:02:59.000]  而是一班朝聖者的朝聖
[00:02:59.000 --> 00:03:02.600]  四個朋友的故事就是說到
[00:03:02.600 --> 00:03:06.800]  三位朋友他們不是孤單站在
[00:03:06.800 --> 00:03:09.200]  這個君王的面前
[00:03:09.200 --> 00:03:11.600]  他們是彼此的支持
[00:03:11.600 --> 00:03:14.200]  拒絕跪拜金像
[00:03:14.200 --> 00:03:17.600]  結果就是三人都在火搖的當中
[00:03:17.600 --> 00:03:22.800]  但是這位王所見到的第四位人物就是神
[00:03:22.800 --> 00:03:26.400]  他就說「撒德拉米薩阿伯尼哥的神
[00:03:26.400 --> 00:03:29.200]  是應當稱頌的」
[00:03:29.200 --> 00:03:32.600]  這位唯一的真神
[00:03:32.600 --> 00:03:38.400]  就是我們勇氣的來源
[00:03:38.400 --> 00:03:39.400]  根據《約翰福音》
[00:03:39.400 --> 00:03:42.400]  耶穌基督在離世之前一同抹餅
[00:03:42.400 --> 00:03:45.400]  而在今天我們也一同去抹餅
[00:03:45.400 --> 00:03:48.400]  耶穌基督望著祂的僕人
[00:03:48.400 --> 00:03:49.400]  望著祂的門徒
[00:03:49.400 --> 00:03:51.400]  望著你們說
[00:03:51.400 --> 00:03:54.400]  「我不稱你們為僕人
[00:03:54.400 --> 00:03:57.800]  我將稱你們為朋友」
[00:03:57.800 --> 00:04:00.200]  這就是我的命令
[00:04:00.200 --> 00:04:02.800]  就是你們要彼此相愛
[00:04:02.800 --> 00:04:06.200]  正如我愛你們一樣
[00:04:06.200 --> 00:04:09.000]  我們同心禱告
[00:04:09.000 --> 00:04:14.400]  親愛的神在今天我們一同去牽手煮餐
[00:04:14.400 --> 00:04:18.600]  我們渴望祢的同在
[00:04:18.600 --> 00:04:22.400]  好像鹿渴望溪水一樣
[00:04:22.400 --> 00:04:26.600]  祂讓我們能夠突破空間的阻礙
[00:04:26.600 --> 00:04:28.600]  我們能夠很奇妙的
[00:04:28.600 --> 00:04:31.000]  因為祢的靈的緣故
[00:04:31.000 --> 00:04:35.400]  我們在空間裡去匯聚
[00:04:35.400 --> 00:04:38.400]  我們營救的是更多的禱告
[00:04:38.400 --> 00:04:40.400]  更多的讚美
[00:04:40.400 --> 00:04:41.800]  我們聽祢的話
[00:04:41.800 --> 00:04:43.600]  經歷祢的同在
[00:04:43.600 --> 00:04:45.600]  牽手煮餐
[00:04:45.600 --> 00:04:47.800]  稍後科目師會帶領我們
[00:04:47.800 --> 00:04:52.400]  我們領受祢給我們生命的量
[00:04:52.400 --> 00:04:54.800]  和救恩的杯
[00:04:54.800 --> 00:04:55.800]  主我們仰望祢
[00:04:55.800 --> 00:04:56.600]  我們相信祢
[00:04:56.600 --> 00:04:58.600]  我們愛祢
[00:04:58.600 --> 00:05:00.600]  我們的祈禱是奉主耶穌
[00:05:00.600 --> 00:05:02.400]  基督命之求
[00:05:02.400 --> 00:05:04.600]  阿門
[00:05:04.600 --> 00:05:08.600]  今日思想的經文是
[00:05:08.600 --> 00:05:14.600]  哥倫多口書四章的六至二十二節
[00:05:14.600 --> 00:05:16.600]  是一個很長的經文
[00:05:16.600 --> 00:05:18.600]  我讀幾節重要的
[00:05:18.600 --> 00:05:21.600]  稍後我們慢慢去論
[00:05:21.600 --> 00:05:23.600]  我們在煮餐之前
[00:05:23.600 --> 00:05:25.600]  牽手煮餐之前
[00:05:25.600 --> 00:05:28.600]  我們一起吃大餐
[00:05:28.600 --> 00:05:31.600]  先吃神給我們的話語
[00:05:31.600 --> 00:05:32.600]  四章六節
[00:05:32.600 --> 00:05:34.600]  至於我
[00:05:34.600 --> 00:05:36.600]  我已經被驕羨
[00:05:36.600 --> 00:05:38.600]  離世的時候到了
[00:05:38.600 --> 00:05:41.600]  那美好的帳我已經打過了
[00:05:41.600 --> 00:05:44.600]  當跑的路我已經跑盡了
[00:05:44.600 --> 00:05:48.600]  該信的道我已經守住了
[00:05:48.600 --> 00:05:52.600]  從此以後有公義的冠冕為我存留
[00:05:52.600 --> 00:05:56.600]  就是按著公義審判的主道了
[00:05:56.600 --> 00:05:58.600]  那日要賜給我的
[00:05:58.600 --> 00:06:05.600]  不但賜給我也賜給凡愛慕他顯現的人
[00:06:05.600 --> 00:06:10.600]  接著就是十七節
[00:06:10.600 --> 00:06:13.600]  唯有主站在我身邊
[00:06:13.600 --> 00:06:15.600]  加給我力量
[00:06:15.600 --> 00:06:18.600]  使我能把福音完整地傳開
[00:06:18.600 --> 00:06:21.600]  讓所有的外邦人都聽見
[00:06:21.600 --> 00:06:25.600]  我也從獅子口裡被救出來
[00:06:25.600 --> 00:06:28.600]  主必救我脫離一切的凶惡
[00:06:28.600 --> 00:06:31.600]  也必救我進他的天國
[00:06:31.600 --> 00:06:36.600]  願榮耀歸給他直到永永遠遠
[00:06:36.600 --> 00:06:38.600]  阿們
[00:06:38.600 --> 00:06:45.600]  我們都在朝聖的道路上
[00:06:45.600 --> 00:06:48.600]  在朝聖的道路上
[00:06:48.600 --> 00:06:51.600]  保羅是提摩太的導師
[00:06:51.600 --> 00:06:55.600]  保羅是提摩太的前輩
[00:06:55.600 --> 00:06:58.600]  保羅很愛惜提摩太
[00:06:58.600 --> 00:07:02.600]  他鼓勵提摩太要和他同行
[00:07:02.600 --> 00:07:03.600]  要教導他
[00:07:03.600 --> 00:07:06.600]  鼓勵他要有勇氣
[00:07:06.600 --> 00:07:11.600]  所以在提後的一章五至七節
[00:07:11.600 --> 00:07:13.600]  保羅說
[00:07:13.600 --> 00:07:15.600]  我記得你無偽的信心
[00:07:15.600 --> 00:07:21.600]  為這緣故我提醒你要把神藉著我
[00:07:21.600 --> 00:07:23.600]  按手所給你的恩賜
[00:07:23.600 --> 00:07:26.600]  在如火飄黃起來
[00:07:26.600 --> 00:07:30.600]  因為神賜給我們的不是膽怯的心
[00:07:30.600 --> 00:07:35.600]  而是剛強人愛自制的心
[00:07:35.600 --> 00:07:39.600]  保羅叫提摩太要強大
[00:07:39.600 --> 00:07:40.600]  要強壯
[00:07:40.600 --> 00:07:43.600]  現在就反過來
[00:07:43.600 --> 00:07:47.600]  保羅就說我需要你提摩太
[00:07:47.600 --> 00:07:49.600]  是的,因為那個時候
[00:07:49.600 --> 00:07:53.600]  保羅在受苦的當中
[00:07:53.600 --> 00:07:56.600]  感受到被遺棄
[00:07:56.600 --> 00:08:01.600]  他面對很接近的死亡
