
[00:00:00.000 --> 00:00:02.280]  使命之神 使命之民
[00:00:02.280 --> 00:00:09.060]  這是我們教會2019年和2020年的全年總題
[00:00:09.060 --> 00:00:12.880]  踏入了2020年保羅的《肥臘比書》
[00:00:12.880 --> 00:00:16.960]  將成為我們教會的使命導向
[00:00:16.960 --> 00:00:19.520]  《肥臘比書》是一本怎樣的書
[00:00:19.520 --> 00:00:20.480]  簡單來說
[00:00:20.480 --> 00:00:24.520]  《肥臘比書》是一封由使命的領袖
[00:00:24.520 --> 00:00:28.160]  寫給使命教會的使命宣言
[00:00:28.160 --> 00:00:30.520]  所以我們一起去看《肥臘比書》
[00:00:30.520 --> 00:00:34.040]  對我們教會現在的導向
[00:00:34.040 --> 00:00:36.800]  這個主題是非常切合
[00:00:36.800 --> 00:00:40.080]  《肥臘比書》第一章第一節這樣說
[00:00:40.080 --> 00:00:43.280]  基督耶穌的僕人保羅和提摩泰
[00:00:43.280 --> 00:00:46.120]  住在肥臘比
[00:00:46.120 --> 00:00:49.160]  在基督耶穌裡的眾聖徒
[00:00:49.160 --> 00:00:53.040]  以及諸位監督和執事
[00:00:53.040 --> 00:00:57.120]  保羅寫信的對象是住在肥臘比那裡
[00:00:57.120 --> 00:00:59.600]  在耶穌基督裡面的聖徒
[00:00:59.600 --> 00:01:02.480]  如果你看回英文是Saint
[00:01:02.480 --> 00:01:05.720]  有時候我們很容易在教會裡面有一個誤會
[00:01:05.720 --> 00:01:09.640]  就是在教會裡面其實有很多不同層次的基督徒
[00:01:09.640 --> 00:01:11.480]  我們說當一個人初信的時候
[00:01:11.480 --> 00:01:14.040]  他是一個信徒
[00:01:14.040 --> 00:01:17.320]  接著他慢慢升級做了門徒
[00:01:17.320 --> 00:01:19.760]  最後成為了聖徒
[00:01:19.760 --> 00:01:23.400]  其實我覺得很多時候這種分類是給自己一種藉口說
[00:01:23.400 --> 00:01:25.760]  我只是一個信徒而已
[00:01:25.760 --> 00:01:27.560]  你不要看得我這麼大
[00:01:27.560 --> 00:01:29.440]  所以我經常可以犯罪
[00:01:29.440 --> 00:01:30.960]  我經常可以不回教會
[00:01:30.960 --> 00:01:34.120]  因為我只是一個小小的信徒
[00:01:34.120 --> 00:01:36.440]  如果你曾幾何時是這樣想的
[00:01:36.440 --> 00:01:39.800]  我可以告訴你這是完全的錯誤
[00:01:39.800 --> 00:01:42.880]  當你去總括去看整本《聖經》
[00:01:42.880 --> 00:01:46.800]  你會發現所謂的信徒就是門徒
[00:01:46.800 --> 00:01:48.760]  而門徒就是聖徒
[00:01:48.760 --> 00:01:50.280]  其實沒有三樣東西
[00:01:50.280 --> 00:01:53.200]  完全從頭到尾是一樣東西
[00:01:53.200 --> 00:01:54.400]  什麼是信徒
[00:01:54.400 --> 00:01:58.400]  信徒就是全心相信仰望十字架的人
[00:01:58.400 --> 00:01:59.720]  這個叫做信徒
[00:01:59.720 --> 00:02:00.880]  什麼叫門徒
[00:02:00.880 --> 00:02:04.200]  是全人去學習背負十字架的人
[00:02:04.200 --> 00:02:05.840]  這個叫做門徒
[00:02:05.840 --> 00:02:07.560]  什麼叫做聖徒
[00:02:07.560 --> 00:02:10.400]  就是因為十字架的緣故
[00:02:10.400 --> 00:02:12.880]  與這個世界分別為聖出來
[00:02:12.880 --> 00:02:14.280]  這個叫做聖徒
[00:02:14.280 --> 00:02:16.480]  原來信徒就是門徒
[00:02:16.480 --> 00:02:18.480]  門徒就是聖徒
[00:02:18.480 --> 00:02:21.400]  三樣東西是一樣東西
[00:02:21.400 --> 00:02:23.320]  說到這個分別為聖
[00:02:23.320 --> 00:02:24.520]  你可以看回《聖經》
[00:02:24.520 --> 00:02:27.960]  你會發現分別為聖有三個特質
[00:02:27.960 --> 00:02:30.040]  這裡說到他們的聖徒
[00:02:30.040 --> 00:02:33.400]  或者他們分別為聖是在耶穌基督裡面
[00:02:33.400 --> 00:02:34.640]  因為我們
[00:02:34.640 --> 00:02:36.640]  如果我們真的在耶穌基督裡面
[00:02:36.640 --> 00:02:39.240]  因為耶穌與這個世界是分別出來
[00:02:39.240 --> 00:02:40.640]  所以自自然然
[00:02:40.640 --> 00:02:42.520]  我們必須要分別出來
[00:02:42.520 --> 00:02:44.720]  沒有一個人可以在耶穌基督裡面
[00:02:44.720 --> 00:02:47.280]  卻又不同這個世界分別出來
[00:02:47.280 --> 00:02:48.720]  這個是第一個特質
[00:02:48.720 --> 00:02:50.080]  我們的聖徒
