
[00:00:00.000 --> 00:00:05.040]  好,今天就跟大家講一個題目,好像很深
[00:00:05.040 --> 00:00:07.400]  爲什麼我們還要活着呢?
[00:00:07.400 --> 00:00:09.760]  其實大家都知道,我不是第一次講
[00:00:09.760 --> 00:00:14.400]  2026年開始的時候,世界就變得很亂
[00:00:14.400 --> 00:00:18.440]  我們覺得亂,世界又打仗了
[00:00:18.440 --> 00:00:20.520]  你最近有沒有入油?
[00:00:20.520 --> 00:00:23.400]  現在差不多是六塊錢,有些是七塊錢
[00:00:23.400 --> 00:00:26.280]  七塊錢,我們有沒有試過七塊錢?
[00:00:26.280 --> 00:00:28.640]  起碼是六塊錢試過
[00:00:28.640 --> 00:00:31.920]  給我們帶來一個很大的壓力
[00:00:31.920 --> 00:00:38.000]  在生活上,似乎現在比以前生活就越來越艱難
[00:00:38.000 --> 00:00:42.280]  如果我們將人生當作負債表
[00:00:42.280 --> 00:00:44.480]  我們看看下一張圖畫
[00:00:44.480 --> 00:00:47.320]  你會發覺其實我們在左手邊
[00:00:47.320 --> 00:00:48.800]  即是你們的左手邊
[00:00:48.800 --> 00:00:54.280]  我們覺得生活裏面帶給我們那種壓力、挑戰
[00:00:54.280 --> 00:01:00.280]  以及那些難處,是比右手邊
[00:01:00.280 --> 00:01:05.000]  即是平安、快樂、順遂、喜樂
[00:01:05.000 --> 00:01:08.040]  似乎真的左邊多於右邊
[00:01:08.040 --> 00:01:12.800]  而且那些問題,也是左邊比右邊大
[00:01:12.800 --> 00:01:17.760]  既然人生不如意的事,中國人早就已經講了
[00:01:17.760 --> 00:01:21.440]  是十之八九,不是十之四五
[00:01:21.440 --> 00:01:23.440]  是十之八九
[00:01:23.440 --> 00:01:29.080]  生活那麼艱難,爲什麼我們還要活下去?
[00:01:29.080 --> 00:01:32.400]  這些是很深的問題,可能可以說是很深的問題
[00:01:32.400 --> 00:01:34.600]  所以很多時候我都不想去想這個問題
[00:01:34.600 --> 00:01:36.760]  但如果要問這個問題的時候
[00:01:36.760 --> 00:01:39.120]  我相信一個最原始的答案
[00:01:39.120 --> 00:01:41.160]  你會是說什麼給我聽呢?
[00:01:41.160 --> 00:01:46.320]  最原始的答案就是,人生出來就有一個求生的本能
[00:01:46.320 --> 00:01:48.280]  有沒有人生出來求死的?
[00:01:48.280 --> 00:01:51.840]  baby什麼都不懂,但是也要喫東西
[00:01:51.840 --> 00:01:54.840]  所以我們發覺人
[00:01:54.840 --> 00:01:58.000]  從一個最原始的觀念去看的時候
[00:01:58.000 --> 00:02:00.480]  其實和動物的分別不大
[00:02:00.480 --> 00:02:04.160]  人有求生的本能,人是爲了生存而去生活
[00:02:04.160 --> 00:02:05.400]  這個大家聽過了
[00:02:05.400 --> 00:02:08.280]  我們不會隨便求死的
[00:02:08.280 --> 00:02:12.200]  人和動物不同的地方在哪裏呢?
[00:02:12.200 --> 00:02:16.440]  大家都有求生的本能,但是不同的地方在哪裏呢?
[00:02:16.440 --> 00:02:19.000]  不同的地方,其中一樣東西就是
[00:02:19.000 --> 00:02:23.800]  如果人會發覺,我們只是爲了生存而去生活的話
[00:02:23.800 --> 00:02:26.360]  做人太沒意思了,是不是呢?
[00:02:26.360 --> 00:02:30.160]  只是爲了生存,爲了兩餐,爲了能夠survive
[00:02:30.160 --> 00:02:32.320]  繼續生活下去
[00:02:32.320 --> 00:02:35.560]  做人就沒什麼意義了
[00:02:35.560 --> 00:02:37.480]  其實美國大家都知道
[00:02:37.480 --> 00:02:42.720]  雖然打仗,是全世界最富裕的國家
[00:02:42.720 --> 00:02:45.160]  在美國要生存的話
[00:02:45.160 --> 00:02:47.440]  其實一點困難都沒有的,是不是?
[00:02:47.440 --> 00:02:51.640]  我來美國幾十年了,我從來沒聽過美國會餓死人的
[00:02:51.640 --> 00:02:54.440]  不過呢,我們時不時都會聽到
[00:02:54.440 --> 00:03:00.080]  在美國有些名人會自殺的消息
[00:03:00.080 --> 00:03:02.200]  大家同不同意我的說法嗎?
[00:03:02.200 --> 00:03:04.360]  事實上大家可能不知道,我也不知道
[00:03:04.360 --> 00:03:07.960]  不過因爲講這個題目,我去做了一些research
[00:03:07.960 --> 00:03:10.760]  我最新找到的資料是2024年
[00:03:10.760 --> 00:03:16.840]  大家知不知道2024年有幾萬人自殺死亡?
[00:03:16.840 --> 00:03:29.960]  大家可以看到2024年有48,824個人死於自殺
[00:03:29.960 --> 00:03:36.280]  大概每11分鐘就有一個人自殺死亡
[00:03:36.280 --> 00:03:41.760]  其實原來在2024年,想自殺的人不止48,000
[00:03:41.760 --> 00:03:44.040]  48,000人自殺死了
[00:03:44.040 --> 00:03:50.040]  其實有290萬人,包括有70萬個青少年人
[00:03:50.040 --> 00:03:53.400]  是嘗試過自殺,不過不成功
[00:03:53.400 --> 00:03:54.960]  那是什麼意思?
[00:03:54.960 --> 00:03:59.280]  大概每11秒鐘,每11秒鐘
[00:03:59.280 --> 00:04:04.400]  就有一次自殺未遂的個案發生
[00:04:04.400 --> 00:04:07.240]  不知道大家覺得夠不夠震撼呢?
[00:04:07.240 --> 00:04:09.320]  如果覺得不夠震撼的話
[00:04:09.320 --> 00:04:11.320]  在同一年,我告訴大家
[00:04:11.320 --> 00:04:17.920]  其實是有460萬人曾經制定過
[00:04:17.920 --> 00:04:19.520]  怎麼自殺好呢?
[00:04:19.520 --> 00:04:22.880]  想過方法,怎麼去計劃自己自殺
[00:04:22.880 --> 00:04:31.680]  而大概有1430萬人曾經有過嚴重的自殺念頭
[00:04:31.680 --> 00:04:33.000]  什麼意思?
