
[00:00:00.000 --> 00:00:02.660]  我很喜歡你們選擇的題目
[00:00:02.660 --> 00:00:04.900]  《屬靈生命的更新在即場》
[00:00:04.900 --> 00:00:08.760]  我很敬佩的Rev. John Stott
[00:00:08.760 --> 00:00:10.760]  和Dr. Billy Graham
[00:00:10.760 --> 00:00:15.320]  畢約如同在很多年前說了一句說話
[00:00:15.320 --> 00:00:22.360]  "In the 21st century, the glory of God will be manifested in the marketplace."
[00:00:22.360 --> 00:00:25.760]  我猜他們兩個沒有看過《口供》
[00:00:25.760 --> 00:00:28.560]  是獨立前後說的
[00:00:28.860 --> 00:00:31.380]  我都很驚訝
[00:00:31.380 --> 00:00:33.940]  因為我們經常在即場
[00:00:33.940 --> 00:00:38.220]  很忙,為什麼神的榮耀會在那裏彰顯
[00:00:38.220 --> 00:00:41.300]  我愈來愈明白
[00:00:41.300 --> 00:00:44.420]  我們信主的時間進入光
[00:00:44.420 --> 00:00:46.060]  成為光明之子
[00:00:46.060 --> 00:00:49.200]  在教會裏面凝聚我們這班光明之子
[00:00:49.200 --> 00:00:50.200]  裝備我們
[00:00:50.200 --> 00:00:51.800]  但是那個
[00:00:51.800 --> 00:00:53.400]  No.1
[00:00:53.400 --> 00:00:57.000]  第二,他就猜我們進入世界
[00:00:57.460 --> 00:01:00.240]  你進入世界的時間就成為祂的光
[00:01:00.240 --> 00:01:02.320]  成為祂的見證
[00:01:02.320 --> 00:01:04.500]  彰顯祂的榮耀
[00:01:04.500 --> 00:01:06.000]  所以這個是真的
[00:01:06.000 --> 00:01:08.860]  所以我覺得這個題目很好
[00:01:08.860 --> 00:01:11.180]  但我還未說之前
[00:01:11.180 --> 00:01:13.120]  我想先說一下
[00:01:13.120 --> 00:01:14.920]  屬靈更新
[00:01:14.920 --> 00:01:16.140]  生命更新
[00:01:16.140 --> 00:01:18.060]  都是你的生命的狀況
[00:01:18.060 --> 00:01:19.700]  聖經裏有一個字
[00:01:19.700 --> 00:01:20.700]  你一定不認識的
[00:01:20.700 --> 00:01:22.500]  這個原文的字
[00:01:22.500 --> 00:01:24.500]  出現了好幾次
[00:01:24.500 --> 00:01:26.500]  叫做Homo Thumadon
[00:01:26.880 --> 00:01:28.500]  Homo是一
[00:01:28.500 --> 00:01:29.500]  合一
[00:01:29.500 --> 00:01:30.900]  Thuma
[00:01:30.900 --> 00:01:32.420]  是火
[00:01:32.420 --> 00:01:34.380]  然後Don
[00:01:34.380 --> 00:01:36.380]  其實是一個Verb
[00:01:36.380 --> 00:01:39.220]  意思是什麼呢
[00:01:39.220 --> 00:01:41.220]  在《士徒行傳》出現了好幾次
[00:01:41.220 --> 00:01:43.260]  當我們信徒
[00:01:43.260 --> 00:01:44.260]  合而為一
[00:01:44.260 --> 00:01:46.460]  亦都好像三一神合而為一
[00:01:46.460 --> 00:01:47.500]  我們在他裏面
[00:01:47.500 --> 00:01:48.580]  他在我們裏面的時間
[00:01:48.580 --> 00:01:50.900]  就心中有一團火
