
[00:00:00.000 --> 00:00:03.900]  今天是我為大家預備2025年
[00:00:03.900 --> 00:00:10.500]  《生命說書教》網絡預估期的40天的靈修
[00:00:10.500 --> 00:00:14.800]  是由40個角度來看主耶穌
[00:00:14.800 --> 00:00:20.140]  我們有一個題目叫做「耶穌 我主 我神」
[00:00:20.140 --> 00:00:22.620]  希望透過40次的讀經
[00:00:22.620 --> 00:00:27.660]  能夠幫助我們在靈修裏面更多認識到主耶穌
[00:00:27.660 --> 00:00:30.460]  由40個角度去看主耶穌
[00:00:30.460 --> 00:00:31.820]  今天是第一天
[00:00:31.820 --> 00:00:34.760]  我計算這個預估期
[00:00:34.760 --> 00:00:38.960]  和一般傳統計算預估期有些不同的
[00:00:38.960 --> 00:00:45.740]  我就是由復活主日向前直接數40天
[00:00:45.740 --> 00:00:49.920]  那40天包括主日在裏面的
[00:00:49.920 --> 00:00:53.620]  一般數預估期是不包括主日的
[00:00:53.620 --> 00:00:57.580]  所以一般傳統預估期是早些開始的
[00:00:57.580 --> 00:01:00.460]  而我就將預估期這40天
[00:01:00.460 --> 00:01:05.800]  是在復活主日之前倒數上去
[00:01:05.800 --> 00:01:07.880]  計算主日
[00:01:07.880 --> 00:01:12.660]  補充一點 為甚麼預估期會是40天呢?
[00:01:12.660 --> 00:01:16.380]  這是一個傳統下來
[00:01:16.380 --> 00:01:18.520]  是沒有特別聖經的根據
[00:01:18.520 --> 00:01:23.180]  沒有甚麼特別的歷史的原因等等
[00:01:23.180 --> 00:01:25.320]  只不過是傳統下來
[00:01:25.320 --> 00:01:28.820]  第一天我和大家一起去看的就是
[00:01:28.820 --> 00:01:31.180]  李明氏耶穌
[00:01:31.180 --> 00:01:37.540]  其實這40天會有幾個不同的分題
[00:01:37.540 --> 00:01:40.580]  不同的分段的提博
[00:01:40.580 --> 00:01:43.200]  和大家一起來讀聖經
[00:01:43.200 --> 00:01:47.220]  一起一節兩節的認識主耶穌
[00:01:47.220 --> 00:01:51.320]  讓我們一起先禱告
[00:01:51.320 --> 00:01:54.660]  讚美天父上主
[00:01:54.660 --> 00:02:00.260]  祢在萬世以先為我們人類預備救恩
[00:02:00.260 --> 00:02:02.840]  祢的預先知道的能力
[00:02:02.840 --> 00:02:07.060]  一早就知道其實我們人類是多麼軟弱
[00:02:07.060 --> 00:02:09.020]  縱然祢是愛我們
[00:02:09.020 --> 00:02:14.380]  為我們預備了一個美好可以生活的伊甸園
[00:02:14.380 --> 00:02:18.540]  又給我們有很高度的自主
[00:02:18.540 --> 00:02:20.880]  有自由意志
[00:02:20.880 --> 00:02:22.400]  可以選擇跟隨你
[00:02:22.400 --> 00:02:24.280]  可以選擇離開你
[00:02:24.280 --> 00:02:25.620]  可以選擇聽從
[00:02:25.620 --> 00:02:27.920]  可以選擇搬逸
[00:02:27.920 --> 00:02:31.080]  不過你雖然知道我們是這樣
[00:02:31.080 --> 00:02:33.560]  知道我們是橫梗半逸
[00:02:33.560 --> 00:02:34.920]  喜歡偏行幾路
[00:02:34.920 --> 00:02:36.400]  喜歡以自愛忠心
[00:02:36.400 --> 00:02:40.420]  不過你仍然是這樣給我們機會
[00:02:40.420 --> 00:02:43.360]  結果我們在蛇的引誘之下
[00:02:43.360 --> 00:02:46.040]  遲早犯不盡 離開了你
[00:02:46.040 --> 00:02:49.120]  你在萬世以先就預備了救恩
[00:02:49.120 --> 00:02:51.320]  預備了救贖
[00:02:51.320 --> 00:02:53.520]  讚美你 多謝你
[00:02:53.520 --> 00:02:57.040]  你對我們的愛無微不至
[00:02:57.040 --> 00:02:59.320]  主在我們思想主耶穌
[00:02:59.320 --> 00:03:02.940]  來為我們受苦的這四十天
[00:03:02.940 --> 00:03:04.920]  遇苦期裏面
[00:03:04.920 --> 00:03:09.200]  我們在這裏再次向上主獻上感謝
[00:03:09.200 --> 00:03:10.760]  讚美三一上主
[00:03:10.760 --> 00:03:12.640]  聖父、聖子、聖靈
[00:03:12.640 --> 00:03:14.820]  在整個救贖裏面
[00:03:14.820 --> 00:03:18.280]  將整個救贖工作完成了
[00:03:18.280 --> 00:03:21.320]  做得完美、成功
[00:03:21.320 --> 00:03:26.080]  將我們完完全全帶到你自己面前
[00:03:26.080 --> 00:03:29.800]  勝過了罪惡、勝過了死亡
[00:03:29.800 --> 00:03:31.120]  讚美上主
[00:03:31.120 --> 00:03:34.200]  願你得到榮耀稱讚
[00:03:34.200 --> 00:03:38.200]  很盼望能夠透過經文更多認識上主
[00:03:38.200 --> 00:03:41.440]  更多認識你的兒子耶穌基督
[00:03:41.440 --> 00:03:44.440]  就是這個救恩的執行者
[00:03:44.440 --> 00:03:46.600]  願主親自憐憫
[00:03:46.600 --> 00:03:50.680]  求救恩的實施者聖靈
[00:03:50.680 --> 00:03:52.240]  幫助我們
[00:03:52.240 --> 00:03:56.120]  讓我們更多明白主耶穌那種的愛
[00:03:56.120 --> 00:04:00.920]  讓我們更多明白救恩的策劃者
[00:04:00.920 --> 00:04:03.600]  父上主怎樣去愛我們
[00:04:03.600 --> 00:04:05.400]  怎樣籌劃
[00:04:05.400 --> 00:04:06.040]  讚美你
[00:04:06.040 --> 00:04:07.800]  願意你得到榮耀稱讚
