
[00:00:00.000 --> 00:00:02.600]  今天我和大家分享的信息
[00:00:02.600 --> 00:00:03.780]  就是叫做
[00:00:03.780 --> 00:00:07.000]  「鑒古知今,學清純」
[00:00:07.000 --> 00:00:08.700]  可能你聽完也不知道
[00:00:08.700 --> 00:00:09.800]  我想說什麼
[00:00:09.800 --> 00:00:11.000]  簡單來說
[00:00:11.000 --> 00:00:17.500]  我今天不是就著一段經文來講解那段經文
[00:00:17.500 --> 00:00:20.300]  我是根據聖經的教導
[00:00:20.300 --> 00:00:22.400]  來鼓勵我們做一個
[00:00:22.400 --> 00:00:25.200]  尋訪古道的人
[00:00:25.200 --> 00:00:29.100]  能夠持守正確
[00:00:29.100 --> 00:00:32.700]  是天父所啟示的信仰
[00:00:32.700 --> 00:00:34.500]  同時也學習
[00:00:34.500 --> 00:00:38.600]  如何做一個入世的聖徒
[00:00:38.600 --> 00:00:40.900]  我手上有一本書
[00:00:40.900 --> 00:00:42.200]  它的英文名字叫做
[00:00:42.200 --> 00:00:44.700]  「Worldly Saints」
[00:00:44.700 --> 00:00:46.500]  Worldly
[00:00:46.500 --> 00:00:49.500]  可以說是俗世
[00:00:49.500 --> 00:00:51.100]  和Saint
[00:00:51.100 --> 00:00:52.700]  是聖徒
[00:00:52.700 --> 00:00:55.100]  似乎格格不入
[00:00:55.100 --> 00:00:59.700]  但是作者正是看見有一批的人
[00:00:59.700 --> 00:01:04.200]  在這二千多年的教會歷史裡面
[00:01:04.200 --> 00:01:12.100]  雖然他們只是十六世紀的時期
[00:01:12.100 --> 00:01:16.300]  是短短的一段時間出現
[00:01:16.300 --> 00:01:20.300]  但是他們所產生的影響
[00:01:20.300 --> 00:01:27.500]  是真的能夠秉持著這個仕途的道統的盛傳
[00:01:27.500 --> 00:01:30.400]  在他們當時所處的世界裡面
[00:01:30.400 --> 00:01:32.200]  是為基督
[00:01:32.200 --> 00:01:33.900]  作了一個美好的見證
[00:01:33.900 --> 00:01:37.400]  大家都知道任何的群體
[00:01:37.400 --> 00:01:39.900]  只要是基督裡面的群體
[00:01:39.900 --> 00:01:43.600]  在歷史時空裡面存在過的
[00:01:43.600 --> 00:01:47.000]  都沒有一個是完美無瑕的
[00:01:47.000 --> 00:01:50.300]  是一定有他們的缺點的
[00:01:50.300 --> 00:01:55.300]  但是我們不能夠讓一些瑕疵
[00:01:55.300 --> 00:01:58.800]  蓋過那些最重要的東西
[00:01:58.800 --> 00:02:01.300]  所謂瑕不掩瑜
[00:02:01.300 --> 00:02:03.200]  如好的玉石
[00:02:03.200 --> 00:02:04.500]  瑕疵
[00:02:04.500 --> 00:02:06.600]  是真的玉石
[00:02:06.600 --> 00:02:10.100]  都難免會有些瑕疵
[00:02:10.100 --> 00:02:12.000]  是那些假的東西
[00:02:12.000 --> 00:02:18.300]  才是什麼的雜質 什麼的瑕疵都看不到的
[00:02:18.300 --> 00:02:21.600]  這樣的角度我想跟大家分享的就是
[00:02:21.600 --> 00:02:24.900]  一班叫做清教徒的人
[00:02:24.900 --> 00:02:28.900]  他們那個特質是什麼
[00:02:28.900 --> 00:02:32.700]  清教徒英文叫做Puritant
[00:02:32.700 --> 00:02:37.000]  是由這個清純Pure這個字來的
