
[00:00:00.000 --> 00:00:03.000]  歡迎大家來到我們的周六重大
[00:00:03.000 --> 00:00:08.000]  今年年初我們開始了一個新的講道系列
[00:00:08.000 --> 00:00:10.000]  叫做「未來報告」
[00:00:10.000 --> 00:00:15.000]  系列的內容是舊約聖經裡面的十二位小先知
[00:00:15.000 --> 00:00:21.000]  聖經學者相信十二小先知不單止是十二本獨立的先知書
[00:00:21.000 --> 00:00:30.000]  他們亦都是一套經過後期編輯、精心編排合十二唯一的先知冊
[00:00:30.000 --> 00:00:36.000]  上個星期我們開始研讀第九位小先知「西番瓦」
[00:00:36.000 --> 00:00:38.000]  西番瓦書的主題是什麼呢?
[00:00:38.000 --> 00:00:45.000]  西番瓦書的主題是「急難的日子」、「審判的日子」、「黑暗的日子」
[00:00:45.000 --> 00:00:52.000]  是上帝頒佈他對南國猶大的憤怒、審判
[00:00:52.000 --> 00:01:01.000]  不過當你將西番瓦書和前面的第八位小先知「哈巴谷」連貫的時候
[00:01:01.000 --> 00:01:07.000]  你會發現在這個黑暗的日子裡面有一個明亮的曙光
[00:01:07.000 --> 00:01:10.000]  當你將兩本書加起來的時候
[00:01:10.000 --> 00:01:15.000]  是急難的日子「因信得生」
[00:01:15.000 --> 00:01:22.000]  上帝在急難的日子呼召我們去信靠他的拯救
[00:01:22.000 --> 00:01:26.000]  叫我們將我們的人生完全委託於他
[00:01:26.000 --> 00:01:31.000]  亦都是衷心恩著我們對上帝的信實
[00:01:31.000 --> 00:01:34.000]  而得以在天國裡面有份
[00:01:34.000 --> 00:01:36.000]  這個是我們要記住的大圖畫
[00:01:36.000 --> 00:01:40.000]  好,我現在帶你再次進入西番瓦書
[00:01:40.000 --> 00:01:42.000]  西番瓦書第一章第四節
[00:01:42.000 --> 00:01:48.000]  「我必伸手攻擊猶大和耶路撒冷所有的居民」
[00:01:48.000 --> 00:01:52.000]  這個是西番瓦書的核心主題
[00:01:52.000 --> 00:01:54.000]  如果你上禮拜在這裡你會記得
[00:01:54.000 --> 00:01:58.000]  伸手攻擊是出於出埃及的
[00:01:58.000 --> 00:02:01.000]  上帝伸手攻擊埃及
[00:02:01.000 --> 00:02:04.000]  因為埃及是一個偶像之家
[00:02:04.000 --> 00:02:10.000]  現在上帝要伸手攻擊猶大和耶路撒冷的所有居民
[00:02:10.000 --> 00:02:12.000]  為什麼?因為耶路撒冷
[00:02:12.000 --> 00:02:17.000]  上帝的聖城現在已經成為了一個偶像之家
[00:02:17.000 --> 00:02:23.000]  一個新的埃及不可以想像的東西
[00:02:23.000 --> 00:02:26.000]  耶和華是一個忌邪的上帝
[00:02:26.000 --> 00:02:31.000]  耶和華是一個恨護偶像假神的上帝
