
[00:00:00.000 --> 00:00:03.440]  這一節聖經在十度行傳第一章第八節
[00:00:03.440 --> 00:00:06.040]  只有一節的聖經我們一同來唸來
[00:00:06.040 --> 00:00:08.480]  但聖靈降臨在你們身上
[00:00:08.480 --> 00:00:10.600]  你們就必得著能力
[00:00:10.600 --> 00:00:12.120]  便要在耶路撒冷
[00:00:12.120 --> 00:00:14.280]  猶太泉地和撒瑪利亞
[00:00:14.280 --> 00:00:18.640]  直到地極做我的見證
[00:00:18.640 --> 00:00:19.880]  感謝神上的周末
[00:00:19.880 --> 00:00:22.800]  我們在多哥的首都羅梅尼教會
[00:00:22.800 --> 00:00:26.800]  我們舉行了一連串慶祝生命和
[00:00:26.800 --> 00:00:30.440]  進入非洲二十五週年的活動
[00:00:30.440 --> 00:00:32.640]  非洲各地的分堂的墓者
[00:00:32.640 --> 00:00:35.160]  都一同聚集來慶祝
[00:00:35.160 --> 00:00:36.760]  非常的熱鬧
[00:00:36.760 --> 00:00:40.240]  你可以想像非洲教會的慶祝
[00:00:40.240 --> 00:00:44.160]  那個唱歌跳舞是沒有停的
[00:00:44.160 --> 00:00:46.920]  上個主日是我有史以來
[00:00:46.920 --> 00:00:50.640]  參加的最長的一場主日崇拜
[00:00:50.640 --> 00:00:54.240]  從早上八點到下午兩點半
[00:00:54.240 --> 00:00:55.920]  整整六個半鐘頭
[00:00:55.920 --> 00:00:58.320]  從頭到尾沒有停過
[00:00:58.320 --> 00:01:01.000]  從頭到尾是充滿上帝的喜樂
[00:01:01.000 --> 00:01:01.600]  Amen
[00:01:01.600 --> 00:01:03.360]  Hallelujah
[00:01:03.360 --> 00:01:07.880]  你看還有龜龜的神
[00:01:07.880 --> 00:01:09.320]  回想這二十五年來
[00:01:09.320 --> 00:01:12.120]  我們在非洲宣教職堂的路
[00:01:12.120 --> 00:01:15.320]  我們真的不能夠不畏的神的恩典
[00:01:15.320 --> 00:01:17.080]  來獻上感謝
[00:01:17.080 --> 00:01:18.240]  我們所信的神
[00:01:18.240 --> 00:01:21.120]  真的是一位史無變有的神
[00:01:21.120 --> 00:01:22.200]  Amen
[00:01:22.200 --> 00:01:22.720]  給你們保重
[00:01:22.720 --> 00:01:23.800]  我們神史無變有
[00:01:23.800 --> 00:01:26.800]  我跟他說
[00:01:26.800 --> 00:01:27.800]  二十五年前
[00:01:27.800 --> 00:01:28.840]  當我們第一次
[00:01:28.840 --> 00:01:32.480]  把腳踏在多戈的土地上的時候
[00:01:32.480 --> 00:01:36.440]  我們面對的一個完全陌生的環境
[00:01:36.440 --> 00:01:38.840]  完全陌生的人群
[00:01:38.840 --> 00:01:42.240]  也是完全陌生的語言跟文化
[00:01:42.240 --> 00:01:45.400]  我們當時真的是一無所有
[00:01:45.400 --> 00:01:49.760]  只是憑著單純的信心來跟隨神
[00:01:49.760 --> 00:01:52.480]  而現在二十五年之後
[00:01:52.480 --> 00:01:55.240]  我們已經在非洲十六個國家
[00:01:55.240 --> 00:01:57.760]  建立了一百三十二間教會
[00:01:57.760 --> 00:02:02.400]  Hallelujah
[00:02:02.400 --> 00:02:05.000]  而今年我們要進入第十七個國家
[00:02:05.000 --> 00:02:07.160]  就是賴比瑞亞
