
[00:00:00.000 --> 00:00:02.520]  約拿書今天去到最後一篇講章
[00:00:02.520 --> 00:00:07.480]  亦都是去到第四章最後的一個總結的時候
[00:00:07.480 --> 00:00:10.080]  約拿書這本書其實很簡單
[00:00:10.080 --> 00:00:13.840]  表面上看這個約拿作為上帝的僕人
[00:00:13.840 --> 00:00:16.160]  上帝呼召他成為一個先知
[00:00:16.160 --> 00:00:17.560]  但是他作為一個先知
[00:00:17.560 --> 00:00:20.120]  他和其他的先知是很不同的
[00:00:20.120 --> 00:00:22.560]  因為這個先知給我們的觀感
[00:00:22.560 --> 00:00:25.960]  他絕不信服的一個先知
[00:00:25.960 --> 00:00:28.200]  上帝要他去尼尼微
[00:00:28.200 --> 00:00:30.800]  結果他去了他斯
[00:00:30.800 --> 00:00:32.360]  他很想去他斯
[00:00:32.360 --> 00:00:35.960]  但是上帝讓他在不信服的當中
[00:00:35.960 --> 00:00:39.160]  我們看到這個先知同樣有他的信服
[00:00:39.160 --> 00:00:40.880]  因為真正的不信服
[00:00:40.880 --> 00:00:41.920]  他不會動的
[00:00:41.920 --> 00:00:43.200]  他不去就不去
[00:00:43.200 --> 00:00:44.800]  但是他卻起來
[00:00:44.800 --> 00:00:46.880]  他去到約柏上船
[00:00:46.880 --> 00:00:49.600]  他的目的地就是去到他斯
[00:00:49.600 --> 00:00:53.240]  但是上帝的心意是不能夠不成就的
[00:00:53.240 --> 00:00:56.000]  上帝的心意一定會成就
[00:00:56.000 --> 00:01:00.240]  於是上帝就安排了大風大浪在海上
[00:01:00.240 --> 00:01:02.440]  當時在船上所有的人
[00:01:02.440 --> 00:01:06.840]  個個都去求告他們自己所信的神
[00:01:06.840 --> 00:01:08.720]  但是上帝他們的神
[00:01:08.720 --> 00:01:11.080]  沒有一個神可以平靜風浪
[00:01:11.080 --> 00:01:12.320]  當時他們想起
[00:01:12.320 --> 00:01:15.680]  船上還有一個人是未祈禱的
[00:01:15.680 --> 00:01:17.000]  就是這個約拿
[00:01:17.000 --> 00:01:19.080]  於是他們就去找這個約拿
[00:01:19.080 --> 00:01:20.760]  去到船艙底
[00:01:20.760 --> 00:01:22.640]  見到這個約拿在睡覺
[00:01:22.640 --> 00:01:23.960]  於是就叫醒他
[00:01:23.960 --> 00:01:27.000]  他說不如你求告你的神
[00:01:27.000 --> 00:01:29.400]  約拿很勇敢
[00:01:29.400 --> 00:01:30.800]  他根本沒有祈禱
[00:01:30.800 --> 00:01:31.840]  想都不敢
[00:01:31.840 --> 00:01:33.240]  他說你扔我下海
[00:01:33.240 --> 00:01:35.680]  你扔我下海就搞定了
[00:01:35.680 --> 00:01:36.600]  多勇敢
[00:01:36.600 --> 00:01:38.440]  這個約拿不怕死
[00:01:38.440 --> 00:01:39.600]  絕不怕死
[00:01:39.600 --> 00:01:42.280]  所以我們覺得約拿真的很勇敢
[00:01:42.280 --> 00:01:43.560]  如果有一天我們坐船
[00:01:43.560 --> 00:01:44.360]  我們坐在郵輪
[00:01:44.360 --> 00:01:45.560]  忽然間大風大浪
[00:01:45.560 --> 00:01:46.880]  你跟船員說你扔我下海
[00:01:46.880 --> 00:01:47.800]  那就沒事了
[00:01:47.800 --> 00:01:48.480]  你會不會說呢
[00:01:48.480 --> 00:01:49.480]  你當然不會這麼說
[00:01:49.480 --> 00:01:50.760]  你以為自己笨嗎
[00:01:50.760 --> 00:01:52.200]  他說扔我下海
[00:01:52.200 --> 00:01:55.760]  結果那班船員真的扔他下海
[00:01:55.760 --> 00:01:57.560]  原來約拿被我看到
[00:01:57.560 --> 00:02:00.520]  他並不是一個不怕死的人
[00:02:00.520 --> 00:02:02.200]  當他真的體會到
[00:02:02.200 --> 00:02:03.280]  呼吸不到
[00:02:03.280 --> 00:02:04.280]  在海裏面
[00:02:04.280 --> 00:02:06.240]  被水浸著他
[00:02:06.240 --> 00:02:08.840]  被海草纏繞著他的時候
[00:02:08.840 --> 00:02:09.680]  他開始害怕
[00:02:09.680 --> 00:02:10.880]  他開始祈禱
[00:02:10.880 --> 00:02:14.120]  他的祈禱的神學很正確
[00:02:14.120 --> 00:02:16.360]  他說神一定會救他的
[00:02:16.360 --> 00:02:17.600]  神一定會拯救他的
[00:02:17.600 --> 00:02:20.000]  從坑裏面可以提拔他出來
[00:02:20.000 --> 00:02:22.000]  他的命一定不會死的
[00:02:22.000 --> 00:02:23.680]  就算去到魚肚那邊
[00:02:23.680 --> 00:02:25.560]  他複述他自己的禱文
[00:02:25.560 --> 00:02:27.560]  再加多自己的禱告
[00:02:27.560 --> 00:02:30.360]  他仍然深信上帝的大能
[00:02:30.360 --> 00:02:34.120]  可以將他從死拯救出來
[00:02:34.120 --> 00:02:36.480]  他的神學很正確
[00:02:36.480 --> 00:02:39.000]  他的祈禱很美麗
[00:02:39.000 --> 00:02:40.760]  全部用詩篇
[00:02:40.760 --> 00:02:42.680]  他對神的信心
[00:02:42.680 --> 00:02:44.920]  給我們看到很大的信心
