
[00:00:00.000 --> 00:00:01.840]  各位我們又一起讀聖經
[00:00:01.840 --> 00:00:03.640]  《生命書》書架網絡
[00:00:03.640 --> 00:00:05.320]  和大家一起看聖經人
[00:00:05.320 --> 00:00:07.880]  聖經事背後的上帝
[00:00:07.880 --> 00:00:09.720]  他在做什麼
[00:00:09.720 --> 00:00:12.720]  今次仍然是講摩西的故事
[00:00:12.720 --> 00:00:15.160]  他的故事實在很長
[00:00:15.160 --> 00:00:19.080]  現在來到他人生八十歲以後
[00:00:19.080 --> 00:00:21.480]  大以色列人出埃及
[00:00:21.480 --> 00:00:23.080]  去到曠野
[00:00:23.080 --> 00:00:24.320]  過紅海
[00:00:24.320 --> 00:00:29.120]  今天是看耶和華施行的救恩
[00:00:29.120 --> 00:00:31.400]  看耶和華施行的救恩
[00:00:31.400 --> 00:00:35.200]  是今天和大家一起看的故事
[00:00:35.200 --> 00:00:39.560]  《出埃及記》第十四章第十節
[00:00:39.560 --> 00:00:41.640]  法老臨近的時候
[00:00:41.640 --> 00:00:44.560]  以色列人舉目
[00:00:44.560 --> 00:00:48.600]  看見埃及人趕來
[00:00:48.600 --> 00:00:50.760]  就甚懼怕
[00:00:50.760 --> 00:00:54.720]  就向耶和華哀求
[00:00:54.720 --> 00:00:56.400]  讀多一次
[00:00:56.400 --> 00:00:57.760]  為什麼要讀多一次呢
[00:00:57.760 --> 00:00:58.920]  慢慢讀多一次
[00:00:58.920 --> 00:01:03.440]  會令到我們對於經文的感受強一些
[00:01:03.440 --> 00:01:07.840]  如果你發覺讀聖經有時不太入味
[00:01:07.840 --> 00:01:10.880]  你要自己慢讀
[00:01:10.880 --> 00:01:14.520]  而且是連續重複讀它幾次
[00:01:14.520 --> 00:01:17.280]  你就會進入到那個場景裡
[00:01:17.280 --> 00:01:19.000]  多很多的
[00:01:19.000 --> 00:01:22.120]  法老臨近的時候
[00:01:22.120 --> 00:01:24.800]  以色列人舉目
[00:01:24.800 --> 00:01:27.640]  看見埃及人趕來
[00:01:27.640 --> 00:01:29.480]  就甚懼怕
[00:01:29.480 --> 00:01:32.480]  向耶和華哀求
[00:01:32.480 --> 00:01:37.280]  他們那時候就去到海邊對著對面海的地方
[00:01:37.280 --> 00:01:38.960]  叫巴力西芬
[00:01:38.960 --> 00:01:41.920]  他們就在這裡對著對面海
[00:01:41.920 --> 00:01:43.800]  這個時間
[00:01:43.800 --> 00:01:45.320]  法老臨近
[00:01:45.320 --> 00:01:47.440]  他看見埃及的追兵
[00:01:47.440 --> 00:01:48.440]  嘩
[00:01:48.440 --> 00:01:50.560]  有很多塵
[00:01:50.560 --> 00:01:51.840]  什麼事呢
[00:01:51.840 --> 00:01:53.200]  快點派人去看一看
[00:01:53.200 --> 00:01:53.720]  一看
[00:01:53.720 --> 00:01:54.600]  嘩
[00:01:54.600 --> 00:01:58.760]  很遠就看到知道是法老、埃及的兵
[00:01:58.760 --> 00:01:59.920]  心裡面就知道
[00:01:59.920 --> 00:02:01.120]  死了
[00:02:01.120 --> 00:02:03.680]  來追我們了
[00:02:03.680 --> 00:02:05.200]  以色列人舉目
[00:02:05.200 --> 00:02:07.400]  看見埃及人趕來
[00:02:07.400 --> 00:02:08.840]  自然是怎樣呢
