
[00:00:00.000 --> 00:00:04.680]  主持人:上個星期我們講了一個很重要的教會生活的題目
[00:00:04.680 --> 00:00:08.600]  主持人:上個星期我們講了一個很重要的有關教會生活的題目
[00:00:08.600 --> 00:00:10.840]  主持人:我們講到教會裏面的敬拜
[00:00:10.840 --> 00:00:12.600]  主持人:提到了教會裏面的敬拜
[00:00:12.600 --> 00:00:14.840]  主持人:今天我們講另外一個很重要的題目
[00:00:14.840 --> 00:00:17.120]  主持人:今天我們要講的是另外一個很重要的題目
[00:00:17.120 --> 00:00:17.160]  主持人:今天我們要講的是另外一個很重要的題目 主持人:今天我們要講的是另外一個很重要的題目
[00:00:17.160 --> 00:00:17.200]  主持人:今天我們要講的是另外一個很重要的題目 主持人:今天我們要講的是另外一個很重要的題目
[00:00:17.200 --> 00:00:18.000]  主持人:今天我們要講的是另外一個很重要的題目 主持人:這個是侍奉
[00:00:18.000 --> 00:00:37.000]  主持人:今天我們要講的是另外一個很重要的題目 就是侍奉 上兩個題目可能看上去很不同 但其實他們是不可分割的 大家記得當神差派摩西去見法老的時候 摩西到法老面前如此說
[00:00:37.000 --> 00:01:04.000]  主持人:神說容許我的兒子去 好侍奉我 侍奉這個字的原文也可以翻譯為敬拜 侍奉這個詞的原文也可以翻譯為敬拜 所以有些英文的譯本是敬拜的 所以有些英文的譯本其實翻譯為敬拜
[00:01:04.000 --> 00:01:21.000]  主持人:意思就是說神的指明 蒙救贖 原本就是為了侍奉和敬拜 接著神頒佈了十誡 十誡裡面的第四誡這樣說
[00:01:21.000 --> 00:01:35.000]  主持人:十誡中的第四誡如此說 祂說你們六日要做工 不過第七日要安息 你六日要中國 不過第七日要安息 這裡提到的做工和剛才我們說的侍奉是同一個字
[00:01:35.000 --> 00:01:48.000]  主持人:和我們剛才提到的侍奉是同一個詞 主持人:我們可以這樣理解 祂說六日要侍奉敬拜神 六天要侍奉敬拜神 第七日就得享安息 第七日得享安息
[00:01:48.000 --> 00:02:00.000]  主持人:很明顯意思並不是說我們六日只是為了自己的工作 主持人:很明顯祂不是只是說六日只是為自己做工 主持人:然後第七日可以來教會敬拜 主持人:第七日來教會敬拜
[00:02:00.000 --> 00:02:09.000]  主持人:不是這個意思 主持人:不是這個意思 主持人:意思應該說我們信徒每一日的生活和工作 主持人:意思是說我們信徒每一天的生活和工作
[00:02:09.000 --> 00:02:19.000]  主持人:都應該反映出我們對神的敬拜和侍奉的心 主持人:都應該反映出我們對神的敬拜和侍奉的心
[00:02:19.000 --> 00:02:39.000]  主持人:剛才我們所讀的經文一開始 彼得提醒我們萬物的結局近了 我相信沒有人能夠知道這個世界何時完結
[00:02:39.000 --> 00:02:51.000]  主持人:也沒有人知道我們何時離開 主持人:也沒有人知道我們何時離開 主持人:也沒有人知道我們何時離開
[00:02:51.000 --> 00:02:58.000]  主持人:不過無論世界何時完結 主持人:不過無論世界何時完結 主持人:或者我們何時離開 主持人:或者我們何時離開
[00:02:58.000 --> 00:03:05.000]  主持人:彼得提醒我們總有一天我們要離開 主持人:彼得提醒我們總有一天我們要離開
[00:03:05.000 --> 00:03:10.000]  主持人:有人提出Bible這個詞
[00:03:10.000 --> 00:03:20.000]  主持人:有人提出Bible這個詞
[00:03:20.000 --> 00:03:26.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:03:26.000 --> 00:03:29.000]  主持人:這個詞可以說是離開世界前的基本指令 主持人:這個詞可以說是離開世界前的基本指令
[00:03:29.000 --> 00:03:30.000]  主持人:這個詞可以說是離開世界前的基本指令 主持人:這個詞可以說是離開世界前的基本指令
[00:03:30.000 --> 00:03:31.000]  主持人:這個詞可以說是離開世界前的基本指令 主持人:這個詞可以說是離開世界前的基本指令
[00:03:31.000 --> 00:03:32.000]  主持人:這個詞可以說是離開世界前的基本指令 主持人:這個詞可以說是離開世界前的基本指令
[00:03:32.000 --> 00:03:37.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:03:37.000 --> 00:03:37.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:03:37.000 --> 00:03:42.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:03:42.000 --> 00:03:47.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:03:47.000 --> 00:03:52.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:03:52.000 --> 00:03:57.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:03:57.000 --> 00:04:02.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:02.000 --> 00:04:07.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:07.000 --> 00:04:12.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:12.000 --> 00:04:17.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:17.000 --> 00:04:22.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:22.000 --> 00:04:27.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:27.000 --> 00:04:32.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:32.000 --> 00:04:37.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:37.000 --> 00:04:42.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:42.000 --> 00:04:47.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:47.000 --> 00:04:52.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:52.000 --> 00:04:57.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:04:57.000 --> 00:05:02.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:05:02.000 --> 00:05:07.000]  主持人:這個詞可以說是離開世界前的基本指令
[00:05:07.000 --> 00:05:12.000]  主持人:這個詞可以說是離開世界前的基本指令
