
[00:00:00.000 --> 00:00:02.000]  今天跟大家講一個題目
[00:00:02.000 --> 00:00:04.000]  就是「我軟弱,我降福」
[00:00:04.000 --> 00:00:09.360]  剛才何良執事跟我們讀了短短幾節經文
[00:00:09.360 --> 00:00:10.960]  但是他也有些印象
[00:00:10.960 --> 00:00:13.760]  耶穌基督被釘十字架之前
[00:00:13.760 --> 00:00:14.720]  一晚上
[00:00:14.720 --> 00:00:18.160]  他跟門徒去到喀西馬利園去禱告
[00:00:18.160 --> 00:00:21.040]  準備面對這個十字架
[00:00:21.040 --> 00:00:27.080]  一個上十字架釘上十架
[00:00:27.080 --> 00:00:28.160]  成就的救恩
[00:00:28.360 --> 00:00:31.160]  心裡面極其沉重
[00:00:31.160 --> 00:00:33.960]  接著另一節就是
[00:00:33.960 --> 00:00:35.240]  《猶人福音69章》
[00:00:35.240 --> 00:00:36.680]  就是釘十字架之後
[00:00:36.680 --> 00:00:39.360]  死之前最後一句話
[00:00:39.360 --> 00:00:40.360]  「成了」
[00:00:40.360 --> 00:00:44.480]  我就想分開三方面講
[00:00:44.480 --> 00:00:45.440]  一方面就是
[00:00:45.440 --> 00:00:45.920]  第一
[00:00:45.920 --> 00:00:48.200]  主所喝的杯
[00:00:48.200 --> 00:00:49.680]  主所飲的杯
[00:00:49.680 --> 00:00:51.560]  第二方面就是
[00:00:51.560 --> 00:00:53.520]  降福於主
[00:00:53.520 --> 00:00:55.960]  第三方面是主說
[00:00:55.960 --> 00:00:57.200]  「成了」
[00:00:58.360 --> 00:01:00.800]  第一方面是講主所飲的杯
[00:01:00.800 --> 00:01:01.480]  是什麼呢?
[00:01:01.480 --> 00:01:03.640]  當然了
[00:01:03.640 --> 00:01:04.760]  如果還沒有講
[00:01:04.760 --> 00:01:06.280]  經文有說
[00:01:06.280 --> 00:01:07.400]  「我願意」
[00:01:07.400 --> 00:01:09.520]  如果你願意就將杯子切開
[00:01:09.520 --> 00:01:10.400]  不要讓我飲
[00:01:10.400 --> 00:01:11.760]  可以飲一個苦杯
[00:01:11.760 --> 00:01:13.200]  大家會留意到
[00:01:13.200 --> 00:01:14.360]  但其實
[00:01:14.360 --> 00:01:20.480]  在進入喀西馬利園的時候
[00:01:20.480 --> 00:01:22.040]  你會看到其實
[00:01:22.040 --> 00:01:23.640]  主耶穌
[00:01:24.880 --> 00:01:28.440]  是飲一個姑籍的杯
[00:01:28.440 --> 00:01:29.840]  姑籍的杯
[00:01:29.840 --> 00:01:31.400]  為什麼這麼說呢?
