
[00:00:00.000 --> 00:00:04.400]  我們今天一起去看啟示錄
[00:00:04.400 --> 00:00:08.320]  首先我們會問一個問題
[00:00:08.320 --> 00:00:12.640]  為什麼要去看啟示錄?
[00:00:12.640 --> 00:00:16.720]  很多人一聽到啟示錄
[00:00:16.720 --> 00:00:20.880]  第一個反應是很難明白
[00:00:20.880 --> 00:00:26.320]  很多怪獸、很多符號、異象
[00:00:26.320 --> 00:00:29.120]  好像在說世界末日
[00:00:29.120 --> 00:00:31.120]  很多災難
[00:00:31.120 --> 00:00:36.480]  又好像和我們現在的生活距離很遠
[00:00:36.480 --> 00:00:39.280]  沒有什麼實際的關係
[00:00:39.280 --> 00:00:47.040]  我就想跟大家說一個關於一本書的故事
[00:00:47.040 --> 00:00:50.400]  大家有沒有聽過這個世界有一本書
[00:00:50.400 --> 00:00:55.200]  叫做世上最難明的書
[00:00:55.200 --> 00:00:58.080]  世上最難明的書
[00:00:58.080 --> 00:00:59.760]  大家知不知道是哪一本?
[00:00:59.760 --> 00:01:01.200]  亞裔人有額頭
[00:01:01.200 --> 00:01:02.720]  果然很博學
[00:01:02.720 --> 00:01:07.040]  這本書叫做Woynich's Manuscript
[00:01:07.040 --> 00:01:09.280]  中文也無謂翻譯
[00:01:09.280 --> 00:01:12.480]  它是一本15世紀的手稿
[00:01:12.480 --> 00:01:14.960]  裡面有文字
[00:01:14.960 --> 00:01:16.960]  又有插圖
[00:01:16.960 --> 00:01:18.960]  裡面有很多植物
[00:01:18.960 --> 00:01:23.200]  有很多人體的器官、身體
[00:01:23.200 --> 00:01:26.000]  還有很多天文的圖像
[00:01:26.000 --> 00:01:29.600]  看上去覺得很有意思
[00:01:29.600 --> 00:01:30.960]  很深奧
[00:01:30.960 --> 00:01:32.960]  但問題就來了
[00:01:32.960 --> 00:01:34.960]  就是到今天為止
[00:01:34.960 --> 00:01:38.800]  沒有人真正知道他寫什麼
[00:01:38.800 --> 00:01:41.840]  文碼學家研究過
[00:01:41.840 --> 00:01:44.480]  語言學家研究過
[00:01:44.480 --> 00:01:47.520]  現在我們人工智能
[00:01:47.520 --> 00:01:49.520]  人工智能也研究過
[00:01:49.520 --> 00:01:51.520]  結果都是一樣
[00:01:51.520 --> 00:01:53.120]  我們看到
[00:01:53.120 --> 00:01:56.320]  但是我們不明白
[00:01:56.320 --> 00:01:59.440]  很有趣的
[00:01:59.440 --> 00:02:01.920]  很多人每次說起啟示錄
[00:02:01.920 --> 00:02:03.920]  其實都用同一個語氣
[00:02:03.920 --> 00:02:05.920]  很難明白
[00:02:05.920 --> 00:02:07.920]  很多怪獸
[00:02:07.920 --> 00:02:09.920]  很多符號
[00:02:09.920 --> 00:02:11.920]  好像看到
[00:02:11.920 --> 00:02:15.040]  但不知道他想說什麼
[00:02:15.040 --> 00:02:18.560]  於是啟示錄就變成一本
[00:02:18.560 --> 00:02:21.280]  只是專家才看的書
[00:02:21.280 --> 00:02:23.840]  末日迷才看的書
[00:02:23.840 --> 00:02:29.600]  某程度上屬於一本關我什麼事的書
[00:02:29.600 --> 00:02:33.120]  彷彿是一本不想別人明白的書
[00:02:33.120 --> 00:02:35.120]  但我又想問
[00:02:35.120 --> 00:02:42.560]  啟示錄是不是一本不想讓人明白的書
[00:02:42.560 --> 00:02:46.240]  其實啟示錄一開始已經說得很清楚
[00:02:46.240 --> 00:02:51.600]  第一個字是啟示
[00:02:51.600 --> 00:02:56.080]  啟示這個字不是隱藏
[00:02:56.080 --> 00:02:58.080]  不是加密
[00:02:58.080 --> 00:03:02.080]  意思是要揭開
[00:03:02.080 --> 00:03:04.080]  要顯示
[00:03:04.080 --> 00:03:06.080]  要讓人看見一些事情的意思
[00:03:06.080 --> 00:03:10.000]  啟示錄和這本書最大的不同
[00:03:10.000 --> 00:03:12.000]  就是一本
[00:03:12.000 --> 00:03:14.720]  有人說這本是惡作劇
[00:03:14.720 --> 00:03:16.720]  永遠都解不明白
[00:03:16.720 --> 00:03:23.280]  但啟示錄就是一本神很想我們看得明白的書
[00:03:23.280 --> 00:03:27.680]  所以啟示錄本身不是隱藏了什麼秘密的天書
[00:03:27.680 --> 00:03:31.120]  而是一本教導我們作為信徒
[00:03:31.120 --> 00:03:34.080]  怎樣去看這個世界的書卷
[00:03:34.080 --> 00:03:36.080]  是一本告訴我們
[00:03:36.080 --> 00:03:38.080]  在這個世界很混亂
[00:03:38.080 --> 00:03:40.080]  很逼迫
