
[00:00:00.000 --> 00:00:03.580]  我在這段時間用了「光臨多前書」
[00:00:03.580 --> 00:00:06.060]  去連續地逐章逐章講
[00:00:06.060 --> 00:00:07.640]  今天講到第四章
[00:00:07.640 --> 00:00:10.040]  講教會裏面有很多問題
[00:00:10.040 --> 00:00:12.000]  「光臨多前書」就是
[00:00:12.000 --> 00:00:16.680]  保羅藉著這幾卷書卷去教導「光臨多教會」
[00:00:16.680 --> 00:00:17.740]  指出他們的問題
[00:00:17.740 --> 00:00:19.720]  以及按照神的話語
[00:00:19.720 --> 00:00:22.040]  聖經教導應該怎樣去面對
[00:00:22.040 --> 00:00:26.580]  由三月份到現在已經講了這麼多
[00:00:26.580 --> 00:00:28.320]  我不知道大家又記得多少
[00:00:28.320 --> 00:00:31.260]  或者有些可能一段時間沒有回來崇拜
[00:00:31.260 --> 00:00:32.360]  現在回來
[00:00:32.360 --> 00:00:36.100]  但是我想跟大家重溫最上一次
[00:00:36.100 --> 00:00:37.900]  最上一次是在講
[00:00:37.900 --> 00:00:42.040]  光臨多教會的人其實在屬靈裏面還未成長
[00:00:42.040 --> 00:00:43.320]  他講到有三類人
[00:00:43.320 --> 00:00:45.000]  大家想想自己是哪一類人
[00:00:45.000 --> 00:00:47.020]  第一類人就是屬血氣的
[00:00:47.020 --> 00:00:49.780]  就是說他們還未接受福音
[00:00:49.780 --> 00:00:52.420]  而且是拒絕聖靈的
[00:00:52.420 --> 00:00:54.280]  我不知道我們應該在這裏沒有了
[00:00:54.280 --> 00:00:56.380]  因為這些等於被信主而已
[00:00:56.380 --> 00:00:58.180]  第二個階段就是
[00:00:58.180 --> 00:00:59.860]  他已經接受了福音
[00:00:59.860 --> 00:01:00.820]  十格的福音
[00:01:00.820 --> 00:01:03.360]  但是他是不順從聖靈
[00:01:03.360 --> 00:01:04.080]  不順從聖靈
[00:01:04.080 --> 00:01:04.900]  這些叫做什麼呢?
[00:01:04.900 --> 00:01:06.560]  屬肉體的基督徒
[00:01:06.560 --> 00:01:09.520]  另外第三類人就是屬靈的基督徒
[00:01:09.520 --> 00:01:10.120]  就是怎樣呢?
[00:01:10.120 --> 00:01:11.360]  他相信了福音
[00:01:11.360 --> 00:01:13.700]  而且是順從聖靈的
[00:01:13.700 --> 00:01:15.500]  大家覺得自己是哪一種呢?
[00:01:15.500 --> 00:01:16.900]  不用告訴我
[00:01:16.900 --> 00:01:19.420]  不過我相信大部分人都在二和三之間
[00:01:19.420 --> 00:01:21.000]  我們相信了福音
[00:01:21.000 --> 00:01:23.840]  但是我們裏面有一個魔鬼
[00:01:23.840 --> 00:01:25.040]  又有一個聖靈在當中
[00:01:25.040 --> 00:01:26.180]  好像真字那樣
[00:01:26.180 --> 00:01:28.400]  我們很想順從聖靈的,有時候又不行
[00:01:28.400 --> 00:01:31.900]  所以我們就需要好好去靈修
[00:01:31.900 --> 00:01:33.660]  好好跟神建立關係
[00:01:33.660 --> 00:01:36.240]  很需要回到教會,彼此互相去支持
[00:01:36.240 --> 00:01:40.040]  這個就是保羅很想讓哥倫多教會裏面的人知道
[00:01:40.040 --> 00:01:41.280]  要提醒我們
[00:01:41.280 --> 00:01:44.800]  我們屬靈生命是要不斷追求成長的
[00:01:44.800 --> 00:01:45.840]  而另外一樣東西
[00:01:45.840 --> 00:01:48.140]  保羅也用了三個比喻
[00:01:48.140 --> 00:01:52.380]  將教會的成長用三個比喻去帶出來
[00:01:52.380 --> 00:01:54.180]  第一個是田地的比喻
[00:01:54.180 --> 00:01:58.600]  就好像他形容保羅自己就是殺種
[00:01:58.600 --> 00:02:00.140]  阿波羅就是囂貫
[00:02:00.140 --> 00:02:02.340]  為了神叫他生長
[00:02:02.340 --> 00:02:03.540]  提醒了我們
[00:02:03.540 --> 00:02:07.100]  在教會裏面我們可能會接受到不同的牧者
[00:02:07.100 --> 00:02:10.700]  傳道、執事、道師、主學老師
[00:02:10.700 --> 00:02:13.360]  給我們很多不同的教導
[00:02:13.360 --> 00:02:17.300]  但是上帝使我們生命去成長
[00:02:17.300 --> 00:02:21.660]  第二他用建屋做一個比喻
[00:02:21.660 --> 00:02:25.260]  提醒我們基督耶穌是我們教會的根基
[00:02:25.260 --> 00:02:27.300]  也是我們生命的根基
[00:02:27.300 --> 00:02:31.720]  而我們要用上好的材料去建立我們的教會
[00:02:31.720 --> 00:02:34.100]  建立我們屬靈的生命
[00:02:34.100 --> 00:02:36.940]  在講道裏面也提及過有六個材料
[00:02:36.940 --> 00:02:39.060]  金、銀、寶石
[00:02:39.060 --> 00:02:41.700]  然後是草、木、和階
[00:02:41.700 --> 00:02:43.200]  應該是木、草、和階
[00:02:43.200 --> 00:02:46.800]  由最堅硬的一直倒數下去
[00:02:46.800 --> 00:02:50.460]  提醒我們將來會面對很多試煉
[00:02:50.460 --> 00:02:51.580]  很多逼迫
[00:02:51.580 --> 00:02:54.620]  如果你有堅硬真實的屬靈的材料
[00:02:54.620 --> 00:02:56.980]  幫助你去建立你屬靈的生命
[00:02:56.980 --> 00:02:58.420]  你就經歷了試煉
[00:02:58.420 --> 00:03:00.420]  經歷了幾火的試煉
[00:03:00.420 --> 00:03:02.020]  能夠站立得住
[00:03:02.020 --> 00:03:03.860]  第三個比喻提醒我們
[00:03:03.860 --> 00:03:07.500]  我們每一個身體都是聖靈的殿
[00:03:07.500 --> 00:03:10.580]  有聖靈居住在我們教會的群體當中
[00:03:10.580 --> 00:03:13.340]  也居住在我們每個屬靈的生命裏面
[00:03:13.340 --> 00:03:15.980]  而我們要好好保養顧惜自己的身體
[00:03:15.980 --> 00:03:17.540]  保持聖潔
[00:03:17.540 --> 00:03:23.460]  亦預告在第五、六章會說一些淫亂
[00:03:23.460 --> 00:03:25.300]  性道德的敗壞
[00:03:25.300 --> 00:03:27.660]  提醒我們要好好保護自己的身體
[00:03:27.660 --> 00:03:29.260]  不要污穢聖靈的殿
[00:03:29.260 --> 00:03:32.620]  否則會受到上帝的毀壞
[00:03:32.620 --> 00:03:34.900]  這是上一次提到的
[00:03:34.900 --> 00:03:39.260]  其實這個方向是指向教會
[00:03:39.260 --> 00:03:41.660]  要追求一個屬靈的成長
[00:03:41.660 --> 00:03:42.660]  為什麼?
[00:03:42.660 --> 00:03:45.100]  因為在哥林多教裏面對很多問題
[00:03:45.100 --> 00:03:46.780]  一直都在說
[00:03:46.780 --> 00:03:48.820]  輕輕用回一些點題
[00:03:48.820 --> 00:03:49.980]  各自各山頭
[00:03:49.980 --> 00:03:54.980]  他們分為保羅派、亞波羅派、基法派
[00:03:54.980 --> 00:03:57.140]  很多不同的分門派別
[00:03:57.140 --> 00:03:57.700]  為什麼呢?
[00:03:57.700 --> 00:03:59.980]  因為背後他們有屬靈的驕傲
[00:03:59.980 --> 00:04:04.940]  他們被一些世俗的觀念影響了
[00:04:04.940 --> 00:04:07.180]  一些世俗的智慧高舉了
[00:04:07.180 --> 00:04:10.660]  而放下了十價的道理
[00:04:10.660 --> 00:04:13.500]  以致他們屬靈上是一個未成長的人
[00:04:13.500 --> 00:04:15.660]  而今天去到第四章
[00:04:15.660 --> 00:04:17.860]  可以說是單元上
[00:04:17.860 --> 00:04:22.940]  保羅很想去總結他的心聲
[00:04:22.940 --> 00:04:25.020]  剛巧我們講到這裏
[00:04:25.020 --> 00:04:27.660]  今天是父親節
[00:04:27.660 --> 00:04:31.260]  其實保羅有一個屬靈父親的面貌
[00:04:31.260 --> 00:04:33.780]  是他講出來的心聲
[00:04:33.780 --> 00:04:37.540]  可能我們作為一個父親
[00:04:37.540 --> 00:04:39.980]  或者我們作為一個屬靈的父親
[00:04:39.980 --> 00:04:43.860]  在教會裏面都有擔當導師、主學老師
[00:04:43.860 --> 00:04:46.180]  再培養不同的職份
[00:04:46.180 --> 00:04:51.260]  在你建立生命的過程當中
[00:04:51.260 --> 00:04:52.820]  稍後保羅所講的
[00:04:52.820 --> 00:04:56.460]  對你來說有沒有什麼心聲是值得我們回應的呢?
[00:04:56.460 --> 00:04:59.500]  我們預備我們的心靈去聽神的話語
[00:04:59.500 --> 00:05:01.620]  我們同心禱告
[00:05:01.620 --> 00:05:03.780]  天父我求你幫助我們
