
[00:00:00.000 --> 00:00:05.720]  大家好,平安,生命樹又和大家讀聖經了,聖經人,聖經事
[00:00:05.720 --> 00:00:11.200]  這次又是講以色列沒有王,沒有王管,各人任意而行
[00:00:11.200 --> 00:00:15.000]  第六集了,第五集昨天是講
[00:00:15.000 --> 00:00:19.480]  卞雅敏基比亞城裏面的匪徒,一班匪幫
[00:00:19.480 --> 00:00:26.440]  怎樣做了這四個字呢,叫做凶淫醜惡
[00:00:26.440 --> 00:00:35.320]  這次就被算帳了,卞雅敏的基比亞
[00:00:35.320 --> 00:00:41.000]  全個以色列各國的支派一起來找卞雅敏
[00:00:41.000 --> 00:00:45.240]  你們的人很差,快些把匪徒交出來
[00:00:45.240 --> 00:00:49.080]  我們要對付他,清除他這麼差這麼頑皮
[00:00:49.080 --> 00:00:53.520]  原來以色列裏面有很多好人,都是正義的
[00:00:53.520 --> 00:00:57.160]  不行,他們一定要把這班匪徒清除
[00:00:57.160 --> 00:01:01.320]  誰知卞雅敏人縱容這班匪徒
[00:01:01.320 --> 00:01:05.160]  不惜一戰,打就打,跟你打,我不交出來
[00:01:05.160 --> 00:01:10.120]  不交出來就打,打就打,你以為我怕你
[00:01:10.120 --> 00:01:13.240]  卞雅敏人縱容這班匪徒,很差
[00:01:13.240 --> 00:01:18.720]  不惜一戰,自史記十九章的二十七到二十章的十七字
[00:01:18.720 --> 00:01:23.560]  這幾次經文很長,忍耐些讀聖經
[00:01:23.560 --> 00:01:26.400]  自史記十九章二十七字
[00:01:26.400 --> 00:01:29.840]  卞雅敏人縱容匪徒,打仗就打仗
[00:01:29.840 --> 00:01:35.120]  那個女人很可憐,經過一晚的折磨凌辱之後
[00:01:35.120 --> 00:01:40.240]  清早才回到家,可能還不認識路
[00:01:40.240 --> 00:01:44.400]  回到家,一見到門口已經暈倒
[00:01:44.400 --> 00:01:56.040]  門也敲不開,今天早晨她的主人起來開了房門就要走了
[00:01:56.040 --> 00:02:02.640]  這個主人也很奇怪,猶大支派的利未人
[00:02:02.640 --> 00:02:07.600]  可能很心急,已經耽誤了幾天,被外父拘捕
[00:02:07.600 --> 00:02:14.360]  要回去聖殿工作,要去士羅聖殿工作
[00:02:14.360 --> 00:02:20.880]  很想急行,昨晚太太被人捉了出去
[00:02:20.880 --> 00:02:26.680]  老爺怎麼把妾推了出去,不是這樣又怎樣
[00:02:26.680 --> 00:02:33.680]  公立進來還死,早上起來走路,走了
[00:02:33.680 --> 00:02:38.360]  這裡沒有解釋,他不是去找他的妾嗎?
[00:02:38.360 --> 00:02:44.480]  沒有解釋,起床走路,要走了
[00:02:44.480 --> 00:02:53.040]  可能他請老人家趕回去聖殿會望
[00:02:53.040 --> 00:02:58.480]  要回去聖殿工作,是利未人,心急
[00:02:58.480 --> 00:03:04.360]  不如你幫我找我的妾,我再回來接她,你先招呼她
[00:03:04.360 --> 00:03:09.400]  衝門走路,不料老婦人撲倒在房門前
[00:03:09.400 --> 00:03:13.920]  一開門要走,見到她一開門就跌進來
[00:03:13.920 --> 00:03:19.880]  好像拍戲一樣,一跌進來,兩手搭在門槛上
[00:03:19.880 --> 00:03:25.160]  即是說她那個女人回到門口時已經暈倒了
[00:03:25.160 --> 00:03:29.760]  可能趴在門上,一開門想走出去
[00:03:29.760 --> 00:03:34.080]  一開門那個女人就已經趴在那裡
[00:03:34.080 --> 00:03:38.560]  可能回到那裡就跪在那裡摸著門,暈倒了
[00:03:38.560 --> 00:03:43.280]  一開門就趴在那裡,兩手搭在門槛上
[00:03:43.280 --> 00:03:47.120]  從這裡看,推測是這樣
[00:03:47.120 --> 00:03:54.000]  這個游大利未人挺有趣,對老婦人說
[00:03:54.000 --> 00:03:59.040]  「哎呀,起床了,我們要走了,不如一起走吧」
[00:03:59.040 --> 00:04:04.480]  婦人卻不回答,那個女人不懂得回答
[00:04:04.480 --> 00:04:10.000]  這裡沒有說死了沒有,那個女人沒有說死了沒有
[00:04:10.000 --> 00:04:13.680]  但那個女人應該是昏迷了,不懂得回答
[00:04:13.680 --> 00:04:18.880]  可能還有點氣,於是把那人伏在爐上
[00:04:18.880 --> 00:04:24.120]  把他放在爐上,於是起身回本處
[00:04:24.120 --> 00:04:29.440]  回到時羅聖殿會幕那裡,神的殿那裡
[00:04:29.440 --> 00:04:36.720]  回到家裡,其實用刀將妾的屍身切成十二塊
[00:04:36.720 --> 00:04:42.360]  其實她的妾什麼時候死的,上面沒有交代
[00:04:42.360 --> 00:04:46.600]  只是說卻不回答,死了沒有呢?不知道
[00:04:46.600 --> 00:04:50.520]  是已經死了,還是說見她不懂得動
[00:04:50.520 --> 00:04:57.360]  還有點氣,帶她先走,回到家發現她已經死了,不知道
[00:04:57.360 --> 00:05:02.280]  總之回到去,那個女人死了
[00:05:02.280 --> 00:05:08.280]  這個游大支派的利未人是怎樣呢?
[00:05:08.280 --> 00:05:11.280]  為什麼經常說游大支派,利未支派呢?
[00:05:11.280 --> 00:05:13.680]  因為利未支派沒有地
[00:05:13.680 --> 00:05:21.040]  利未支派分散在十二支派裡面住,要給地給他住
[00:05:21.040 --> 00:05:24.520]  給城給他住,旁邊的田給他耕
[00:05:24.520 --> 00:05:27.920]  然後他可以帶領當地的人去敬拜
[00:05:27.920 --> 00:05:31.320]  不是時常去到時羅會幕,在那裡敬拜
[00:05:31.320 --> 00:05:38.520]  但是不能夠施設神像,好像上面說的那些彈人那樣是不行的
[00:05:38.520 --> 00:05:43.880]  不過你這樣做,別人也沒有辦法,因此他回到這裡
[00:05:43.880 --> 00:05:48.960]  因此他是游大支派裡面的利未支派的人
[00:05:48.960 --> 00:05:52.840]  回到去,這個游大支派利未支派的人
[00:05:52.840 --> 00:05:57.000]  用刀將他施生的屍體切成十二塊
[00:05:57.000 --> 00:06:01.880]  然後使人傳送以色列的四境
[00:06:01.880 --> 00:06:05.880]  哇,分屍,這件事搞什麼呢?
[00:06:05.880 --> 00:06:12.720]  其實他要將他的屍體,將他切的屍體告訴十二支派
[00:06:12.720 --> 00:06:25.160]  喂,我的妻子是被這個變眼敏之派在基比亞的匪徒這樣殺死了
[00:06:25.160 --> 00:06:28.880]  我覺得真的很不忿,我覺得很不對
[00:06:28.880 --> 00:06:31.960]  所以我想請大家出來主持公道
[00:06:31.960 --> 00:06:33.520]  是不是一件這樣的事?
[00:06:33.520 --> 00:06:37.120]  是的,屍體也有了,只是腳而已
[00:06:37.120 --> 00:06:42.040]  是的,其他的已經分成十二支派了,這樣真的很慘
[00:06:42.040 --> 00:06:45.480]  所以十二塊是給十二支派
[00:06:45.480 --> 00:06:49.000]  那麼十二支派有沒有包括了變眼敏之派呢?
[00:06:49.000 --> 00:06:53.280]  照樣交給十二支派的頂頭長老
[00:06:53.280 --> 00:06:56.120]  交給他看看,你這樣做,這樣做
[00:06:56.120 --> 00:07:00.000]  然後送到去以色列的四境,即是全部地方
[00:07:00.000 --> 00:07:02.840]  進去二十章的第一至十七節
[00:07:02.840 --> 00:07:07.320]  於是以色列從但這個地方去到比士巴
[00:07:07.320 --> 00:07:12.480]  但就是最北的,就是叫拉益那裡
[00:07:12.480 --> 00:07:16.600]  拉益就是最北的,叫獅子
[00:07:16.600 --> 00:07:21.400]  不過被但支派搶了,就改了名叫但這個城市
[00:07:21.400 --> 00:07:25.160]  比士巴就很南邊,接近菲律士
[00:07:25.160 --> 00:07:29.560]  猶太支派的南邊,由最北到最南
[00:07:29.560 --> 00:07:34.840]  以及住在激烈地的眾人都出來
[00:07:34.840 --> 00:07:40.280]  哇,見到之後,同壽敵蓋,一起出來
[00:07:40.280 --> 00:07:44.160]  聚集在米斯巴耶和華面前
[00:07:44.160 --> 00:07:47.480]  以色列民的首領就是各支派的軍長
[00:07:47.480 --> 00:07:50.640]  都站在上帝百姓的會中
[00:07:50.640 --> 00:07:52.760]  大家帶齊工具
[00:07:52.760 --> 00:07:57.960]  拿刀的步兵有四十萬,哇,厲害
[00:07:57.960 --> 00:08:00.080]  差不多是全國之力
[00:08:00.080 --> 00:08:02.880]  真的個個都生氣,不是吧
