
[00:00:00.000 --> 00:00:02.960]  各位弟兄姊妹、各位朋友平安
[00:00:02.960 --> 00:00:04.580]  我是劉牧師
[00:00:04.580 --> 00:00:09.760]  很喜歡能夠在劉少康牧師陪你讀聖經這個節目裏
[00:00:09.760 --> 00:00:12.580]  跟大家一齊來查考聖經
[00:00:12.580 --> 00:00:15.380]  聖經是神很寶貴的說話
[00:00:15.380 --> 00:00:18.940]  我們應該時時去讀、時時去吸收
[00:00:18.940 --> 00:00:21.980]  如果有人想形容你的人生
[00:00:21.980 --> 00:00:23.900]  你猜他會怎樣形容呢?
[00:00:23.900 --> 00:00:27.080]  你是一個很勤力工作的人
[00:00:27.080 --> 00:00:30.360]  或者有人說你很懂得享受
[00:00:30.360 --> 00:00:32.360]  你很懂得享受世界
[00:00:32.360 --> 00:00:35.720]  或者有人說你的生命很堅強
[00:00:35.720 --> 00:00:40.340]  你是一個很喜歡讚美、敬拜神的人
[00:00:40.340 --> 00:00:46.220]  你想人怎樣形容你的一生呢?
[00:00:46.220 --> 00:00:48.940]  今天就很想跟大家來查考
[00:00:48.940 --> 00:00:54.000]  詩篇第24篇這篇詩篇
[00:00:54.000 --> 00:00:56.140]  我想對於基督徒來說
[00:00:56.140 --> 00:01:00.100]  我們最熟悉的就是詩篇第23篇
[00:01:00.100 --> 00:01:03.000]  很多人都背得出來的
[00:01:03.000 --> 00:01:08.060]  詩篇第22、23和第24
[00:01:08.060 --> 00:01:11.360]  剛剛第23篇是在中間的
[00:01:11.360 --> 00:01:17.400]  我很喜歡叫這三篇詩篇做姐妹的詩篇
[00:01:17.400 --> 00:01:20.560]  第22篇有一個標題
[00:01:20.560 --> 00:01:26.980]  就是「遇到苦難的時候向神的哀求」
[00:01:26.980 --> 00:01:30.160]  第23篇我想我們熟悉得不得了
[00:01:30.160 --> 00:01:33.340]  耶和華就是我的牧者
[00:01:33.340 --> 00:01:36.000]  我必不自缺乏
[00:01:36.000 --> 00:01:38.240]  特別在現在疫情的時候
[00:01:38.240 --> 00:01:41.900]  這篇詩給了我們很大的鼓勵
[00:01:41.900 --> 00:01:44.560]  給了我們很多的安慰
[00:01:44.560 --> 00:01:48.140]  第24篇我們沒有那麼熟悉
[00:01:48.140 --> 00:01:53.580]  這篇詩是講你要向山來仰望
[00:01:53.580 --> 00:01:55.720]  誰是我們的倚靠呢?
[00:01:55.720 --> 00:01:58.300]  眾城門要抬起頭來
[00:01:58.300 --> 00:02:02.020]  榮耀的王他要進來
[00:02:02.020 --> 00:02:06.340]  所以第22篇是大衛作的
[00:02:06.340 --> 00:02:08.220]  他在困苦當中
[00:02:08.220 --> 00:02:10.860]  覺得有時神好像不聽他祈禱
[00:02:10.860 --> 00:02:13.340]  他心裏面有很多的掙扎
[00:02:13.340 --> 00:02:14.400]  很多的矛盾
[00:02:14.400 --> 00:02:16.880]  為何神你好像不理我這樣
[00:02:16.880 --> 00:02:20.920]  結果他哀哀向神呼求
[00:02:20.920 --> 00:02:22.640]  第23篇
[00:02:22.640 --> 00:02:26.580]  大衛我想他經過一段的人生
[00:02:26.580 --> 00:02:28.580]  他又起又跌
[00:02:28.580 --> 00:02:31.920]  有時我們會經過死刃的幽谷
