
[00:00:00.000 --> 00:00:02.200]  今日我們繼續來思想
[00:00:02.200 --> 00:00:05.200]  這個菲律賓書第三章
[00:00:05.200 --> 00:00:07.200]  在過去兩章的聖經裏面
[00:00:07.200 --> 00:00:11.700]  我們看到保羅是特別鼓勵我們信徒
[00:00:11.700 --> 00:00:16.400]  我們要效法耶穌基督
[00:00:16.400 --> 00:00:18.100]  效法耶穌基督是甚麼呢?
[00:00:18.100 --> 00:00:19.900]  效法耶穌基督謙卑
[00:00:19.900 --> 00:00:24.400]  效法耶穌基督的那種馴服
[00:00:24.400 --> 00:00:28.200]  如果我們能謙卑馴服好似耶穌基督的時候
[00:00:28.200 --> 00:00:30.200]  我們必定是蒙恩
[00:00:30.200 --> 00:00:32.500]  然後在第三章開始的時候
[00:00:32.500 --> 00:00:37.100]  保羅其實他整體的教導
[00:00:37.100 --> 00:00:41.500]  是教導我們要生活在恩典裏面
[00:00:41.500 --> 00:00:50.600]  然後保羅他主要整章聖經講到保羅自己的見證
[00:00:50.600 --> 00:00:53.400]  他怎樣生活在恩典裏面
[00:00:53.400 --> 00:00:55.500]  講到保羅的過去
[00:00:55.500 --> 00:00:57.000]  保羅的現在
[00:00:57.000 --> 00:00:58.700]  保羅的未來
[00:00:58.700 --> 00:01:00.300]  這三方面
[00:01:00.300 --> 00:01:05.800]  但我們要從第一節到第三節的時候
[00:01:05.800 --> 00:01:07.500]  其實保羅一開始的時候
[00:01:07.500 --> 00:01:13.800]  是講到基督徒的生活應該知道的事情
[00:01:13.800 --> 00:01:17.100]  我想這個須知很多時候是一些
[00:01:17.100 --> 00:01:21.500]  我們參加一些聚會、營會的時候
[00:01:21.500 --> 00:01:25.500]  或者我們去做某些重要的事情的時候
[00:01:25.500 --> 00:01:29.600]  會給一些指示我們
[00:01:29.600 --> 00:01:31.000]  有些我們必須知道的
[00:01:31.000 --> 00:01:35.500]  你要做下令會的會員
[00:01:35.500 --> 00:01:36.500]  參加下令會
[00:01:36.500 --> 00:01:39.400]  有些事情你一定要知道的
[00:01:39.400 --> 00:01:44.100]  不單止知道你更加要去做
