
[00:00:00.000 --> 00:00:01.440]  「等姐妹平安」
[00:00:01.440 --> 00:00:09.200]  在暑假要講一些跟青年有關的講章、道
[00:00:09.200 --> 00:00:13.560]  因為暑假給人一種很有活力的感覺
[00:00:13.560 --> 00:00:15.320]  雖然天氣很熱
[00:00:15.320 --> 00:00:18.200]  但是青年人放暑假
[00:00:18.200 --> 00:00:20.200]  他們是很有活力
[00:00:20.200 --> 00:00:23.720]  「等姐妹」我們怎樣看青年人?
[00:00:23.720 --> 00:00:29.520]  你怎樣看青年人在生活這個社會裏
[00:00:29.520 --> 00:00:31.200]  所追求的是甚麼?
[00:00:31.200 --> 00:00:38.200]  今日我們社會裏面很崇尚自由、人權
[00:00:38.200 --> 00:00:41.200]  很追求物質生活
[00:00:41.200 --> 00:00:44.280]  但是作為一個青年的信徒
[00:00:44.280 --> 00:00:46.720]  在我們生命的方向裏面
[00:00:46.720 --> 00:00:48.840]  我們可以怎樣選擇?
[00:00:48.840 --> 00:00:51.000]  聖經一段
[00:00:51.000 --> 00:00:53.000]  「智慧者、老師」
[00:00:53.000 --> 00:00:57.320]  又或者是一個信仰群體裏面的長者
[00:00:58.000 --> 00:01:02.080]  他跟青年人講一番說話
[00:01:02.080 --> 00:01:05.720]  給青年人一個訓誨和教導
[00:01:05.720 --> 00:01:08.360]  原來在生活裏面
[00:01:08.360 --> 00:01:10.840]  去到甚麼年紀我們可以自決呢?
[00:01:10.840 --> 00:01:15.240]  其實每一個年紀我們都想自決
[00:01:15.240 --> 00:01:18.400]  由出生開始
[00:01:18.400 --> 00:01:21.920]  剛剛來到這個世界
[00:01:21.920 --> 00:01:27.240]  在生活裏面當我們想要的東西得不到的時候
[00:01:27.240 --> 00:01:28.920]  由嬰兒就要哭
[00:01:28.920 --> 00:01:30.920]  我要喝奶,沒有奶喝我就哭了
[00:01:30.920 --> 00:01:33.720]  我想爸爸媽媽抱,他們不抱我就哭了
[00:01:33.720 --> 00:01:38.000]  以致用這種方式達到目的
[00:01:38.000 --> 00:01:41.440]  去到幼年階段
[00:01:41.440 --> 00:01:42.960]  玩玩具
[00:01:42.960 --> 00:01:46.160]  我想玩的沒有,我就跟隔壁那個爭
[00:01:46.160 --> 00:01:48.240]  又或者我在玩的一樣
[00:01:48.240 --> 00:01:50.720]  隔壁那個有另一樣
[00:01:50.720 --> 00:01:52.040]  可能更加好玩
[00:01:52.040 --> 00:01:54.560]  就扔下自己一樣,搶隔壁那樣
[00:01:55.480 --> 00:01:59.920]  小學、中學都是在一個競爭的環境裏面
[00:01:59.920 --> 00:02:03.840]  在大人的社會環境
[00:02:03.840 --> 00:02:07.440]  我們同樣在一個競爭的社會裏面
[00:02:07.440 --> 00:02:10.120]  我們希望達到
[00:02:10.120 --> 00:02:12.480]  我們認為在我們生活的目標
[00:02:12.480 --> 00:02:14.480]  或者我們的目的裏面
[00:02:14.480 --> 00:02:16.640]  盡我們的方向能力
[00:02:16.640 --> 00:02:20.720]  但是有多少我們是依從神的吩咐呢?
[00:02:20.720 --> 00:02:24.880]  聖經這一段在第三章就去講
[00:02:26.160 --> 00:02:27.600]  原來我們屬神的人
[00:02:27.600 --> 00:02:29.200]  我們是一個群體
[00:02:29.200 --> 00:02:32.000]  我們屬於耶和華神的一班子女
[00:02:32.000 --> 00:02:33.000]  我們就要知道
[00:02:33.000 --> 00:02:36.720]  屬靈的長者就告訴年輕人
[00:02:36.720 --> 00:02:39.320]  我兒,你不要忘記我的教誨
[00:02:39.320 --> 00:02:40.840]  我的心要謹守
