
[00:00:00.000 --> 00:00:05.400]  我在小的時候 我記得常常父母會帶我去公園裡面玩
[00:00:05.400 --> 00:00:10.400]  那在公園裡面其中有一樣我非常喜歡的就是那個哈哈鏡
[00:00:10.400 --> 00:00:12.400]  大家都有照過嗎
[00:00:12.400 --> 00:00:20.400]  那在哈哈鏡裡面我就會看到自己各種的被扭曲的形象
[00:00:20.400 --> 00:00:24.400]  看著的時候蠻滑稽的 然後覺得蠻可笑的
[00:00:24.400 --> 00:00:26.400]  看著就很高興很開心
[00:00:26.400 --> 00:00:32.400]  不過呢 我想假如說真的我就是長得像那個哈哈鏡裡面的那個模樣
[00:00:32.400 --> 00:00:36.400]  我估計我會笑不出來
[00:00:36.400 --> 00:00:42.400]  因為我們都很希望說有一個比較英俊或者是非常美麗的一個形象
[00:00:42.400 --> 00:00:47.400]  以致我們能夠比較有自信的站在別人的面前
[00:00:47.400 --> 00:00:54.400]  我也相信大家有聽過這個摸鏡摸鏡的故事 有聽過嗎
[00:00:54.400 --> 00:00:59.400]  有個人他每天要站在摸鏡面前要問一個問題 問什麼問題
[00:00:59.400 --> 00:01:06.400]  問這個摸鏡 摸鏡今天是誰最美
[00:01:06.400 --> 00:01:11.400]  每個人都希望說長得最漂亮長得最美
[00:01:11.400 --> 00:01:16.400]  而且每個人都盼望說他自己有一面的摸鏡照出來
[00:01:16.400 --> 00:01:20.400]  就是他想要的樣子 他想擁有的最好的那個狀態
[00:01:20.400 --> 00:01:25.400]  其實在這個世界上面我們會看到很多很多的哈哈鏡
[00:01:25.400 --> 00:01:30.400]  就是世俗的眼光很多時候就像一面的哈哈鏡
[00:01:30.400 --> 00:01:33.400]  給我們有不同的形象
[00:01:33.400 --> 00:01:39.400]  而且這個形象往往是欺哄我們的一個形象而不是一個真實的形象
[00:01:39.400 --> 00:01:43.400]  而我們每天都活在別人的眼光裡面
[00:01:43.400 --> 00:01:47.400]  也許在各種扭曲的形象裡面
[00:01:47.400 --> 00:01:53.400]  面對這些時刻被扭曲的哈哈鏡裡面的形象
[00:01:53.400 --> 00:01:56.400]  我們應該要怎麼樣去面對呢
[00:01:56.400 --> 00:01:58.400]  我們有什麼樣的態度呢
[00:01:58.400 --> 00:02:03.400]  我們今天心裡面的那個鏡子照出來我們又是怎樣的一個形象呢
[00:02:03.400 --> 00:02:10.400]  究竟有沒有一面的鏡子能夠真實的反映出我們的本相是怎麼樣的呢
[00:02:10.400 --> 00:02:15.400]  所以今天我們就想從保羅他的經歷裡面來看一下
[00:02:15.400 --> 00:02:17.400]  給我們什麼樣的一些啟發
[00:02:17.400 --> 00:02:22.400]  當然今天我們剛才讀的這個經文只是非常少的一部分
[00:02:22.400 --> 00:02:27.400]  只是保羅的很多的經裡面的一小段
[00:02:27.400 --> 00:02:32.400]  今天沒有辦法說我們很詳細的去看有關保羅的經文
[00:02:32.400 --> 00:02:35.400]  所以今天可能會有點散
[00:02:35.400 --> 00:02:38.400]  那個經文就講到保羅可能不同的時段
[00:02:38.400 --> 00:02:40.400]  他所經歷的某一些的事情
[00:02:40.400 --> 00:02:46.400]  從這些的事情我們來看他是怎麼樣看自己的這個自我形象的
[00:02:46.400 --> 00:02:51.400]  然後他是怎麼樣來看待別人如何看他的
[00:02:51.400 --> 00:02:57.400]  那我們知道在哥林多教會裡面他們會有很多很多的問題
[00:02:57.400 --> 00:03:03.400]  這個哥林多後書其實就是保羅寫給哥林多教會的第二封信
[00:03:03.400 --> 00:03:06.400]  之前有第一封信是哥林多前書
[00:03:06.400 --> 00:03:12.400]  那大家有沒有聽說過問題多多哥林多
[00:03:12.400 --> 00:03:13.400]  沒有聽過
[00:03:13.400 --> 00:03:16.400]  就是哥林多教會很多的問題
[00:03:16.400 --> 00:03:20.400]  就是說這個教會裡面有各種各樣的事情
[00:03:20.400 --> 00:03:24.400]  令保羅非常之煩惱或者非常之頭痛的
[00:03:24.400 --> 00:03:26.400]  在他們裡面很多的問題
[00:03:26.400 --> 00:03:28.400]  比如說結黨
[00:03:28.400 --> 00:03:31.400]  然後他們也有很多的假的教師
[00:03:31.400 --> 00:03:35.400]  也有人犯很多的罪等等
[00:03:35.400 --> 00:03:37.400]  很多的事情就是說這個教會裡面很多的問題
[00:03:37.400 --> 00:03:42.400]  所以保羅希望說寫信警告他們或者勸勉他們
[00:03:42.400 --> 00:03:45.400]  可是寫了第一封信以後他們也沒有什麼好轉
[00:03:45.400 --> 00:03:49.400]  然後保羅決定要親自去到他們那裡
[00:03:49.400 --> 00:03:54.400]  可是去了以後也是沒有什麼好的改變
[00:03:54.400 --> 00:03:56.400]  然後保羅就寫了第二封信
[00:03:56.400 --> 00:04:01.400]  然後希望能夠給他們再有一些的勸勉
[00:04:01.400 --> 00:04:05.400]  在這裡我們來看
[00:04:05.400 --> 00:04:10.400]  其實哥林多教會是保羅所建立的
[00:04:10.400 --> 00:04:14.400]  所以這個教會裡面的信徒應該是很熟悉保羅的
[00:04:14.400 --> 00:04:16.400]  保羅也很熟悉他們
[00:04:16.400 --> 00:04:22.400]  然後在這個教會裡面卻帶給保羅最多的傷害
[00:04:22.400 --> 00:04:26.400]  就是這些他最熟悉的人給他最多的傷害
[00:04:26.400 --> 00:04:29.400]  那這些人怎麼去看待保羅呢?
[00:04:29.400 --> 00:04:32.400]  我們首先來看別人的鏡子
[00:04:32.400 --> 00:04:35.400]  就是這些人他們怎麼來看保羅
[00:04:35.400 --> 00:04:42.400]  他們看了保羅這個形象基本上是被扭曲的一個形象
[00:04:42.400 --> 00:04:47.400]  首先他們從這個外表方面來看保羅
[00:04:47.400 --> 00:04:50.400]  這個經文我們一起來念一下
[00:04:50.400 --> 00:04:52.400]  哥林多後書十章十節的
[00:04:52.400 --> 00:04:59.400]  因為有人說他的信又沉重又厲害直至見面
[00:04:59.400 --> 00:05:04.400]  卻是其貌不揚言語粗俗的
[00:05:04.400 --> 00:05:09.400]  好了保羅曾經寫信給他們去勸勉他們
[00:05:09.400 --> 00:05:13.400]  那他的寫信的那個語氣都是非常的嚴肅
[00:05:13.400 --> 00:05:19.400]  或者說是非常的嚴格對他們的要求
[00:05:19.400 --> 00:05:22.400]  可是給他們真正見面的時候
[00:05:22.400 --> 00:05:25.400]  他們卻發現原來保羅並沒有那麼威嚴
[00:05:25.400 --> 00:05:32.400]  不像信裡面的那個語氣或者是字句表達的那麼有能力有威嚴
[00:05:32.400 --> 00:05:35.400]  所以他們首先看到他的那個樣子就已經覺得
[00:05:35.400 --> 00:05:38.400]  好像跟這個文風不太像
[00:05:38.400 --> 00:05:41.400]  好像不是出自於那個人的
[00:05:41.400 --> 00:05:45.400]  首先是從他的外表他的長相來給他一些的評判
[00:05:45.400 --> 00:05:49.400]  這裡他們用了兩個詞來形容他
[00:05:49.400 --> 00:05:52.400]  第一個是其貌不揚
[00:05:52.400 --> 00:05:56.400]  第二個是言語粗俗
[00:05:56.400 --> 00:06:01.400]  其實在另外的版本的翻譯裡面
[00:06:01.400 --> 00:06:03.400]  其貌不揚其實就是其貌不揚
[00:06:03.400 --> 00:06:05.400]  這可可本的翻譯是其貌不揚
[00:06:05.400 --> 00:06:08.400]  可是你看新義本就是其貌不揚
[00:06:08.400 --> 00:06:13.400]  不過還沒有真正的翻譯到當時的那個最貼近的意思
[00:06:13.400 --> 00:06:16.400]  並不是說他其貌不揚而已
[00:06:16.400 --> 00:06:17.400]  其貌不揚意思是什麼
