
[00:00:00.000 --> 00:00:01.300]  求主幫助我們
[00:00:01.300 --> 00:00:03.000]  祂的聖靈引導
[00:00:03.000 --> 00:00:04.300]  帶領我們
[00:00:04.300 --> 00:00:05.300]  所以要聆聽
[00:00:05.300 --> 00:00:06.300]  我們祈禱
[00:00:06.300 --> 00:00:10.000]  七位恩主祢愛我們
[00:00:10.000 --> 00:00:12.300]  祢叫我們跟隨祢
[00:00:12.300 --> 00:00:14.300]  我們要作好門徒
[00:00:14.300 --> 00:00:16.800]  求主親切的賜福
[00:00:16.800 --> 00:00:18.800]  懇求祢幫助我們
[00:00:18.800 --> 00:00:21.300]  承擔祢的使命的時候
[00:00:21.300 --> 00:00:22.800]  能夠知道
[00:00:22.800 --> 00:00:24.300]  祢的教導
[00:00:24.300 --> 00:00:26.300]  祢給我們的吩咐是怎樣
[00:00:26.300 --> 00:00:27.800]  多謝祢
[00:00:27.800 --> 00:00:29.300]  聽我們的祈禱
[00:00:29.300 --> 00:00:30.800]  奉主銘給
[00:00:30.800 --> 00:00:31.800]  阿門
[00:00:31.800 --> 00:00:34.300]  弟子妹當我們說
[00:00:34.300 --> 00:00:35.800]  我們要作師父的時候
[00:00:35.800 --> 00:00:39.300]  我們去教別人的時候
[00:00:39.300 --> 00:00:42.300]  生命的見證很重要
[00:00:42.300 --> 00:00:44.300]  生命的榜樣很重要
[00:00:44.300 --> 00:00:45.800]  叫人認識的是
[00:00:45.800 --> 00:00:47.800]  主耶穌基督是哪一個
[00:00:47.800 --> 00:00:49.300]  還有
[00:00:49.300 --> 00:00:50.800]  這位的神
[00:00:50.800 --> 00:00:53.300]  要交託我們的使命是怎樣
[00:00:53.300 --> 00:00:57.300]  弟子妹當我們看提摩太前書的時候
[00:00:57.300 --> 00:00:58.300]  保羅
[00:00:58.800 --> 00:01:00.300]  提醒提摩太
[00:01:00.300 --> 00:01:02.300]  其實是要處理教會很多的
[00:01:02.300 --> 00:01:03.800]  不同的問題
[00:01:03.800 --> 00:01:06.300]  去到提摩太後書
[00:01:06.300 --> 00:01:08.800]  就是一封私人的信函
[00:01:08.800 --> 00:01:10.300]  這封信函
[00:01:10.300 --> 00:01:12.300]  其實在保羅離世之前
[00:01:12.300 --> 00:01:14.300]  如果我們看提摩太後書就知道了
[00:01:14.300 --> 00:01:15.800]  在離世之前
[00:01:15.800 --> 00:01:19.800]  給提摩太一個私人的信件
[00:01:19.800 --> 00:01:23.800]  他的信函裡面
[00:01:23.800 --> 00:01:25.800]  很清楚
[00:01:25.800 --> 00:01:28.300]  要講述的
[00:01:28.800 --> 00:01:29.800]  要提的
[00:01:29.800 --> 00:01:32.300]  提摩太他要做的事
[00:01:32.300 --> 00:01:33.800]  第一第二節
[00:01:33.800 --> 00:01:35.300]  一般保羅的書信
[00:01:35.300 --> 00:01:36.800]  都是一個問候
[00:01:36.800 --> 00:01:39.800]  問候裡面就是說
[00:01:39.800 --> 00:01:42.800]  我們按著主耶穌基督所應許的生命
[00:01:42.800 --> 00:01:44.300]  其實在我們的生命裡面
[00:01:44.300 --> 00:01:46.800]  全部都是在主耶穌基督裡面
[00:01:46.800 --> 00:01:49.300]  有一份的結連
[00:01:49.300 --> 00:01:52.300]  作基督耶穌使徒的保羅
[00:01:52.300 --> 00:01:53.300]  然後就說了
[00:01:53.300 --> 00:01:57.800]  你是我所愛的兒子
[00:01:57.800 --> 00:01:59.800]  親愛的兒子提摩太
[00:01:59.800 --> 00:02:03.300]  如果還記得看回提摩太前書的時候
[00:02:03.300 --> 00:02:05.800]  就說提摩太是我的真的兒子
[00:02:05.800 --> 00:02:08.800]  這個祝福裡面
[00:02:08.800 --> 00:02:11.800]  就是說因為憐憫平安
[00:02:11.800 --> 00:02:13.800]  是直著
[00:02:13.800 --> 00:02:14.800]  父神
[00:02:14.800 --> 00:02:16.300]  和我們主耶穌基督
[00:02:16.300 --> 00:02:17.800]  歸給提摩太
[00:02:17.800 --> 00:02:19.800]  問候
[00:02:19.800 --> 00:02:21.800]  提摩太
[00:02:21.800 --> 00:02:23.800]  在整個過程裡面
[00:02:23.800 --> 00:02:25.300]  去稱呼他
[00:02:26.800 --> 00:02:28.300]  彼此之間是一種
[00:02:28.300 --> 00:02:30.300]  淑寧的父子的關係
[00:02:30.300 --> 00:02:31.800]  是一個很親密的關係
[00:02:31.800 --> 00:02:33.300]  這個親密的關係
[00:02:33.300 --> 00:02:34.800]  他寫這封私人信函
[00:02:34.800 --> 00:02:36.300]  我們就會明白
[00:02:36.300 --> 00:02:38.300]  保羅
[00:02:38.300 --> 00:02:39.800]  他感情的流露
[00:02:39.800 --> 00:02:42.300]  面對著的
[00:02:42.300 --> 00:02:44.300]  是當時提摩太
[00:02:44.300 --> 00:02:46.800]  處理教會的一些事情的時候
[00:02:46.800 --> 00:02:48.800]  他面對很多的困難
[00:02:48.800 --> 00:02:49.800]  甚至
[00:02:49.800 --> 00:02:51.800]  這個難
[00:02:51.800 --> 00:02:53.800]  令他
