
[00:00:00.000 --> 00:00:03.000]  親愛的弟兄姊妹主內 平安
[00:00:03.000 --> 00:00:05.000]  今天是母親節
[00:00:05.000 --> 00:00:08.000]  我們都很感謝神的恩典
[00:00:08.000 --> 00:00:11.000]  我們每一個人都能夠有母親
[00:00:11.000 --> 00:00:13.000]  透過母親我們去經驗到
[00:00:13.000 --> 00:00:15.000]  神的愛
[00:00:15.000 --> 00:00:19.000]  願神祝福在座的媽媽
[00:00:19.000 --> 00:00:22.000]  還有弟兄姊妹家中的媽媽
[00:00:22.000 --> 00:00:24.000]  或者弟兄家中的妻子
[00:00:24.000 --> 00:00:27.000]  願神祝福他們心靈健壯
[00:00:27.000 --> 00:00:31.000]  5月是尖浸的猜拳月
[00:00:31.000 --> 00:00:35.000]  在過去有兩個星期的猜拳祈禱會
[00:00:35.000 --> 00:00:41.000]  我們都有機會聽到一些參與宣教侍奉的工人的見證
[00:00:41.000 --> 00:00:45.000]  今晚我選擇了四道行傳這一章的聖經
[00:00:45.000 --> 00:00:49.000]  是想和大家思想在新約教會裏
[00:00:49.000 --> 00:00:54.000]  神一對很能幹的工人的典範
[00:00:54.000 --> 00:00:57.000]  就是阿居拉和伯記拉
[00:00:57.000 --> 00:01:00.000]  他們愛主愛人的榜樣
[00:01:00.000 --> 00:01:03.000]  我希望能夠成為我們的激勵
[00:01:03.000 --> 00:01:09.000]  聖經提到阿居拉和伯記拉至少有六次
[00:01:09.000 --> 00:01:13.000]  有三次都記在保羅的書信裏
[00:01:13.000 --> 00:01:20.000]  保羅對這兩個夫婦很掛念和稱讚他們
[00:01:20.000 --> 00:01:25.000]  聖經每次提到他們都會將他們的名字連在一起
[00:01:25.000 --> 00:01:31.000]  我們看到他們夫婦二人很同心合意一起侍奉主
[00:01:31.000 --> 00:01:35.000]  這對夫婦特別是我們教會裏的夫婦
[00:01:35.000 --> 00:01:37.000]  一起侍奉主的夫婦
[00:01:37.000 --> 00:01:42.000]  都是我們很願意跟他們學習的一個榜樣
[00:01:42.000 --> 00:01:46.000]  而他們兩個的名字第一次出現
[00:01:46.000 --> 00:01:50.000]  就是在主席剛剛讀的經文
[00:01:50.000 --> 00:01:53.000]  《仕途行傳》十八章第二節那裏
[00:01:53.000 --> 00:01:56.000]  提到阿居拉是猶太人
[00:01:56.000 --> 00:02:00.000]  不過他身於小亞細亞的本都
[00:02:00.000 --> 00:02:06.000]  他原本和妻子伯記拉他們兩個僑居住在羅馬
[00:02:06.000 --> 00:02:09.000]  不過當時發生了一些事件
[00:02:09.000 --> 00:02:15.000]  就是有一些猶太教徒迫伯基督徒引起了一些騷亂
[00:02:15.000 --> 00:02:18.000]  所以當時羅馬的皇帝格魯德
[00:02:18.000 --> 00:02:25.000]  下旨將所有的猶太人驅逐出去羅馬城
[00:02:25.000 --> 00:02:30.000]  於是他們一對夫婦就被迫離開羅馬
[00:02:30.000 --> 00:02:36.000]  他們選擇乘船過海去了哥林多城
[00:02:36.000 --> 00:02:45.000]  在他們去哥林多城那裏我們看到阿居拉和伯基拉
[00:02:45.000 --> 00:02:50.000]  他們可以說是一對很能幹的跡象棚者
[00:02:50.000 --> 00:02:52.000]  哥林多在希臘
[00:02:52.000 --> 00:02:56.000]  當時來說是一個很繁盛的商業城市
[00:02:56.000 --> 00:02:59.000]  他們來到哥林多沒多久
[00:02:59.000 --> 00:03:02.000]  他們以跡象棚為業
[00:03:02.000 --> 00:03:07.000]  在那個時候他們遇到福音使者仕途保羅
[00:03:07.000 --> 00:03:12.000]  保羅剛剛從雅典去到哥林多
[00:03:12.000 --> 00:03:15.000]  阿居拉和伯基拉他們和保羅都是一樣
[00:03:15.000 --> 00:03:18.000]  都是以製造象棚為業
[00:03:18.000 --> 00:03:22.000]  他們就接待保羅去到他們的家裏
[00:03:22.000 --> 00:03:25.000]  他們給保羅很大的幫助
[00:03:25.000 --> 00:03:28.000]  保羅在《少行傳》十八章四節
[00:03:28.000 --> 00:03:31.000]  我們看到保羅每逢安息日
[00:03:31.000 --> 00:03:34.000]  他就進入猶太會堂裏面去辯論
[00:03:34.000 --> 00:03:38.000]  去勸化猶太人和那些希臘人
[00:03:38.000 --> 00:03:41.000]  阿居拉和伯基拉他們很能幹
[00:03:41.000 --> 00:03:43.000]  他們去跡象棚
[00:03:43.000 --> 00:03:45.000]  能幹是指他們很有才能
[00:03:45.000 --> 00:03:46.000]  很有本事
[00:03:46.000 --> 00:03:49.000]  能夠升任他們這個職責
[00:03:49.000 --> 00:03:51.000]  他們在工作上很能幹
[00:03:51.000 --> 00:03:54.000]  他們能夠供給保羅所需的一切
[00:03:54.000 --> 00:03:59.000]  可以令到保羅可以專心一意去宣揚福音
[00:03:59.000 --> 00:04:01.000]  特別是伯基拉
[00:04:01.000 --> 00:04:04.000]  在男性很主導的世界裏面
[00:04:04.000 --> 00:04:07.000]  我們見到她和丈夫一起去從商
[00:04:07.000 --> 00:04:09.000]  她不但幫助丈夫
[00:04:09.000 --> 00:04:13.000]  她也在教會裏面去參與服事
[00:04:13.000 --> 00:04:15.000]  就好像現今教會裏面
[00:04:15.000 --> 00:04:19.000]  我們見到很多弟兄姊妹
