
[00:00:00.000 --> 00:00:02.500]  在我開始今天的訊息前
[00:00:02.500 --> 00:00:06.720]  很想跟大家分享一個神蹟、一個經歷
[00:00:06.720 --> 00:00:11.500]  亦都很難用偶然去解釋的經歷
[00:00:11.500 --> 00:00:13.400]  十多年前
[00:00:13.400 --> 00:00:16.640]  我們因為見到一個地方的需要
[00:00:16.640 --> 00:00:19.400]  很多青少年吸毒
[00:00:19.400 --> 00:00:24.400]  甚至我們所認識的一個家庭的大兒子
[00:00:24.400 --> 00:00:27.800]  因為吸毒而死了
[00:00:27.800 --> 00:00:34.000]  留下他的太太和一個仍在腹中的嬰兒
[00:00:34.000 --> 00:00:35.280]  當我們看到這樣的時候
[00:00:35.280 --> 00:00:38.640]  我們心裏面有一個非常大的一種感覺
[00:00:38.640 --> 00:00:41.600]  是需要在這個地方來幫助他們
[00:00:41.600 --> 00:00:49.960]  而他們因為這樣成立了一個青少年的一個中心
[00:00:49.960 --> 00:00:55.000]  是將那些吸毒的、將那些偷的
[00:00:55.000 --> 00:01:01.120]  將那些家庭不要、學校不收
[00:01:01.120 --> 00:01:06.640]  甚至連有關當局都不想再見到他們存在的
[00:01:06.640 --> 00:01:08.920]  一些青少年
[00:01:08.920 --> 00:01:11.760]  由十五歲去到二十歲
[00:01:11.760 --> 00:01:13.960]  為他們成立了一個中心
[00:01:13.960 --> 00:01:17.920]  這麼多年裏面默默耕耘
[00:01:17.920 --> 00:01:24.040]  去將他們的生命透過基督的愛改變他們
[00:01:24.040 --> 00:01:27.440]  在兩個星期前
[00:01:27.440 --> 00:01:31.120]  我本來應該要去這個地方
[00:01:31.120 --> 00:01:33.440]  來幫助他們有一個十週年
[00:01:33.440 --> 00:01:35.160]  一個新孝子
[00:01:35.160 --> 00:01:38.120]  一個慶典
[00:01:38.120 --> 00:01:40.440]  一個紀念
[00:01:40.440 --> 00:01:43.520]  他們說這麼多年畢業的同學
[00:01:43.520 --> 00:01:47.200]  會出來講見證
[00:01:47.200 --> 00:01:53.440]  誰知我去之前兩天多
[00:01:53.440 --> 00:01:57.480]  凌晨五點
[00:01:57.480 --> 00:02:03.440]  我左邊的腹部痛到從未試過這麼痛
[00:02:03.440 --> 00:02:05.800]  劇痛
[00:02:05.800 --> 00:02:09.720]  然後全身冒冷汗
[00:02:09.720 --> 00:02:12.000]  我痛到忍受不了
[00:02:12.000 --> 00:02:18.880]  因為全身的三腹、頭到腳都冒冷汗、濕透了
[00:02:18.880 --> 00:02:23.440]  最終我太太醒來看見我這個樣子的時候
[00:02:23.440 --> 00:02:25.160]  很擔心
[00:02:25.160 --> 00:02:26.920]  我想如果是右邊
[00:02:26.920 --> 00:02:28.960]  我想就是說壓腸油罐
[00:02:28.960 --> 00:02:31.200]  但如果是左邊那個位置
[00:02:31.200 --> 00:02:34.280]  我擔心可能是腎石
[00:02:34.280 --> 00:02:38.520]  所以那個時間因為是五點多
[00:02:38.520 --> 00:02:42.000]  我們教會雖然有二百多個醫生
[00:02:42.000 --> 00:02:47.320]  我不好意思打給任何一個人
[00:02:47.320 --> 00:02:50.000]  我連一個電話都不敢打
[00:02:50.000 --> 00:02:51.440]  就叫醒了我的兒子
[00:02:51.440 --> 00:02:55.000]  開車送我去急症醫院
[00:02:55.000 --> 00:02:58.360]  去到那個時間我仍然痛得很厲害
[00:02:58.360 --> 00:03:00.080]  早上去了三次小便
[00:03:00.080 --> 00:03:02.800]  全部是血
[00:03:02.800 --> 00:03:05.440]  去到那個時間
[00:03:05.440 --> 00:03:08.560]  首先去到拿了個籌
[00:03:08.560 --> 00:03:11.600]  等了一個小時就去到分流站
[00:03:11.600 --> 00:03:14.400]  去到分流站之後再等多一個小時
[00:03:14.400 --> 00:03:17.120]  我去問為甚麼還未輪到我們
[00:03:17.120 --> 00:03:18.760]  因為後面的全部都去了
[00:03:18.760 --> 00:03:20.040]  只剩下我們
[00:03:20.040 --> 00:03:22.200]  接著還要繼續後面來的人
[00:03:22.200 --> 00:03:24.120]  為甚麼還未到我呢
[00:03:24.120 --> 00:03:27.400]  分流站他告訴我們
[00:03:27.400 --> 00:03:31.680]  我是次緊急第二位
[00:03:31.680 --> 00:03:34.320]  聽到第二位都有些希望
[00:03:34.320 --> 00:03:36.240]  最後等多一個小時
[00:03:36.240 --> 00:03:38.960]  先後等了兩個多三個小時
[00:03:38.960 --> 00:03:41.120]  都未輪到我我就覺得奇怪
[00:03:41.120 --> 00:03:42.520]  我太太再去問
[00:03:42.520 --> 00:03:44.560]  為甚麼等這麼久
[00:03:44.560 --> 00:03:46.800]  遲過我的都已經去了
[00:03:46.800 --> 00:03:48.840]  為甚麼還未輪到我們呢
[00:03:48.840 --> 00:03:50.720]  她說查一查
[00:03:50.720 --> 00:03:55.000]  她說你是次緊急第三位
[00:03:55.000 --> 00:03:57.640]  為甚麼還退了呢
[00:03:57.640 --> 00:03:59.320]  真是沒有辦法相信
[00:03:59.320 --> 00:04:01.480]  但那個時間已經去到八點
[00:04:01.480 --> 00:04:03.040]  我們等不到
[00:04:03.040 --> 00:04:04.000]  因為太痛
[00:04:04.000 --> 00:04:06.440]  又痛又凍又累
[00:04:06.440 --> 00:04:09.200]  終於打了個電話
[00:04:09.200 --> 00:04:11.560]  給我們教會一個醫生
[00:04:11.560 --> 00:04:13.640]  他叫我馬上去
[00:04:13.640 --> 00:04:16.600]  他會幫我打止痛針
[00:04:16.600 --> 00:04:19.280]  接著照一照看是甚麼事
[00:04:19.280 --> 00:04:21.160]  結果我就去到他當中
[00:04:21.160 --> 00:04:23.280]  他幫我打了止痛針
[00:04:23.280 --> 00:04:26.360]  然後去照了X-ray
[00:04:26.360 --> 00:04:28.040]  照完之後
[00:04:28.040 --> 00:04:30.080]  他跟我分析
[00:04:30.080 --> 00:04:32.080]  他說
[00:04:32.080 --> 00:04:34.320]  你的兩邊腎右邊
[00:04:34.320 --> 00:04:36.160]  是看不到影的
[00:04:36.160 --> 00:04:37.320]  但是左邊
[00:04:37.320 --> 00:04:39.320]  零零碎碎在那個位置
[00:04:39.320 --> 00:04:42.160]  有一塊三尖八角白色的東西
[00:04:42.160 --> 00:04:44.000]  他指著給我看
[00:04:44.000 --> 00:04:47.000]  這塊應該是神石
[00:04:47.000 --> 00:04:50.720]  他說為了小心起見
[00:04:50.720 --> 00:04:55.040]  我轉介你去一個專科醫生再看一看
[00:04:55.040 --> 00:04:57.640]  然後那些小便驗出來
[00:04:57.640 --> 00:04:59.520]  都是血
[00:04:59.520 --> 00:05:01.320]  是很多血在那裡
[00:05:01.320 --> 00:05:05.600]  於是我就去見一個專科醫生
[00:05:05.600 --> 00:05:07.920]  他就幫我用超聲波再照一照
[00:05:07.920 --> 00:05:10.240]  然後又是看到同一個位置
[00:05:10.240 --> 00:05:13.600]  就是有一塊三尖八角的東西在那裡
[00:05:13.600 --> 00:05:15.080]  他說以他的經驗
[00:05:15.080 --> 00:05:17.080]  這塊應該是神石
[00:05:17.080 --> 00:05:20.960]  但是為了小心起見
[00:05:20.960 --> 00:05:22.600]  他要我入院
[00:05:22.600 --> 00:05:24.360]  要照磁力共振
[00:05:24.360 --> 00:05:26.400]  然後看看接著
[00:05:26.400 --> 00:05:28.160]  如果要碎石
[00:05:28.160 --> 00:05:30.080]  是甚麼時候安排
[00:05:30.080 --> 00:05:31.960]  當時我很急
[00:05:31.960 --> 00:05:34.160]  我告訴醫生
[00:05:34.160 --> 00:05:36.840]  我兩天後
[00:05:36.840 --> 00:05:41.160]  我有一個很重要的聚會
[00:05:41.160 --> 00:05:43.040]  人家等了我十年
[00:05:43.040 --> 00:05:45.280]  我是非要不去
[00:05:45.280 --> 00:05:46.600]  非要不去
[00:05:46.600 --> 00:05:48.920]  是去那個地方
[00:05:48.920 --> 00:05:50.600]  他問我去哪
