
[00:00:00.000 --> 00:00:02.020]  羅馬書第五章
[00:00:02.020 --> 00:00:04.640]  今天要講羅馬書的第二章
[00:00:04.640 --> 00:00:06.640]  一至十六節
[00:00:06.640 --> 00:00:09.540]  大家記不記得我上星期講了什麼
[00:00:09.540 --> 00:00:11.340]  上星期講
[00:00:11.340 --> 00:00:13.980]  每個人我們都是罪人
[00:00:13.980 --> 00:00:16.280]  每個人都在神的憤怒
[00:00:16.280 --> 00:00:18.820]  在神的審判之下
[00:00:18.820 --> 00:00:21.460]  因為我們是無可推諉
[00:00:21.460 --> 00:00:24.140]  每個人就算說未聽過福音
[00:00:24.140 --> 00:00:26.140]  我們都知道有一位神
[00:00:26.140 --> 00:00:29.800]  因為神將自然的啟示給我們
[00:00:29.800 --> 00:00:31.380]  什麼是自然的啟示
[00:00:31.380 --> 00:00:33.060]  或者普通的啟示
[00:00:33.060 --> 00:00:35.740]  外在的就是神的創造
[00:00:35.740 --> 00:00:37.940]  當我們看到神這麼美好的創造
[00:00:37.940 --> 00:00:39.940]  知道有一位創造者
[00:00:39.940 --> 00:00:43.520]  而神將祂自己放在我們每個人的心裡面
[00:00:43.520 --> 00:00:45.420]  這就是我們的良心
[00:00:45.420 --> 00:00:46.660]  我們的良知
[00:00:46.660 --> 00:00:49.780]  我們都知道有一位神是無可推諉
[00:00:49.780 --> 00:00:51.620]  所以每一個人不可以說
[00:00:51.620 --> 00:00:52.940]  我未聽過福音
[00:00:52.940 --> 00:00:54.540]  我不接受神
[00:00:54.540 --> 00:00:56.540]  神不應該定我的罪
[00:00:56.540 --> 00:01:00.300]  神是應該定每一個人的罪
[00:01:00.300 --> 00:01:03.460]  因為我們都有從神而來的啟示
[00:01:03.460 --> 00:01:07.220]  如果神是應該定我們罪
[00:01:07.220 --> 00:01:08.720]  一個問題就是
[00:01:08.720 --> 00:01:11.900]  神應該怎樣來定我們的罪
[00:01:11.900 --> 00:01:12.940]  是不是
[00:01:12.940 --> 00:01:16.260]  祂用什麼標準來定人的罪
[00:01:16.260 --> 00:01:18.820]  這就是我們今天要講的
[00:01:18.820 --> 00:01:20.820]  首先一些背景
[00:01:20.820 --> 00:01:23.620]  羅馬書的一章一至十六節
[00:01:23.620 --> 00:01:27.140]  保羅告訴我們有關基督的福音
[00:01:27.140 --> 00:01:29.700]  然後在書一章十八節開始
[00:01:29.700 --> 00:01:32.260]  解釋這個福音是什麼
[00:01:32.260 --> 00:01:34.460]  福音是好消息
[00:01:34.460 --> 00:01:36.260]  但是聽好消息之前
[00:01:36.260 --> 00:01:38.260]  我們才要聽壞消息
[00:01:38.260 --> 00:01:39.660]  就是我剛才所講
[00:01:39.660 --> 00:01:41.360]  每個人都犯了罪
[00:01:41.360 --> 00:01:45.420]  每個人都在神的怒氣和審判之下
[00:01:45.420 --> 00:01:50.780]  保羅用了三章的經文來堵住眾人的嘴
[00:01:50.780 --> 00:01:52.860]  眾人都無可推諉
[00:01:52.860 --> 00:01:54.580]  沒有人可以有藉口
[00:01:54.580 --> 00:01:57.420]  說他們不接受神不相信神
[00:01:57.420 --> 00:02:00.060]  或者說不知道有一位神
[00:02:00.060 --> 00:02:02.620]  那問題就來了
[00:02:02.620 --> 00:02:06.460]  如果神的審判又是否公平
[00:02:06.460 --> 00:02:08.100]  是否公義呢
[00:02:08.100 --> 00:02:10.300]  我們小朋友小時候
[00:02:10.300 --> 00:02:13.100]  很喜歡講一句話是什麼
[00:02:13.100 --> 00:02:14.620]  That's not fair
[00:02:14.620 --> 00:02:15.700]  This is not fair
[00:02:15.700 --> 00:02:16.700]  That is not fair
[00:02:16.700 --> 00:02:18.740]  每一樣都不公平
[00:02:18.740 --> 00:02:23.220]  但是做父母的確是很難做到公平
[00:02:23.220 --> 00:02:24.660]  但是神呢
[00:02:24.660 --> 00:02:26.340]  他能不能夠做到公平
[00:02:26.340 --> 00:02:28.540]  他絕對能夠做到公平
[00:02:28.540 --> 00:02:34.580]  他審判人的標準絕對是公平
[00:02:34.580 --> 00:02:37.660]  第一章是講到外邦人
[00:02:37.660 --> 00:02:40.340]  他們沒有神給他們的律法
[00:02:40.340 --> 00:02:42.660]  他們沒有道德的標準
[00:02:42.660 --> 00:02:45.740]  他們任意妄為
[00:02:45.740 --> 00:02:48.260]  有一個很自然的問題就是
[00:02:48.260 --> 00:02:50.900]  既然他們沒有神的律法
[00:02:50.900 --> 00:02:52.100]  任意妄為
[00:02:52.100 --> 00:02:53.900]  神定他們罪
[00:02:53.900 --> 00:02:55.980]  那有神的律法
[00:02:55.980 --> 00:03:01.540]  有神道德標準的猶太人又怎樣呢
[00:03:01.540 --> 00:03:04.780]  這就是第二章要解答的問題
[00:03:04.780 --> 00:03:06.340]  保羅在這裡
[00:03:06.340 --> 00:03:10.220]  把名詞由你們轉到你
[00:03:10.220 --> 00:03:11.500]  很個人化
[00:03:11.500 --> 00:03:12.700]  不再是你們
[00:03:12.700 --> 00:03:13.420]  是你
[00:03:13.420 --> 00:03:15.660]  每個人要想清楚
[00:03:15.660 --> 00:03:20.740]  聖經學者對保羅在第二章的一至十六節
[00:03:20.740 --> 00:03:22.540]  的對象是誰
[00:03:22.540 --> 00:03:24.460]  有不同的意見
