
[00:00:00.000 --> 00:00:02.040]  在過去的一個多月
[00:00:02.040 --> 00:00:05.220]  我和胡志偉牧師和羅文威
[00:00:05.220 --> 00:00:08.340]  走到數碼電台每個星期三
[00:00:08.340 --> 00:00:09.660]  主持一個節目
[00:00:09.660 --> 00:00:14.400]  每個星期三都在現場一個節目
[00:00:14.400 --> 00:00:19.380]  以牧師的身份去評論時事
[00:00:19.380 --> 00:00:23.780]  完了之後,每一節的完
[00:00:23.780 --> 00:00:26.680]  我們都有一節金句的分享
[00:00:26.680 --> 00:00:28.580]  分享一段聖經
[00:00:29.020 --> 00:00:30.920]  對事件的回應
[00:00:30.920 --> 00:00:35.180]  碰巧這一次
[00:00:35.180 --> 00:00:40.820]  我分享的是上星期三要分享的一段聖經
[00:00:40.820 --> 00:00:44.920]  就是《馬可福音》第六章
[00:00:44.920 --> 00:00:49.360]  第十四節至二十九節
[00:00:49.360 --> 00:00:55.260]  胡志偉牧師也是用這段聖經去講
[00:00:56.460 --> 00:01:00.100]  我們一見面就說:分享金句,分享哪一段?
[00:01:00.100 --> 00:01:03.440]  《馬可福音》第六章十四至二十九節
[00:01:03.440 --> 00:01:11.140]  後來指名給我教會編的講道時
[00:01:11.140 --> 00:01:13.880]  編到第三個主日
[00:01:13.880 --> 00:01:16.480]  也是講這段聖經
[00:01:16.480 --> 00:01:19.160]  我就求神幫助我們
[00:01:19.160 --> 00:01:21.080]  為何會在這個時間
[00:01:21.080 --> 00:01:24.500]  無論是教會,或是另外一位牧師
[00:01:24.500 --> 00:01:32.040]  包括自己對這個時間所思想的一個題目
[00:01:32.040 --> 00:01:37.120]  所集中思考的是一段聖經
[00:01:37.120 --> 00:01:42.660]  而這段聖經就是若施浸若汗受害的一段聖經
[00:01:42.660 --> 00:01:47.820]  神就藉著這些說話提醒我個人
[00:01:47.820 --> 00:01:54.160]  我才可以跟當時的聽眾一同分享這段聖經
[00:01:54.940 --> 00:01:58.480]  今日我願意同樣在大家當中
[00:01:58.480 --> 00:02:04.700]  以這教會的經訓去宣講這段信息
[00:02:04.700 --> 00:02:06.700]  我們一起低頭禱告
[00:02:06.700 --> 00:02:11.540]  求下的天父,願祢的力量在我們當中
[00:02:11.540 --> 00:02:14.760]  願聖靈在我們當中帶領著我們
[00:02:14.760 --> 00:02:18.440]  讓我們從祢的話語中得到堅強
[00:02:19.140 --> 00:02:25.440]  讓我們從祢的話語中上上更能夠站立得穩妥
[00:02:25.440 --> 00:02:28.440]  去面對世界種種的衝擊
[00:02:28.440 --> 00:02:30.440]  願祢以我們同在
[00:02:30.440 --> 00:02:36.480]  讓我們成為光照在這個黑夜當中
[00:02:36.480 --> 00:02:38.480]  禱告封耶穌的名
[00:02:38.480 --> 00:02:45.540]  在十四世紀有一個作者
[00:02:45.540 --> 00:02:47.540]  作了一個故事
[00:02:47.540 --> 00:02:53.240]  這個故事一直流傳到1837年
[00:02:53.240 --> 00:02:57.520]  是由另一個作者去改寫這個故事
[00:02:57.520 --> 00:03:01.120]  而這個故事直至今日都流傳
[00:03:01.120 --> 00:03:04.840]  就是兩個人
[00:03:04.840 --> 00:03:06.840]  這兩個人是大騙子
[00:03:06.840 --> 00:03:11.340]  他有一天就去到國王面前說
[00:03:11.340 --> 00:03:17.640]  「國王,我可以為你做一件世上所無的漂亮衣服」
[00:03:17.640 --> 00:03:23.340]  「這件衣服,只有聰明人才能夠見到的」
[00:03:23.340 --> 00:03:31.340]  於是,國王因為要做一件世上所無的衣服的緣故
[00:03:31.340 --> 00:03:35.340]  就聽這兩個騙子的話
[00:03:35.340 --> 00:03:38.340]  這兩個騙子也是真的
[00:03:38.340 --> 00:03:43.340]  日日夜夜都繼續在房間內織布
[00:03:43.340 --> 00:03:48.340]  沒多久,國王忍不住
[00:03:48.340 --> 00:03:54.340]  派一個士兵,他的侍衛去看
[00:03:54.340 --> 00:03:56.340]  侍衛一看
[00:03:56.340 --> 00:03:59.340]  織布當然是寶寶的
[00:03:59.340 --> 00:04:01.340]  但這兩個人卻很忙碌
[00:04:01.340 --> 00:04:05.340]  侍衛就問他
[00:04:05.340 --> 00:04:07.340]  「你們織的是甚麼布?」
[00:04:08.340 --> 00:04:10.340]  「你見不到嗎?」
[00:04:10.340 --> 00:04:14.340]  「這些布,只有聰明人才能夠見到的」
[00:04:14.340 --> 00:04:16.340]  這個侍衛就感覺到
[00:04:16.340 --> 00:04:19.340]  自己如果假如見不到
[00:04:19.340 --> 00:04:22.340]  就被視為不聰明
[00:04:22.340 --> 00:04:24.340]  於是他就說
[00:04:24.340 --> 00:04:26.340]  「很漂亮」
[00:04:26.340 --> 00:04:28.340]  於是就回去回覆皇帝說
[00:04:28.340 --> 00:04:32.340]  「皇上,這批布真是很漂亮的」
[00:04:32.340 --> 00:04:35.340]  「是世上所無的一批布」
[00:04:35.340 --> 00:04:37.340]  又過了一段時間
[00:04:39.340 --> 00:04:40.340]  那段時間
[00:04:40.340 --> 00:04:43.340]  有些皇宮的高級人就走去看看
[00:04:43.340 --> 00:04:47.340]  仍然織布機是沒有的
[00:04:47.340 --> 00:04:51.340]  於是就問那兩個織布的人
[00:04:51.340 --> 00:04:53.340]  「究竟那批布在哪兒?」
[00:04:53.340 --> 00:04:55.340]  「就在這兒」
[00:04:55.340 --> 00:04:59.340]  他說「這批布只有聰明的人才能夠見到」
[00:04:59.340 --> 00:05:03.340]  這些人是在想自己
[00:05:03.340 --> 00:05:05.340]  假如見不到
[00:05:05.340 --> 00:05:07.340]  自己就很愚蠢
[00:05:08.340 --> 00:05:10.340]  心裡就覺得
[00:05:10.340 --> 00:05:13.340]  「我怎麼可以做一個愚蠢的人呢?」
[00:05:13.340 --> 00:05:16.340]  於是就說「是呀,是很漂亮的」
[00:05:16.340 --> 00:05:18.340]  於是就回去回覆皇帝說
[00:05:18.340 --> 00:05:20.340]  「這批布真是很漂亮的」
[00:05:20.340 --> 00:05:22.340]  皇帝就開始說
[00:05:22.340 --> 00:05:25.340]  「不如幫我做一件衣服吧」
[00:05:25.340 --> 00:05:27.340]  於是
[00:05:27.340 --> 00:05:30.340]  這些裁縫就幫他做了一件衣服
[00:05:30.340 --> 00:05:33.340]  就叫他穿衣服
[00:05:33.340 --> 00:05:36.340]  皇帝看了一眼
[00:05:36.340 --> 00:05:38.340]  「沒有的」
[00:05:38.340 --> 00:05:41.340]  但是這兩個裁縫就說
[00:05:41.340 --> 00:05:46.340]  「這件衣服一定是聰明人才能夠見到」
[00:05:46.340 --> 00:05:48.340]  皇帝就想
[00:05:48.340 --> 00:05:50.340]  「我的侍衛」
[00:05:50.340 --> 00:05:52.340]  「我的大臣都見過」
[00:05:52.340 --> 00:05:54.340]  「都見到」
[00:05:54.340 --> 00:05:56.340]  「如果我見不到」
[00:05:56.340 --> 00:05:58.340]  「可能我的位置都不保」
[00:05:58.340 --> 00:05:59.340]  於是就說
[00:05:59.340 --> 00:06:01.340]  「是呀,很漂亮」
[00:06:01.340 --> 00:06:03.340]  「不如我們就去遊行吧」
[00:06:04.340 --> 00:06:06.340]  於是他穿著
[00:06:06.340 --> 00:06:09.340]  那件聰明人才能見到的衣服去遊行
[00:06:09.340 --> 00:06:12.340]  人人都說很漂亮
[00:06:12.340 --> 00:06:14.340]  所有街上的人都說
[00:06:14.340 --> 00:06:17.340]  「皇帝穿的那件衣服真是漂亮」
[00:06:17.340 --> 00:06:21.340]  終於突然間
[00:06:21.340 --> 00:06:23.340]  有個小朋友說
[00:06:23.340 --> 00:06:25.340]  「你看看」
