
[00:00:00.000 --> 00:00:03.000]  今天和大家分享的經文就是
[00:00:03.000 --> 00:00:05.000]  「這是耶和華吩咐的」
[00:00:05.000 --> 00:00:07.000]  我不知道大家會想到
[00:00:07.000 --> 00:00:10.000]  耶和華會想到些甚麼
[00:00:10.000 --> 00:00:12.000]  很多時候我們會想到
[00:00:12.000 --> 00:00:15.000]  上帝主耶穌基督
[00:00:15.000 --> 00:00:17.000]  我們會有不同的景況
[00:00:17.000 --> 00:00:19.000]  我們會有很多的圖像
[00:00:19.000 --> 00:00:22.000]  我們會想到主耶穌基督是我們的目者
[00:00:22.000 --> 00:00:25.000]  以致我不至於缺乏
[00:00:25.000 --> 00:00:27.000]  很冧的
[00:00:27.000 --> 00:00:29.000]  又或者我們會想到
[00:00:29.000 --> 00:00:32.000]  上帝就是一個天父、爸爸
[00:00:32.000 --> 00:00:34.000]  會擁抱著我的
[00:00:34.000 --> 00:00:36.000]  又或者我們有時候會想到
[00:00:36.000 --> 00:00:38.000]  耶和華是甚麼呢?
[00:00:38.000 --> 00:00:41.000]  耶和華就是在我的困難
[00:00:41.000 --> 00:00:42.000]  在我的軟弱裏面
[00:00:42.000 --> 00:00:44.000]  去擁抱我、安慰我
[00:00:44.000 --> 00:00:47.000]  去我經過的上帝
[00:00:47.000 --> 00:00:51.000]  又或者在上一輩的
[00:00:51.000 --> 00:00:53.000]  特異的弟兄姊妹
[00:00:53.000 --> 00:00:57.000]  我們就很記得會用竹印
[00:00:57.000 --> 00:01:00.000]  上帝陪我經過一些困難
[00:01:00.000 --> 00:01:03.000]  去揹起我一起去走
[00:01:03.000 --> 00:01:05.000]  我們很多這些的思想
[00:01:05.000 --> 00:01:08.000]  我們很多這些對於上帝
[00:01:08.000 --> 00:01:10.000]  裏面一些的印象
[00:01:10.000 --> 00:01:13.000]  一些的幻想
[00:01:13.000 --> 00:01:15.000]  這些都很真實的
[00:01:15.000 --> 00:01:17.000]  因為亦都有經文的支持
[00:01:17.000 --> 00:01:19.000]  不過我們有時候會想到
[00:01:19.000 --> 00:01:23.000]  我們會否將到上帝單一性的
[00:01:23.000 --> 00:01:25.000]  去看了祂
[00:01:25.000 --> 00:01:29.000]  只是一個很有慷顧、很愛的那一面
[00:01:29.000 --> 00:01:31.000]  以色列人
[00:01:31.000 --> 00:01:35.000]  其實他們怎樣去看上帝呢?
[00:01:35.000 --> 00:01:37.000]  如果在說耶和華
[00:01:37.000 --> 00:01:40.000]  他們會馬上想起的又是一個甚麼圖畫呢?
[00:01:40.000 --> 00:01:43.000]  我們就想起這四個的圖畫
[00:01:43.000 --> 00:01:46.000]  但是以色列人可能在曠野裏面
[00:01:46.000 --> 00:01:49.000]  想到的圖畫一說到耶和華的時間
[00:01:49.000 --> 00:01:51.000]  他可能會想起這個圖畫
[00:01:51.000 --> 00:01:56.000]  他想起又說怎樣將到洪水
[00:01:56.000 --> 00:02:00.000]  去掩蓋出埃及的時候
[00:02:00.000 --> 00:02:04.000]  掩蓋出埃及當中的士兵
[00:02:04.000 --> 00:02:07.000]  上帝的怒氣
[00:02:07.000 --> 00:02:09.000]  上帝的申冤
[00:02:09.000 --> 00:02:12.000]  好像水一樣很澎湃
[00:02:12.000 --> 00:02:16.000]  甚至面對世人的罪
[00:02:16.000 --> 00:02:20.000]  在當中有羅亞的故事
[00:02:20.000 --> 00:02:23.000]  用洪水來面對世界
[00:02:23.000 --> 00:02:26.000]  可能以色列人他們會想到的
[00:02:26.000 --> 00:02:29.000]  耶和華就是一個這樣的景象
[00:02:29.000 --> 00:02:31.000]  是一個洪水一般的
[00:02:31.000 --> 00:02:33.000]  是一個莊嚴的
[00:02:33.000 --> 00:02:35.000]  又或者另一個景況
[00:02:35.000 --> 00:02:38.000]  他會想到耶和華是一個烈火
[00:02:38.000 --> 00:02:40.000]  好像火一般的
[00:02:40.000 --> 00:02:45.000]  在帶領他們離開埃及的時候
[00:02:45.000 --> 00:02:46.000]  去到曠野
[00:02:46.000 --> 00:02:49.000]  有雲柱火柱帶領他們
[00:02:49.000 --> 00:02:54.000]  隔著他們和埃及的士兵裏面
[00:02:54.000 --> 00:02:58.000]  他們就用這個火柱來隔開
[00:02:58.000 --> 00:03:01.000]  火可能是烈火
[00:03:01.000 --> 00:03:06.000]  可能是以色列人當時想到上帝的形象
[00:03:06.000 --> 00:03:10.000]  我不知道我們在整個信寺的歷程
[00:03:10.000 --> 00:03:13.000]  有時我們在說我們的靈命
[00:03:13.000 --> 00:03:15.000]  都會有時的變動
[00:03:15.000 --> 00:03:17.000]  其實我們這些變動
[00:03:17.000 --> 00:03:20.000]  很牽涉我們怎樣對上帝
[00:03:20.000 --> 00:03:24.000]  我們覺得上帝是一個怎樣的形象
[00:03:24.000 --> 00:03:28.000]  我們會不會很單一地去想到
[00:03:28.000 --> 00:03:31.000]  上帝慈愛的一面
[00:03:31.000 --> 00:03:32.000]  但我們看不到
