
[00:00:00.000 --> 00:00:05.520]  今天我們會讀到約書亞紀六章一到二十七節
[00:00:05.520 --> 00:00:11.320]  經文是大家很熟悉的耶利哥城的攻破
[00:00:11.320 --> 00:00:17.120]  不知道大家當初聽攻打耶利哥這件事的時候
[00:00:17.120 --> 00:00:21.720]  會不會都覺得這是一件很奇怪的經歷
[00:00:21.720 --> 00:00:24.720]  當跟小朋友說這段故事的時候
[00:00:24.720 --> 00:00:28.800]  就會更加覺得很奇妙 很神奇
[00:00:28.800 --> 00:00:32.360]  六日繞城一次 七日繞七次
[00:00:32.360 --> 00:00:35.440]  之後大聲呼喊 城牆倒塌
[00:00:35.440 --> 00:00:38.680]  耶利哥城一下子被攻破
[00:00:38.680 --> 00:00:43.560]  說出來也不會有人相信有這樣的攻城方式
[00:00:43.560 --> 00:00:47.240]  但是一群以色列人竟然跟著去做
[00:00:47.240 --> 00:00:51.080]  並且最終得到勝利
[00:00:51.080 --> 00:00:55.600]  耶利哥城是一個不容易攻破的地方
[00:00:55.600 --> 00:00:59.920]  耶利哥是約書亞帶領進入迦南的第一場戰役
[00:00:59.920 --> 00:01:06.480]  而且耶利哥處於一個戰略的重鎮
[00:01:06.480 --> 00:01:12.720]  要攻佔迦南起了一個非常重要關鍵性的影響
[00:01:12.720 --> 00:01:15.440]  因此約書亞之前在第二章
[00:01:15.440 --> 00:01:19.120]  已經一早派人去窺探耶利哥城
[00:01:19.120 --> 00:01:22.520]  要了解一下城內的虛實
[00:01:22.520 --> 00:01:25.920]  不過很快探子就被人發現了行蹤
[00:01:25.920 --> 00:01:29.200]  因著得到基里拉俠的幫助
[00:01:29.200 --> 00:01:34.080]  他們兩個探子才能夠最終成功逃脫
[00:01:34.080 --> 00:01:36.000]  所以我們有理由相信
[00:01:36.000 --> 00:01:39.160]  耶利哥城是一個不容易攻破
[00:01:39.160 --> 00:01:42.160]  守衛又非常森嚴的地方
[00:01:42.160 --> 00:01:45.600]  當以色列人冰冷城下的時候
[00:01:45.600 --> 00:01:48.760]  他們就更加嚴陣以待
[00:01:48.760 --> 00:01:51.760]  就好像經文六章一節裡說
[00:01:51.760 --> 00:01:55.920]  耶利哥城門因以色列人就關得嚴緊
[00:01:55.920 --> 00:01:57.880]  無人出入
[00:01:57.880 --> 00:02:08.200]  這一場的確是一場不容易打贏的戰役
[00:02:08.200 --> 00:02:10.720]  在攻打耶利哥的描述裡
[00:02:10.720 --> 00:02:14.360]  聖經裡用了三個部分
[00:02:14.360 --> 00:02:18.400]  分別是征服之前對約書亞的吩咐
[00:02:18.400 --> 00:02:19.840]  征服的經過
[00:02:19.840 --> 00:02:23.800]  征服對約書亞的影響
[00:02:23.800 --> 00:02:25.600]  特別在五章十三到十五節
[00:02:25.600 --> 00:02:28.560]  上星期劉亦風牧師也分享過
[00:02:28.560 --> 00:02:30.080]  其實可以視為
[00:02:30.080 --> 00:02:35.800]  約書亞攻打耶利哥城的前奏或呼召
[00:02:35.800 --> 00:02:39.480]  我們不如一起再讀一次
[00:02:39.480 --> 00:02:42.640]  約書亞記五章十三到十五節
[00:02:42.640 --> 00:02:44.440]  預備一二三
[00:02:50.840 --> 00:03:01.880]  你是幫助我們呢?是幫助我們敵人呢?
[00:03:01.880 --> 00:03:04.120]  他回答說:不是的
[00:03:04.120 --> 00:03:07.720]  我來是要作耶華軍隊的元帥
[00:03:07.720 --> 00:03:10.520]  約書亞就俯伏在地下拜
[00:03:10.520 --> 00:03:13.880]  說:我主有什麼話吩咐僕人?
[00:03:13.880 --> 00:03:17.280]  耶華軍隊的元帥對約書亞說
[00:03:17.280 --> 00:03:19.640]  把你腳上的鞋脫下來
[00:03:19.640 --> 00:03:22.560]  因為你所站的地方是聖地
[00:03:22.560 --> 00:03:25.880]  約書亞就照著行了
[00:03:25.880 --> 00:03:29.080]  這一次是約書亞一次很特別的經歷
[00:03:29.080 --> 00:03:32.520]  他和耶華軍隊的元帥相遇
[00:03:32.520 --> 00:03:35.760]  約書亞見他手裏有拔出來的刀
