
[00:00:00.000 --> 00:00:03.080]  我想大家都知道當你去打一場球的時候
[00:00:03.080 --> 00:00:05.180]  你有11個位置
[00:00:05.180 --> 00:00:08.480]  有後防、有中場、有前鋒
[00:00:08.480 --> 00:00:12.480]  如果打前鋒最厲害的那個說我要打守門員
[00:00:12.480 --> 00:00:15.980]  如果說打後衛那個要打右翼
[00:00:15.980 --> 00:00:20.680]  那你就算你11個人都是很好球的人
[00:00:20.680 --> 00:00:24.680]  你這個team是沒有辦法贏的
[00:00:24.680 --> 00:00:28.780]  教會需要有11個位置
[00:00:28.780 --> 00:00:30.280]  個個都是好球的
[00:00:30.280 --> 00:00:33.880]  但是好球的時候都要找回自己的位置
[00:00:33.880 --> 00:00:37.180]  不是個個都要打第10號的
[00:00:37.180 --> 00:00:40.480]  不是個個都要中場靈魂人物的
[00:00:40.480 --> 00:00:43.580]  大家要找到自己的位置
[00:00:43.580 --> 00:00:46.680]  而這個就是當時羅馬教會要面對的問題
[00:00:46.680 --> 00:00:49.180]  因為個個都是火熱的去事主
[00:00:49.180 --> 00:00:51.080]  個個都是活濟
[00:00:51.080 --> 00:00:52.780]  在一個活濟的教會裡面
[00:00:52.780 --> 00:00:54.980]  在一個人才濟濟的教會裡面
[00:00:54.980 --> 00:01:00.180]  在一個充滿領導恩賜的教會裡面
[00:01:00.180 --> 00:01:05.280]  我們更加需要謙卑在上帝的面前
[00:01:05.280 --> 00:01:06.280]  如果打足球是這樣
[00:01:06.280 --> 00:01:07.680]  打籃球也是一樣
[00:01:07.680 --> 00:01:10.180]  5個人只有一個球而已
[00:01:10.180 --> 00:01:13.480]  你不是個個都可以拿著球走的
[00:01:13.480 --> 00:01:17.180]  誰做那個領導
[00:01:17.180 --> 00:01:20.380]  我們要很謙卑的在上帝面前
[00:01:20.380 --> 00:01:25.380]  這樣教會才可以發揮到它最終的功能
[00:01:25.380 --> 00:01:28.580]  當我想到一個教會謙卑的
[00:01:28.580 --> 00:01:30.380]  去找到自己的崗位
[00:01:30.380 --> 00:01:33.880]  一起去發力
[00:01:33.880 --> 00:01:36.080]  侍奉上帝 見證上帝
[00:01:36.080 --> 00:01:38.080]  我就想起初期的教會
[00:01:38.080 --> 00:01:39.280]  我不知道你記不記得
[00:01:39.280 --> 00:01:40.880]  《仕途行傳》第6章的故事
[00:01:40.880 --> 00:01:44.580]  是很奇妙很奇妙的一個故事
