
[00:00:00.000 --> 00:00:06.200]  約書亞記24張,一邊就過去了,他今天兩邊走,大事不妙
[00:00:06.200 --> 00:00:12.800]  在這一張當中,約書亞呼召所有的以色列人再一次去誓言
[00:00:12.800 --> 00:00:16.600]  全心全意敬拜、敬奉耶和華
[00:00:16.600 --> 00:00:19.600]  拋棄一切外邦的假神
[00:00:19.600 --> 00:00:25.000]  這個週末我們慶祝的美國獨立正好提醒我們
[00:00:25.000 --> 00:00:30.400]  這個獨立的真正意義是In God Alone We Trust
[00:00:30.400 --> 00:00:41.000]  只是靠真神,不是靠人,完全依靠神才可以獨立在人的勢力、人的主宰以外
[00:00:41.000 --> 00:00:46.000]  舊約經文,其實這一段約書亞記24張,如果大家記得
[00:00:46.000 --> 00:00:48.000]  陳德華牧師和大家都有個分享
[00:00:48.000 --> 00:00:51.000]  今天我稍微用一個不同的角度
[00:00:51.000 --> 00:00:55.000]  其實舊約聖經裏面有好幾段經文
[00:00:55.000 --> 00:01:01.000]  按照古代近東宗主國和附庸國的文約來寫
[00:01:01.000 --> 00:01:05.000]  叫做Ancient Near Eastern Suzerain Vassal Treaty
[00:01:05.000 --> 00:01:07.000]  如果你看聖經的時候
[00:01:07.000 --> 00:01:11.000]  有時候要認識他們的文化背景才能夠看得準確
[00:01:11.000 --> 00:01:15.000]  如果大家未有機會去讀舊約概論、新約概論
[00:01:15.000 --> 00:01:17.000]  又賣廣告了,很多人看到了
[00:01:17.000 --> 00:01:22.000]  如果你讀過就知道大概是甚麼叫做宗主國、附庸國的條約
[00:01:22.000 --> 00:01:26.000]  約書亞記24張就是其中一段經文
[00:01:26.000 --> 00:01:29.000]  是用這個文體來寫的
[00:01:29.000 --> 00:01:31.000]  宗主國就是較大的帝國
[00:01:31.000 --> 00:01:35.000]  附庸國是依靠宗主國的一些小國
[00:01:35.000 --> 00:01:39.000]  這種叫做宗主國、附庸國的條約
[00:01:39.000 --> 00:01:43.000]  簡單來說就是SVT,Suzerain Vassal Treaty
[00:01:43.000 --> 00:01:46.000]  通常是有六個部分組成的
[00:01:46.000 --> 00:01:48.000]  首先是一個序言
[00:01:48.000 --> 00:01:51.000]  肯定宗主國的偉大、統治地位和權威
[00:01:51.000 --> 00:01:54.000]  第二是一個歷史的前言
[00:01:54.000 --> 00:01:59.000]  敘述宗主國怎樣曾經去保護和祝福過附庸國
[00:01:59.000 --> 00:02:01.000]  第三是一些條款
[00:02:01.000 --> 00:02:05.000]  附庸國的義務,譬如要進貢、軍事支持
[00:02:05.000 --> 00:02:09.000]  有打仗的時候要去撐宗主國
[00:02:09.000 --> 00:02:13.000]  遵守宗主國的法例和宗主國的宗教
[00:02:13.000 --> 00:02:18.000]  第四就是一個制裁,也可以稱為祝福或者是咒詛
