
[00:00:00.000 --> 00:00:03.000]  上禮拜我們剛剛講完最後一個系列
[00:00:03.000 --> 00:00:05.600]  那今天就開始一個新的系列
[00:00:05.600 --> 00:00:10.100]  那麼這個系列跟我們的資源管理有關
[00:00:10.100 --> 00:00:13.200]  我們醫生人當中其實用了很多的資源
[00:00:13.200 --> 00:00:19.100]  無論是我們的錢、時間、你的才幹、你的精神體力
[00:00:19.100 --> 00:00:21.500]  還有你周邊所有的人際關係
[00:00:21.500 --> 00:00:24.200]  其實都是你的資源之一
[00:00:24.200 --> 00:00:27.200]  那到底我們怎麼樣去使用我們的資源
[00:00:27.200 --> 00:00:31.400]  以至於我們的人生真的可以過得非常的幸福
[00:00:31.400 --> 00:00:34.300]  就看你怎麼樣去使用你的資源
[00:00:34.300 --> 00:00:37.100]  使用得不妥的話你人生永遠都會缺乏
[00:00:37.100 --> 00:00:38.700]  而且你也過得不開心
[00:00:38.700 --> 00:00:40.500]  那今天我們會看一個小故事
[00:00:40.500 --> 00:00:41.700]  從一個故事裡面
[00:00:41.700 --> 00:00:45.800]  我們看一下對我們將來如何去追逐也好
[00:00:45.800 --> 00:00:47.100]  去使用也好
[00:00:47.100 --> 00:00:51.300]  去處理我們的資源有些什麼樣的智慧
[00:00:51.300 --> 00:00:54.100]  那麼在我講這個故事之前
[00:00:54.100 --> 00:00:56.900]  我想先分享一個很簡單的觀念
[00:00:56.900 --> 00:01:01.000]  這個觀念是大部分的究圖應該都知道的觀念
[00:01:01.000 --> 00:01:05.000]  可是又不是很多人懂得怎麼樣用這個觀念
[00:01:05.000 --> 00:01:06.900]  使你的人生變得不一樣
[00:01:06.900 --> 00:01:07.900]  這個觀念很簡單
[00:01:07.900 --> 00:01:09.400]  這個觀念就是
[00:01:09.400 --> 00:01:12.100]  聖經裡面所啟示的這位神
[00:01:12.100 --> 00:01:15.100]  其實是一位非常大方的神
[00:01:15.100 --> 00:01:16.300]  He's generous
[00:01:16.300 --> 00:01:17.600]  He likes to give
[00:01:17.600 --> 00:01:19.600]  他是一個喜歡給的神
[00:01:19.600 --> 00:01:21.200]  He's a god of giving
[00:01:21.200 --> 00:01:22.600]  就是他很喜歡給
[00:01:22.600 --> 00:01:26.600]  他喜歡給我們去享受很多的資源
[00:01:26.600 --> 00:01:27.600]  跟你們看一段聖經
[00:01:27.600 --> 00:01:30.000]  在提摩太前書六章十七節
[00:01:30.000 --> 00:01:31.900]  那邊是這樣說的
[00:01:31.900 --> 00:01:34.500]  他說對那些金飾富足的人
[00:01:34.500 --> 00:01:37.000]  你要警戒他們不可驕傲
[00:01:37.000 --> 00:01:41.300]  不可把希望寄託在那不可靠的錢財物上
[00:01:41.300 --> 00:01:43.600]  而是要依靠那把萬物
[00:01:43.600 --> 00:01:47.600]  豐豐富富的賜給我們享受的上帝
[00:01:47.600 --> 00:01:49.200]  所以我們信的這位神是一位
[00:01:49.200 --> 00:01:52.200]  他願意豐豐富富把很多的資源
[00:01:52.200 --> 00:01:56.500]  賜給他的孩子去享用的這麼的一位神
[00:01:56.500 --> 00:01:58.500]  所以神賜給我們很多資源
[00:01:58.500 --> 00:01:59.500]  目的是為我們
[00:01:59.500 --> 00:02:02.500]  我們真的可以去享用祂
[00:02:02.500 --> 00:02:04.000]  我不知道你身邊有沒有認識人
[00:02:04.000 --> 00:02:07.500]  是很有資源可是沒辦法享用的
[00:02:07.500 --> 00:02:09.000]  有些人很有智慧
[00:02:09.000 --> 00:02:11.500]  他資源很多可是他又很懂得用
[00:02:11.500 --> 00:02:13.000]  那有些就不是
[00:02:13.000 --> 00:02:16.000]  錢多到一種地步就變成一個守財奴
[00:02:16.000 --> 00:02:19.000]  就是很懂得賺錢很懂得存錢
[00:02:19.000 --> 00:02:21.500]  一點都不敢花錢
[00:02:21.500 --> 00:02:23.500]  這段經文為什麼是對有錢人說的
[00:02:23.500 --> 00:02:26.000]  因為他說對那些有錢人是這樣說
[00:02:26.000 --> 00:02:28.500]  因為你發現有錢人有個通病
[00:02:28.500 --> 00:02:32.500]  你知道人的錢到了某一個數目之後
[00:02:32.500 --> 00:02:35.500]  人就開始會把你的安全感
[00:02:35.500 --> 00:02:38.000]  從神那邊放到錢上面
[00:02:38.000 --> 00:02:40.000]  就覺得開始有錢了
[00:02:40.000 --> 00:02:41.500]  錢就是我的安全感
[00:02:41.500 --> 00:02:42.500]  你發現任何時候
[00:02:42.500 --> 00:02:45.500]  你把安全感放在錢上面的時候
[00:02:45.500 --> 00:02:47.500]  你就不捨得花錢
[00:02:47.500 --> 00:02:51.000]  你只懂得存錢跟賺錢
[00:02:51.000 --> 00:02:53.500]  花錢你自己不捨得花在你身上
[00:02:53.500 --> 00:02:56.000]  也不肯花錢去幫身邊的人
[00:02:56.000 --> 00:03:00.500]  你也更不肯花錢去做一些所謂的慈善事業
[00:03:00.500 --> 00:03:03.500]  你知道花錢去幫別人或者做慈善事業
[00:03:03.500 --> 00:03:05.500]  你能夠享受到的那種滿足感
[00:03:05.500 --> 00:03:07.500]  是錢根本買不回來的
[00:03:07.500 --> 00:03:11.500]  可是當你把安全感擺在錢上面的時候
[00:03:11.500 --> 00:03:13.500]  你就不敢做這樣的事情
[00:03:13.500 --> 00:03:17.500]  你也享受不到錢本來應該帶給你的
[00:03:17.500 --> 00:03:19.500]  一些的快樂跟滿足感
[00:03:19.500 --> 00:03:21.500]  本來你是錢的主人
[00:03:21.500 --> 00:03:23.500]  現在你變成錢的奴隸
