
[00:00:00.000 --> 00:00:05.120]  母親節祝各位母親有快樂的母親節
[00:00:05.120 --> 00:00:11.920]  最好每天都快樂,不只是在母親節才快樂
[00:00:11.920 --> 00:00:17.920]  我們所信的上帝是一位有恩典的上帝
[00:00:17.920 --> 00:00:22.880]  在《出拉及記》34章,上帝向摩西講話時
[00:00:22.880 --> 00:00:34.080]  宣告「是有憐憫有恩典的上帝,不輕易發怒,
[00:00:34.080 --> 00:00:38.080]  並有豐盛的慈愛和誠實」
[00:00:38.080 --> 00:00:42.080]  在上主的設計中,除了阿當和阿媽之外
[00:00:42.080 --> 00:00:46.080]  每一個人都是出生在家庭當中
[00:00:46.080 --> 00:00:50.080]  大多數都是由母親的奶奶長大的
[00:00:50.080 --> 00:00:54.080]  我曾經看過一個故事
[00:00:54.080 --> 00:00:58.080]  上帝要送一個小孩出生到人間
[00:00:58.080 --> 00:01:04.080]  告訴小孩「你去到人間不用怕,
[00:01:04.080 --> 00:01:08.080]  我會安排一位最好的天使照顧你」
[00:01:08.080 --> 00:01:14.080]  最後告訴小孩天使的名字是媽媽
[00:01:14.080 --> 00:01:22.080]  這個故事告訴我們,上帝設計了媽媽從懷孕到將嬰兒出生
[00:01:22.080 --> 00:01:26.080]  真是像天使一樣呵護照顧我們
[00:01:26.080 --> 00:01:32.080]  母親節就是要提醒我們上帝和母親的恩典
[00:01:32.080 --> 00:01:36.080]  今日會繼續講聖靈的最後一講
[00:01:36.080 --> 00:01:38.080]  講題是次因的靈
[00:01:38.080 --> 00:01:43.080]  希望大家能夠了解上帝和主耶穌次下的聖靈
[00:01:43.080 --> 00:01:46.080]  是要幫助我們的
[00:01:46.080 --> 00:01:49.080]  上帝是次因的上帝
[00:01:49.080 --> 00:01:52.080]  耶穌也是次因的救主
[00:01:52.080 --> 00:01:57.080]  聖靈當然是樂意次因給我們的
[00:01:57.080 --> 00:02:03.080]  只不過我們很多時候注重了聖靈特殊的恩賜
[00:02:03.080 --> 00:02:07.080]  而忽略了聖靈所賜的其他恩典
[00:02:07.080 --> 00:02:12.080]  比如說給我們有信心、喜樂、平安
[00:02:12.080 --> 00:02:15.080]  當我們不知道該如何禱告的時候
[00:02:15.080 --> 00:02:20.080]  聖靈也會用說不出的華語替我們禱告
[00:02:20.080 --> 00:02:27.080]  聖靈真是像媽媽一樣時時刻刻都照顧我們
[00:02:27.080 --> 00:02:30.080]  對一些信了主一段時間的弟兄姊妹
[00:02:30.080 --> 00:02:35.080]  我想解釋一下我最近對恩賜的理解
[00:02:35.080 --> 00:02:40.080]  請大家留意,恩賜和次因是有不同的含義
[00:02:40.080 --> 00:02:44.080]  恩賜翻譯為Gifts
[00:02:44.080 --> 00:02:49.080]  是強調聖靈給人有一種特殊的能力
[00:02:49.080 --> 00:02:54.080]  次因就是強調上帝是樂意次因的上帝
[00:02:54.080 --> 00:02:58.080]  英文可以翻譯為Gracious
[00:02:58.080 --> 00:03:01.080]  一直以來很多人都認為
[00:03:01.080 --> 00:03:08.080]  恩賜是聖靈賜給某位信徒的一些很特殊的能力
[00:03:08.080 --> 00:03:13.080]  但我現在相信恩賜其實不單只是能力
[00:03:13.080 --> 00:03:16.080]  更加是侍奉的機會
[00:03:16.080 --> 00:03:19.080]  當我們思考今天的經文的時候
[00:03:19.080 --> 00:03:22.080]  我會再詳細解釋
[00:03:22.080 --> 00:03:25.080]  我們先一起祈禱,求聖靈幫助我們
[00:03:25.080 --> 00:03:27.080]  秋天我們求祢幫助我們
[00:03:27.080 --> 00:03:31.080]  能夠了解聖靈的恩賜等等
[00:03:31.080 --> 00:03:36.080]  今天的經文有些地方不容易了解
[00:03:36.080 --> 00:03:38.080]  祢的聖靈幫助我們
[00:03:38.080 --> 00:03:41.080]  賜給我們明白的心
[00:03:41.080 --> 00:03:44.080]  讓我們可以完全了解合乎聖經
[00:03:44.080 --> 00:03:46.080]  合乎祢的啟示
[00:03:46.080 --> 00:03:49.080]  有關聖靈賜恩的事
[00:03:49.080 --> 00:03:52.080]  奉耶穌基督的名祈禱,阿們
[00:03:52.080 --> 00:03:55.080]  今天的經文是選自哥倫多前書
[00:03:55.080 --> 00:04:00.080]  我要稍為介紹一下哥倫多教會的背景
[00:04:00.080 --> 00:04:04.080]  讓大家了解保羅為何要寫這封信
[00:04:04.080 --> 00:04:08.080]  而且在第十二章至第十四章
[00:04:08.080 --> 00:04:12.080]  三章聖經,不過我們選讀其中兩段
[00:04:12.080 --> 00:04:19.080]  是特別討論有關恩賜和講靈語的問題
[00:04:19.080 --> 00:04:26.080]  哥倫多教會是保羅在第二次旅行報到的時候建立的教會
[00:04:26.080 --> 00:04:32.080]  保羅在哥倫多逗留了大約一年半的時間
[00:04:32.080 --> 00:04:34.080]  然後去了二佛所
[00:04:34.080 --> 00:04:38.080]  哥倫多是一個怎樣的城市呢?
