
[00:00:00.000 --> 00:00:02.000]  我們現在向低頭祈禱
[00:00:02.000 --> 00:00:04.000]  親愛的天父,感謝祢自己的恩典
[00:00:04.000 --> 00:00:06.000]  致命我們有主日的清晨
[00:00:06.000 --> 00:00:08.000]  可以一齊來敬拜祢
[00:00:08.000 --> 00:00:10.000]  聆聽祢的話語
[00:00:10.000 --> 00:00:12.000]  也思想祢自己的話語的教導
[00:00:12.000 --> 00:00:14.000]  我們求聖靈在我們中間
[00:00:14.000 --> 00:00:16.000]  在我們心裡面動功
[00:00:16.000 --> 00:00:18.000]  幫助我們能夠明白祢的話
[00:00:18.000 --> 00:00:20.000]  並且能夠在我們生活上
[00:00:20.000 --> 00:00:22.000]  尊主為大
[00:00:22.000 --> 00:00:24.000]  實行主的話語
[00:00:24.000 --> 00:00:26.000]  奉耶穌基督的名祈禱
[00:00:26.000 --> 00:00:28.000]  阿們
[00:00:28.000 --> 00:00:30.000]  禮拜一開始
[00:00:30.000 --> 00:00:32.000]  我們會開始一個新的系列
[00:00:32.000 --> 00:00:34.000]  是從一卷舊約的聖經
[00:00:34.000 --> 00:00:36.000]  來看
[00:00:36.000 --> 00:00:38.000]  上帝的慈愛
[00:00:38.000 --> 00:00:40.000]  和救贖的展開
[00:00:40.000 --> 00:00:42.000]  路德記
[00:00:42.000 --> 00:00:44.000]  是一個很短的故事
[00:00:44.000 --> 00:00:46.000]  只有四章聖經
[00:00:46.000 --> 00:00:48.000]  但是我們會分五次
[00:00:48.000 --> 00:00:50.000]  來思想
[00:00:50.000 --> 00:00:52.000]  鼓勵大家有時間在家裡
[00:00:52.000 --> 00:00:54.000]  自己先從頭到尾看一次
[00:00:54.000 --> 00:00:56.000]  經文第一章
[00:00:56.000 --> 00:00:58.000]  第一節
[00:00:58.000 --> 00:01:00.000]  一開始就很簡單
[00:01:00.000 --> 00:01:02.000]  交代了故事的
[00:01:02.000 --> 00:01:04.000]  歷史場景
[00:01:04.000 --> 00:01:06.000]  這個故事是一個
[00:01:06.000 --> 00:01:08.000]  真實的事件
[00:01:08.000 --> 00:01:10.000]  是發生在
[00:01:10.000 --> 00:01:12.000]  時思治理以色列的
[00:01:12.000 --> 00:01:14.000]  那段時期
[00:01:14.000 --> 00:01:16.000]  當然也是一個以色列人的
[00:01:16.000 --> 00:01:18.000]  故事
[00:01:18.000 --> 00:01:20.000]  熟悉舊約的大兄姐們會知道
[00:01:20.000 --> 00:01:22.000]  以色列人出了埃及
[00:01:22.000 --> 00:01:24.000]  在抗野遊蕩了
[00:01:24.000 --> 00:01:26.000]  十年之後
[00:01:26.000 --> 00:01:28.000]  在約書亞的帶領下
[00:01:28.000 --> 00:01:30.000]  進入了迦南
[00:01:30.000 --> 00:01:32.000]  但是約書亞臨死之前
[00:01:32.000 --> 00:01:34.000]  沒有為人民建立
[00:01:34.000 --> 00:01:36.000]  一個國家的制度
[00:01:36.000 --> 00:01:38.000]  其實連敬拜
[00:01:38.000 --> 00:01:40.000]  上主的制度
[00:01:40.000 --> 00:01:42.000]  也是很散漫的
[00:01:42.000 --> 00:01:44.000]  於是人民很容易離開
[00:01:44.000 --> 00:01:46.000]  他們的上主
[00:01:46.000 --> 00:01:48.000]  跟著當地人去敬拜
[00:01:48.000 --> 00:01:50.000]  他們的偶像
[00:01:50.000 --> 00:01:52.000]  我們叫偶像
[00:01:52.000 --> 00:01:54.000]  上主就會
[00:01:54.000 --> 00:01:56.000]  使用當地人去懲罰
[00:01:56.000 --> 00:01:58.000]  那些以色列人
[00:01:58.000 --> 00:02:00.000]  使他們知道離開上主
[00:02:00.000 --> 00:02:02.000]  上帝只會使整個民族
[00:02:02.000 --> 00:02:04.000]  都是
[00:02:04.000 --> 00:02:06.000]  遭殃
[00:02:06.000 --> 00:02:08.000]  當以色列人悔改
[00:02:08.000 --> 00:02:10.000]  向上帝認罪
[00:02:10.000 --> 00:02:12.000]  和向上帝求救的時候
[00:02:12.000 --> 00:02:14.000]  上帝就會為他們
[00:02:14.000 --> 00:02:16.000]  興起一位民族的英雄
[00:02:16.000 --> 00:02:18.000]  領袖
[00:02:18.000 --> 00:02:20.000]  使他們可以擺脫
[00:02:20.000 --> 00:02:22.000]  家族人的控制
[00:02:22.000 --> 00:02:24.000]  而這位民族英雄
[00:02:24.000 --> 00:02:26.000]  就會成為以色列人的
[00:02:26.000 --> 00:02:28.000]  最高領袖兼法官
[00:02:28.000 --> 00:02:30.000]  事司記
[00:02:30.000 --> 00:02:32.000]  這本書的英文名字
[00:02:32.000 --> 00:02:34.000]  是叫做
[00:02:34.000 --> 00:02:36.000]  Judges
[00:02:36.000 --> 00:02:38.000]  即是法官
[00:02:38.000 --> 00:02:40.000]  中文譯為事司
[00:02:40.000 --> 00:02:42.000]  據說原來中國周朝的時代
[00:02:42.000 --> 00:02:44.000]  就叫那些法官
[00:02:44.000 --> 00:02:46.000]  做事司
[00:02:46.000 --> 00:02:48.000]  所以事司即是法官
[00:02:48.000 --> 00:02:50.000]  因此
[00:02:50.000 --> 00:02:52.000]  中文譯為事司記
[00:02:52.000 --> 00:02:54.000]  以色列人的
[00:02:54.000 --> 00:02:56.000]  事司時期
[00:02:56.000 --> 00:02:58.000]  也是在王國
[00:02:58.000 --> 00:03:00.000]  以色列後來變成王國
[00:03:00.000 --> 00:03:02.000]  是王國建立之前
[00:03:02.000 --> 00:03:04.000]  那段時期
[00:03:04.000 --> 00:03:06.000]  根據事司記的記載
[00:03:06.000 --> 00:03:08.000]  是有十幾位的事司
[00:03:08.000 --> 00:03:10.000]  第一位是俄陀列
[00:03:10.000 --> 00:03:12.000]  最後一位是薩姆爾
[00:03:12.000 --> 00:03:14.000]  他就身兼濟斯
[00:03:14.000 --> 00:03:16.000]  先知和事司
[00:03:16.000 --> 00:03:18.000]  這段時間
