
[00:00:00.000 --> 00:00:03.080]  好 我們看一看今天我們在當中的訊息
[00:00:03.080 --> 00:00:07.060]  如果看到我們 可能在今年年底之前
[00:00:07.060 --> 00:00:09.540]  都會有一樣 就是屬靈生命的系列
[00:00:09.540 --> 00:00:13.280]  如果大家認識這幅圖的時候
[00:00:13.280 --> 00:00:16.320]  今天沒有帶我三個朋友 知道我三個朋友叫什麼名字嗎?
[00:00:16.320 --> 00:00:18.900]  靈魂體啊 其實他們是一個
[00:00:18.900 --> 00:00:21.640]  不過我們將他們拆了分離
[00:00:21.640 --> 00:00:24.480]  那麼你的身體是分不到靈魂體三個東西
[00:00:24.480 --> 00:00:27.320]  不過呢 在不同的時段裏面
[00:00:27.320 --> 00:00:30.120]  他們可能分開 有不同的做法
[00:00:30.120 --> 00:00:33.860]  甚至他們可以同一時間做一樣的事
[00:00:33.860 --> 00:00:36.100]  就好像今天我們在崇拜的時候
[00:00:36.100 --> 00:00:38.140]  我們的靈 我們接收上帝的話
[00:00:38.140 --> 00:00:40.760]  但是我們的魂會思想去鑒別
[00:00:40.760 --> 00:00:43.960]  我們的體就要聽了 所以昨晚夜睡的呢
[00:00:43.960 --> 00:00:47.060]  那就找把東西插一下自己的大腿 即是起你精神
[00:00:47.060 --> 00:00:48.060]  OK 好
[00:00:48.060 --> 00:00:51.620]  那麼當一個靈裏面呢 本來還沒有認識耶穌的人
[00:00:51.620 --> 00:00:55.240]  好像今天很多街上的人 當他信了耶穌的時候
[00:00:55.240 --> 00:00:57.540]  他的靈就開始復甦了
[00:00:57.540 --> 00:00:59.680]  所以靈就像嬰兒復甦的時候
[00:00:59.680 --> 00:01:03.040]  他需要去成長 所以在靈修裏面
[00:01:03.040 --> 00:01:05.340]  就是幫他的成長
[00:01:05.340 --> 00:01:07.580]  他的靈成長 透過讀經和禱告
[00:01:07.580 --> 00:01:10.200]  而當他一直有這些生命的餵養的時候
[00:01:10.200 --> 00:01:12.720]  他學習行在聖靈的當中
[00:01:12.720 --> 00:01:15.920]  因為當他信了耶穌的時候 聖靈在我們裏面
[00:01:15.920 --> 00:01:19.560]  當我們禱告讀經的時候 聖靈就帶領我們怎樣去行
[00:01:19.560 --> 00:01:22.000]  甚至到一個最後的階段
[00:01:22.000 --> 00:01:25.400]  是一個大用會 就是我們傳言的毀身於神
[00:01:25.400 --> 00:01:27.100]  基本上講完
[00:01:27.100 --> 00:01:29.500]  不過當你傳言毀身於神的時候
[00:01:29.500 --> 00:01:31.240]  那你仍然要生活的嘛
[00:01:31.240 --> 00:01:33.240]  是不是 你仍然要敬拜的
[00:01:33.240 --> 00:01:36.720]  那你每一個禮拜 每一個月做什麼呢
[00:01:36.720 --> 00:01:38.720]  那我們有一樣東西會做 就是繼續生活
[00:01:38.720 --> 00:01:41.080]  其中一樣東西不可以少的
[00:01:41.080 --> 00:01:43.080]  就是我們會說話
[00:01:43.080 --> 00:01:45.080]  除了你有特別的情況
[00:01:45.080 --> 00:01:47.860]  所以你信耶穌的時候 一直成長你都要說話
[00:01:47.860 --> 00:01:50.920]  所以我今天第4系列的4呢
[00:01:50.920 --> 00:01:52.920]  就在下一張powerpoint提醒我們
[00:01:52.920 --> 00:01:56.880]  就是屬靈生命的歷史 說出生命的話語
[00:01:56.880 --> 00:02:00.720]  原來我們講的東西 每一天都很重要
[00:02:00.720 --> 00:02:03.720]  信了耶穌是不是行在聖靈當中 傳言毀身
[00:02:03.720 --> 00:02:05.720]  就看我們講些什麼
[00:02:05.720 --> 00:02:09.180]  詩人說呢
[00:02:09.180 --> 00:02:11.180]  這個背景英文就是
[00:02:11.180 --> 00:02:14.560]  一個合適的說話
[00:02:14.560 --> 00:02:17.420]  就好像一個金蘋果在網裏面
[00:02:17.420 --> 00:02:19.420]  求耶穌都幫助我們
[00:02:19.420 --> 00:02:21.420]  在今天預備說出
[00:02:21.420 --> 00:02:24.420]  生命的話語的時候
[00:02:24.420 --> 00:02:26.420]  透過這個來幫助我們
[00:02:26.420 --> 00:02:28.420]  怎樣去說出生命的話語
[00:02:28.420 --> 00:02:30.420]  好 我們再有一個祈禱好不好
[00:02:30.420 --> 00:02:32.420]  求聖靈親自來帶領我們
[00:02:32.420 --> 00:02:34.420]  主我在這個時間再一次
[00:02:34.420 --> 00:02:36.420]  能夠
[00:02:36.420 --> 00:02:38.420]  在這個殿中
[00:02:38.420 --> 00:02:40.420]  來敬拜祢
[00:02:40.420 --> 00:02:42.420]  多謝祢揀選我們
