
[00:00:00.000 --> 00:00:04.000]  今天和大家講的是「如何看待耶穌」
[00:00:04.000 --> 00:00:07.000]  你如何看待耶穌呢?
[00:00:07.000 --> 00:00:11.000]  今天要強調的一個重心就是
[00:00:11.000 --> 00:00:15.000]  耶穌很多時候被他們所認識的
[00:00:15.000 --> 00:00:19.000]  自己本國本族的人去唾棄
[00:00:19.000 --> 00:00:21.000]  即是不要祂 拒絕祂
[00:00:21.000 --> 00:00:23.000]  其實是一個相當難受的感覺
[00:00:23.000 --> 00:00:26.000]  聽下去的時候「不是嗎?」
[00:00:26.000 --> 00:00:28.000]  不知道你有沒有類似的經驗呢?
[00:00:28.000 --> 00:00:31.000]  當我去預備這個題目的時候
[00:00:31.000 --> 00:00:34.000]  很容易想起我讀小學的時候
[00:00:34.000 --> 00:00:35.000]  很多年前
[00:00:35.000 --> 00:00:36.000]  讀小學的時候
[00:00:36.000 --> 00:00:38.000]  你知道中午吃完飯
[00:00:38.000 --> 00:00:41.000]  休息時間比較長
[00:00:41.000 --> 00:00:43.000]  那個時候我們男生
[00:00:43.000 --> 00:00:46.000]  當然是去球場那裡做什麼呢?
[00:00:46.000 --> 00:00:47.000]  踢球
[00:00:47.000 --> 00:00:48.000]  那時候很少打籃球
[00:00:48.000 --> 00:00:49.000]  踢球比較多
[00:00:49.000 --> 00:00:50.000]  我們那個時代
[00:00:50.000 --> 00:00:51.000]  現在我不知道
[00:00:51.000 --> 00:00:52.000]  因為離開那麼多年了
[00:00:52.000 --> 00:00:53.000]  幾十年前了
[00:00:53.000 --> 00:00:54.000]  我們那個時代
[00:00:54.000 --> 00:00:56.000]  當然是踢得最厲害的那兩個
[00:00:56.000 --> 00:00:58.000]  很自然地就出現了
[00:00:58.000 --> 00:00:59.000]  出來做什麼呢?
[00:00:59.000 --> 00:01:00.000]  做隊長
[00:01:00.000 --> 00:01:02.000]  那誰幫我一起踢球呢?
[00:01:02.000 --> 00:01:04.000]  他就去點兵了
[00:01:04.000 --> 00:01:05.000]  一人點一班
[00:01:05.000 --> 00:01:06.000]  我們整班同學圍住
[00:01:06.000 --> 00:01:08.000]  逐個點這個這個這個
[00:01:08.000 --> 00:01:10.000]  我也站在那裡
[00:01:10.000 --> 00:01:12.000]  不過點都點不中
[00:01:12.000 --> 00:01:13.000]  點都點不中
[00:01:13.000 --> 00:01:14.000]  我們就說要不看球
[00:01:14.000 --> 00:01:15.000]  你不可以踢球
[00:01:15.000 --> 00:01:16.000]  你就看球
[00:01:16.000 --> 00:01:18.000]  但是被人點過你旁邊
[00:01:18.000 --> 00:01:19.000]  即是
[00:01:19.000 --> 00:01:24.000]  那個感覺來講
[00:01:24.000 --> 00:01:25.000]  有沒有試過?
[00:01:25.000 --> 00:01:27.000]  就不是很瘦的
[00:01:27.000 --> 00:01:31.000]  可能現在我們沒有了那些情況
[00:01:31.000 --> 00:01:33.000]  不過大家做工
[00:01:33.000 --> 00:01:34.000]  我知道大家做工
[00:01:34.000 --> 00:01:37.000]  我們以前在政府裡面做
[00:01:37.000 --> 00:01:39.000]  是排隊的
[00:01:39.000 --> 00:01:40.000]  除非是什麼不妥當
[00:01:40.000 --> 00:01:42.000]  要不然排隊升級
[00:01:42.000 --> 00:01:43.000]  都很公平的
[00:01:43.000 --> 00:01:45.000]  in a sense
[00:01:45.000 --> 00:01:48.000]  但是在一個business world裡面來講
[00:01:48.000 --> 00:01:49.000]  在外面做工
[00:01:49.000 --> 00:01:51.000]  情況就很不同
