
[00:00:00.000 --> 00:00:06.300]  上次我們在講到迦勒泰書的時候,我們講到說要怎麼樣?
[00:00:06.300 --> 00:00:11.480]  還記得嗎?
[00:00:11.480 --> 00:00:16.800]  兩個禮拜了,大概又還給牧師了。
[00:00:16.800 --> 00:00:18.880]  上次的信息講什麼?
[00:00:18.880 --> 00:00:24.320]  迦勒泰書前面的看一下,
[00:00:24.320 --> 00:00:39.960]  講到勝過肉體情慾的秘訣。
[00:00:39.960 --> 00:00:42.400]  所以保羅在上次的信息裡面,我們講到說,
[00:00:42.400 --> 00:00:47.820]  他講了一堆有關肉體的情慾的事情,是不是?
[00:00:47.820 --> 00:00:51.800]  一個一個我們沒有時間去講它。
[00:00:51.800 --> 00:00:57.380]  那我們保羅接著就講了,講完這個肉體的情慾,
[00:00:57.380 --> 00:01:01.240]  接著就講到聖靈所結的果子。
[00:01:01.240 --> 00:01:05.180]  好,聖靈所結的果子,可能你從小背《聖經》都會背,
[00:01:05.180 --> 00:01:07.020]  來,會背的跟我一起來背好不好?
[00:01:07.020 --> 00:01:15.320]  聖靈所結的果子就是忍愛、喜樂、和平、忍耐、恩慈、良善、信實、溫柔、節制。
[00:01:15.320 --> 00:01:21.780]  再來,聖靈所結的果子就是忍愛、喜樂、和平、忍耐、恩慈、
[00:01:21.780 --> 00:01:27.900]  良善、信實、溫柔、節制。
[00:01:27.900 --> 00:01:33.740]  我記得年輕的時候我們查經《校園團契》出的,
[00:01:33.740 --> 00:01:37.460]  還有專門一冊聖靈的果子。
[00:01:37.460 --> 00:01:41.600]  所以每一個果子查一次,是不是?
[00:01:41.600 --> 00:01:44.720]  我原本打算,因為想想今年可能怕講不完了,
[00:01:44.720 --> 00:01:49.860]  我原本打算說就把它夯不啷噹的九個果子通通都講完了,
[00:01:49.860 --> 00:01:58.680]  後來發現說,還是一個一個來吧。
[00:01:58.680 --> 00:02:05.480]  首先第一個,這個聖靈的果子的number one是什麼?
[00:02:05.480 --> 00:02:09.780]  愛,很神奇,這個有沒有道理?
[00:02:09.780 --> 00:02:25.000]  為什麼保羅把忍愛放在這個聖靈的果子的第一個呢?
[00:02:25.000 --> 00:02:29.740]  這表明一件事情,這個愛很重要,是不是?
[00:02:29.740 --> 00:02:40.560]  The number one,第一個就先提到忍愛,忍愛就是愛。
[00:02:40.560 --> 00:02:44.720]  在聖經裡面講到這一個果子的時候,
[00:02:44.720 --> 00:02:47.480]  我們都說聖靈九果,對不對?
[00:02:47.480 --> 00:02:52.280]  所以是表示說這有九種果,是不是?
[00:02:52.280 --> 00:02:54.160]  是不是?
[00:02:54.160 --> 00:02:56.000]  不是。
[00:02:56.000 --> 00:03:02.520]  是,那是幾種果?
[00:03:02.520 --> 00:03:10.620]  好,其實在原文裡面,聖靈的果子是單數,
[00:03:10.620 --> 00:03:17.160]  這表明就是說這九個果子其實是一個果子,
[00:03:17.160 --> 00:03:22.820]  但是它有九種的美德,九種的表現。
[00:03:22.820 --> 00:03:30.680]  可是保羅在講到肉體的這個情慾所產生出來的這些等等,
[00:03:30.680 --> 00:03:34.480]  這個嫉妒、紛爭、爭競等等這些東西的時候,
[00:03:34.480 --> 00:03:39.700]  他講的這一個字,用的這一個原文是負數。
[00:03:39.700 --> 00:03:40.820]  這什麼意思呢?
[00:03:40.820 --> 00:03:42.940]  這表明一件事情就是說,
[00:03:42.940 --> 00:03:46.940]  保羅在形容肉體的這些事者之後,
[00:03:46.940 --> 00:03:53.300]  他講的這一堆的東西,代表著肉體出來的是混亂的,
[00:03:53.300 --> 00:03:58.020]  是分裂的,是衝突的。
[00:03:58.020 --> 00:04:02.820]  可是講到聖靈的果子,他用的單數表明一件事情,
[00:04:02.820 --> 00:04:06.420]  不管是仁愛、喜樂、和平、仁愛、恩慈、良善、信實、溫柔、節制,
[00:04:06.420 --> 00:04:13.660]  這九個都是從一個源頭來的。
[00:04:13.660 --> 00:04:16.140]  懂這意思嗎?從哪裡來的?
[00:04:16.140 --> 00:04:24.060]  從聖靈,所以是聖靈所結的果子。
[00:04:24.060 --> 00:04:26.900]  所以其實我們以前在查經的時候講說,
[00:04:26.900 --> 00:04:30.380]  他今天查愛,對不對?
[00:04:30.380 --> 00:04:32.220]  那明天又怎麼樣?
[00:04:32.220 --> 00:04:35.980]  查喜樂,再過來查什麼?
[00:04:35.980 --> 00:04:38.620]  和平,再過來呢?
[00:04:38.620 --> 00:04:44.220]  等到你查到節制的時候,已經第九個禮拜了,有沒有?
[00:04:44.220 --> 00:04:49.100]  第一個已經不見了,第二個,可能前面八個都不見了,有沒有?
[00:04:49.100 --> 00:04:50.860]  我們查經有這個問題啊。
[00:04:50.860 --> 00:04:53.900]  我們第一章、第二章、第三章,有時候第一章也查不完,
[00:04:53.900 --> 00:04:56.020]  結果第一章分了三次查,
[00:04:56.020 --> 00:05:00.380]  等到你一年都查完之後,你已經忘掉前面在查什麼了。
[00:05:00.380 --> 00:05:03.260]  你懂我意思嗎?
[00:05:03.260 --> 00:05:06.820]  你連聽到都這樣子了,是不是?
[00:05:06.820 --> 00:05:13.580]  所以我們今天一個一個來,免得大家太多了,消化不良。
[00:05:13.580 --> 00:05:17.140]  那丁子妹,什麼叫做愛?
[00:05:17.140 --> 00:05:18.940]  問一下你旁邊。
[00:05:18.940 --> 00:05:21.860]  如果你太太跟你丈夫坐在旁邊的話,
[00:05:21.860 --> 00:05:28.100]  問一下他,結婚多年了,再問他一下,什麼叫做愛?
[00:05:28.100 --> 00:05:32.940]  什麼叫做愛?
[00:05:32.940 --> 00:05:37.380]  什麼是愛?
[00:05:37.380 --> 00:05:42.660]  醫生,什麼醫生?
