
[00:00:00.000 --> 00:00:03.000]  恭祝大家復活節快樂
[00:00:03.000 --> 00:00:05.120]  復活節快樂
[00:00:05.120 --> 00:00:08.760]  是因為耶穌使我們快樂
[00:00:08.760 --> 00:00:14.680]  因為耶穌帶來了希望、勝利和生命
[00:00:14.680 --> 00:00:16.920]  在復活節
[00:00:16.920 --> 00:00:18.520]  自古至今
[00:00:18.520 --> 00:00:21.640]  很多人都去問三個問題
[00:00:21.640 --> 00:00:23.120]  第一個是
[00:00:23.120 --> 00:00:26.400]  耶穌為什麼能夠復活呢?
[00:00:26.400 --> 00:00:29.400]  耶穌復活是不是真的?
[00:00:29.560 --> 00:00:31.120]  有沒有證據呢?
[00:00:31.120 --> 00:00:34.240]  第三個問題就是
[00:00:34.240 --> 00:00:37.760]  耶穌復活有什麼意義呢?
[00:00:37.760 --> 00:00:40.760]  今天我們會比較集中
[00:00:40.760 --> 00:00:43.000]  在第二個問題
[00:00:43.000 --> 00:00:46.560]  因為三個問題都要處理
[00:00:46.560 --> 00:00:48.840]  是相當難度高的
[00:00:48.840 --> 00:00:52.840]  我們會集中在耶穌的復活
[00:00:52.840 --> 00:00:54.520]  是不是真的呢?
[00:00:54.520 --> 00:00:56.480]  有什麼證據呢?
[00:00:57.600 --> 00:01:00.160]  不過我們都要去思想一下
[00:01:00.160 --> 00:01:03.600]  為什麼耶穌能夠復活呢?
[00:01:03.600 --> 00:01:07.320]  這是一個神學的問題
[00:01:07.320 --> 00:01:09.920]  這個問題要去處理
[00:01:09.920 --> 00:01:11.520]  可以很複雜
[00:01:11.520 --> 00:01:13.840]  也可以很簡單
[00:01:13.840 --> 00:01:16.400]  這個問題的答案
[00:01:16.400 --> 00:01:18.680]  就在我的講題裡面
[00:01:18.680 --> 00:01:22.400]  因為生命在死亡之中
[00:01:22.400 --> 00:01:25.880]  因為生命在死亡之中
[00:01:26.360 --> 00:01:28.600]  因為耶穌是神的兒子
[00:01:28.600 --> 00:01:31.080]  神的兒子就等於神
[00:01:31.080 --> 00:01:32.760]  他是彌賽
[00:01:32.760 --> 00:01:34.280]  他是基督
[00:01:34.280 --> 00:01:37.000]  他是有不老的生命
[00:01:37.000 --> 00:01:40.320]  所以死亡是不能夠吞滅他的
[00:01:40.320 --> 00:01:45.960]  正如黑暗不能夠吞滅光的
[00:01:45.960 --> 00:01:48.920]  一有光出現,黑暗就要走了
[00:01:48.920 --> 00:01:51.960]  所以耶穌的生命
[00:01:51.960 --> 00:01:53.440]  祂自己說
[00:01:53.440 --> 00:01:55.320]  「我就是生命」
[00:01:55.520 --> 00:01:57.160]  「我就是復活」
[00:01:57.160 --> 00:01:59.720]  同樣在《約翰福音》說
[00:01:59.720 --> 00:02:02.440]  祂既然是生命
[00:02:02.440 --> 00:02:03.800]  死亡
[00:02:03.800 --> 00:02:05.840]  怎麼能夠吞滅祂呢?
[00:02:05.840 --> 00:02:11.160]  我們今天經過圍繞的是耶穌的復活
[00:02:11.160 --> 00:02:12.960]  是不是真的呢?
[00:02:12.960 --> 00:02:15.240]  有什麼證據呢?
[00:02:15.240 --> 00:02:16.720]  各位
