
[00:00:00.000 --> 00:00:03.240]  今日這段經文是三個多月前所編定的
[00:00:03.240 --> 00:00:06.780]  當然其實很想在這個父親節裏面
[00:00:06.780 --> 00:00:12.400]  透過一段耶穌基督講論婚姻的經文
[00:00:12.400 --> 00:00:16.740]  去幫助年長的、年輕的父親
[00:00:16.740 --> 00:00:19.340]  作丈夫的男士
[00:00:19.340 --> 00:00:21.520]  他們去注重婚姻
[00:00:21.520 --> 00:00:24.760]  同樣我們亦會透過這段婚姻的經文
[00:00:24.760 --> 00:00:26.560]  去幫助我們每一位信徒
[00:00:26.560 --> 00:00:29.360]  無論你是否在婚姻的狀態裏面
[00:00:29.800 --> 00:00:32.680]  我們一定會在當中有得著的
[00:00:32.680 --> 00:00:37.480]  我們打開《馬學福音》第十章1523頁
[00:00:37.480 --> 00:00:46.520]  要理解《馬學福音》這一小段
[00:00:46.520 --> 00:00:48.600]  關於婚姻和離婚的經文
[00:00:48.600 --> 00:00:53.360]  首先你不要認定它與你無關
[00:00:53.360 --> 00:00:54.400]  剛才也說了
[00:00:54.400 --> 00:00:57.000]  經文一定有亮光可以給到你的
[00:00:57.000 --> 00:00:58.360]  第二要去解讀
[00:00:58.360 --> 00:01:01.640]  我們不能離開整卷福音書
[00:01:01.640 --> 00:01:03.560]  整體的大脈絡
[00:01:03.560 --> 00:01:04.560]  只看那一點
[00:01:04.560 --> 00:01:05.240]  不是的
[00:01:05.240 --> 00:01:08.040]  所以如果我們把《馬學福音》分開兩半
[00:01:08.040 --> 00:01:12.040]  在八章的二十七節到九章的一節
[00:01:12.040 --> 00:01:17.240]  是理解《馬學福音》下半的關鍵和樞紐
[00:01:17.240 --> 00:01:20.640]  耶穌在那篇章裏面
[00:01:20.640 --> 00:01:23.560]  祂在蓋撒尼亞肥勒比的路上
[00:01:23.560 --> 00:01:25.000]  祂問門徒
[00:01:25.000 --> 00:01:26.680]  「別人說我是誰?」
[00:01:27.200 --> 00:01:29.360]  「你們又說我是誰?」
[00:01:29.360 --> 00:01:31.400]  那時候彼得就去宣認耶穌
[00:01:31.400 --> 00:01:32.360]  「你是基督」
[00:01:32.360 --> 00:01:34.320]  即是說耶穌是尼塞亞
[00:01:34.320 --> 00:01:36.160]  祂是要來的那位君王
[00:01:36.160 --> 00:01:39.680]  耶穌接著也預告了自己會受難
[00:01:39.680 --> 00:01:42.160]  就在這樣的背景下
[00:01:42.160 --> 00:01:44.400]  宣認了耶穌基督
[00:01:44.400 --> 00:01:46.600]  耶穌卻說自己會受難
[00:01:46.600 --> 00:01:50.200]  然後接下來的第九、第十章
[00:01:50.200 --> 00:01:51.800]  登山變象
[00:01:51.800 --> 00:01:53.000]  門徒拐軌失敗
[00:01:53.000 --> 00:01:54.800]  門徒爭論誰較大
[00:01:55.200 --> 00:01:57.760]  然後繼續說
[00:01:57.760 --> 00:01:59.360]  其實每一段都是說
[00:01:59.360 --> 00:02:01.160]  宣認了基督之後
[00:02:01.160 --> 00:02:02.720]  有一位王之後
[00:02:02.720 --> 00:02:04.520]  你怎樣去跟隨他?
[00:02:04.520 --> 00:02:06.760]  你怎樣去作為門徒?
[00:02:06.760 --> 00:02:10.720]  你怎樣去作為一位真正跟隨基督的人?
[00:02:10.720 --> 00:02:13.120]  而作為跟隨基督的人
[00:02:13.120 --> 00:02:16.000]  他們的生命、他們的生活
[00:02:16.000 --> 00:02:18.320]  是會展現出怎樣的面貌?
[00:02:18.320 --> 00:02:21.120]  這群人的生活有什麼特別呢?
[00:02:21.120 --> 00:02:22.840]  當這群人的生活
[00:02:22.840 --> 00:02:24.840]  一拍到社會那裏
[00:02:25.000 --> 00:02:27.120]  就好像做實驗的對照品一樣
[00:02:27.120 --> 00:02:29.320]  嘩!一對照就發現
[00:02:29.320 --> 00:02:33.120]  為何社會的制度、結構、文化、慣例、常規
[00:02:33.120 --> 00:02:36.120]  顯露了這麼多的不公義和扭曲呢?
[00:02:36.120 --> 00:02:38.000]  所以大約第十章
[00:02:38.000 --> 00:02:40.520]  是耶穌進入耶路撒冷之前的一章
[00:02:40.520 --> 00:02:43.120]  社會的扭曲展現了出來
[00:02:43.120 --> 00:02:46.320]  這個位置有人出來挑戰耶穌了
[00:02:46.320 --> 00:02:47.720]  你幫我讀
[00:02:47.720 --> 00:02:49.920]  第十章的第二節
[00:02:49.920 --> 00:02:51.120]  預備起
[00:02:51.120 --> 00:02:55.320]  有法利塞人前來試探耶穌
[00:02:55.320 --> 00:02:58.920]  問他,丈夫可以有妻嗎?
[00:02:58.920 --> 00:03:02.520]  法利塞人前來試探耶穌
[00:03:02.520 --> 00:03:05.120]  原文的鋪排是這樣的
[00:03:05.120 --> 00:03:06.720]  不是一開始就說他來試探
[00:03:06.720 --> 00:03:10.320]  是說法利塞人前來問耶穌
[00:03:10.320 --> 00:03:12.720]  這個「問」字和之後的第十節
[00:03:12.720 --> 00:03:14.320]  門徒在屋裏面
[00:03:14.320 --> 00:03:15.320]  都是「問耶穌」
[00:03:15.320 --> 00:03:16.920]  是一個平常的字
[00:03:16.920 --> 00:03:18.320]  「問耶穌」是什麼呢?
