
[00:00:00.000 --> 00:00:05.500]  我們一起讀一段聖經 在菲律賓書第四章 十一到第十三節
[00:00:05.500 --> 00:00:08.960]  這裡保羅說 我並不是因缺乏說這話
[00:00:08.960 --> 00:00:11.780]  我無論是在什麼景況都可以知足
[00:00:11.780 --> 00:00:13.760]  這是我已經學會了
[00:00:13.760 --> 00:00:17.080]  我知道怎麼樣處卑賤 知道怎麼樣處豐富
[00:00:17.080 --> 00:00:20.560]  或飽足 或飢餓 或有餘 或缺乏
[00:00:20.560 --> 00:00:23.460]  隨是隨在 我都得了秘訣
[00:00:23.460 --> 00:00:25.340]  十三節我們一同來念來
[00:00:25.340 --> 00:00:29.620]  我靠著那加給我力量的 凡事都能做
[00:00:30.640 --> 00:00:33.140]  這次回臺灣 一到臺北
[00:00:33.140 --> 00:00:37.280]  第二天就遇到二十五年來最大的一次地震
[00:00:37.280 --> 00:00:43.240]  雖然鎮江是在花蓮 但在臺北還是經歷極大的震撼
[00:00:43.240 --> 00:00:45.640]  那天早上我清早起來
[00:00:45.640 --> 00:00:48.700]  正在準備第二天特會的信息
[00:00:48.700 --> 00:00:52.280]  忽然間整棟旅館大樓就開始搖起來
[00:00:52.280 --> 00:00:56.080]  一開始還覺得大概搖一下就會停了
[00:00:56.080 --> 00:00:58.780]  但沒想到越搖越厲害
[00:00:58.780 --> 00:01:01.360]  特別我住在第三十一層樓
[00:01:01.360 --> 00:01:05.140]  以前住旅館都希望住高層樓
[00:01:05.140 --> 00:01:06.460]  那天很後悔
[00:01:06.460 --> 00:01:10.740]  在房間裡面不但人不能站
[00:01:10.740 --> 00:01:14.580]  根本是站立不住 所有櫃子的門都被震開了
[00:01:14.580 --> 00:01:17.540]  所有桌上的東西都摔到地上了
[00:01:17.540 --> 00:01:19.440]  整整一分鐘之久
[00:01:19.440 --> 00:01:22.060]  到後來真的有點嚇人
[00:01:22.060 --> 00:01:26.120]  很多人問我說 劉牧師在那一剎那你心裡想的是什麼
[00:01:27.480 --> 00:01:29.320]  其實沒那麼屬靈
[00:01:29.320 --> 00:01:35.100]  在那一分鐘什麼都來不及想了
[00:01:35.100 --> 00:01:37.820]  你只想抓住一個不會動
[00:01:37.820 --> 00:01:39.960]  能夠依靠的東西就好了
[00:01:39.960 --> 00:01:45.400]  感謝神那一分鐘過去之後 地震終於停下來
[00:01:45.400 --> 00:01:47.580]  我立刻衝出房間想看看
[00:01:47.580 --> 00:01:49.920]  電梯情況如何嘛 對不對
[00:01:49.920 --> 00:01:53.000]  否則三十四樓上上下下也很慘啊
[00:01:53.000 --> 00:01:56.260]  感謝神電梯照常能夠操作
[00:01:56.260 --> 00:01:58.900]  所以我心中才安定下來
[00:01:58.900 --> 00:02:01.260]  很快第二天其實Amazing
[00:02:01.260 --> 00:02:04.260]  台北幾乎已經恢復正常運作
[00:02:04.260 --> 00:02:05.100]  真的非常好
[00:02:05.100 --> 00:02:08.700]  好像沒有這回事一樣了 第二天已經是
[00:02:08.700 --> 00:02:12.940]  可是到目前為止 花蓮地區還是災情非常嚴重
[00:02:12.940 --> 00:02:16.780]  我們真的需要繼續為台灣人民來禱告 Amen
[00:02:16.780 --> 00:02:18.580]  經過這場地震之後
[00:02:18.580 --> 00:02:21.140]  我就想到在我們人生的道路當中
[00:02:21.140 --> 00:02:24.140]  不是也常常經歷到一些
[00:02:24.140 --> 00:02:26.940]  意想不到的驚恐嗎
[00:02:26.940 --> 00:02:30.420]  就好像一場生命中的地震一樣
[00:02:30.420 --> 00:02:32.900]  當我們在人生的困境當中
[00:02:32.900 --> 00:02:36.420]  我們感覺天旋地轉的時候
[00:02:36.420 --> 00:02:38.620]  很多時候我們感覺無助
[00:02:38.620 --> 00:02:40.460]  難道我們不也是渴望
[00:02:40.460 --> 00:02:44.460]  能夠抓住一些可以依靠的東西嗎
[00:02:44.460 --> 00:02:47.100]  第二 你可知道在我們一生當中
[00:02:47.100 --> 00:02:53.340]  唯有神是我們在一切動盪當中的堅固磐石嗎
[00:02:53.340 --> 00:02:58.460]  唯有祂是我們生命當中永遠的依靠 Amen
[00:02:58.460 --> 00:03:01.100]  所以今天無論我們在任何的環境當中
[00:03:01.100 --> 00:03:03.620]  我們都應當來投靠祂
[00:03:03.620 --> 00:03:05.980]  祂要賜給我們智慧
[00:03:05.980 --> 00:03:09.820]  賜給我們力量來勝過一切的環境
[00:03:09.820 --> 00:03:12.140]  那你說我們怎麼樣在各樣困境當中
[00:03:12.140 --> 00:03:14.260]  用靠主來得勝呢
[00:03:14.260 --> 00:03:17.620]  今天這段經文當中讓我們看見三方面
[00:03:17.620 --> 00:03:19.020]  首先第一個
[00:03:19.020 --> 00:03:22.980]  一定要在各樣環境當中學會知足
[00:03:22.980 --> 00:03:27.180]  跟你們說要學會知足
[00:03:27.180 --> 00:03:30.100]  今天當我們在面對任何艱難環境的時候
[00:03:30.100 --> 00:03:31.860]  第一件事情
[00:03:31.860 --> 00:03:33.500]  你一定要學會知足
[00:03:33.500 --> 00:03:36.180]  就像保羅在菲律賓書第四章
[00:03:36.180 --> 00:03:37.900]  第十一節所說的
[00:03:37.900 --> 00:03:40.620]  他說我並不是缺乏說這話
[00:03:40.620 --> 00:03:43.420]  我無論什麼情況都可以知足
[00:03:43.420 --> 00:03:46.420]  這是我已經學會了
[00:03:46.420 --> 00:03:47.700]  保羅在這裡教導我們說
