
[00:00:00.000 --> 00:00:02.000]  我很感謝上帝的恩典
[00:00:02.000 --> 00:00:05.000]  讓我過去二十多年能夠做福音的使者
[00:00:05.000 --> 00:00:08.000]  最近這兩年又叫我做
[00:00:08.000 --> 00:00:10.000]  In addition to 傳福音
[00:00:10.000 --> 00:00:11.000]  要做另外一樣東西
[00:00:11.000 --> 00:00:12.000]  就是在中國
[00:00:12.000 --> 00:00:14.000]  用普通話來說
[00:00:14.000 --> 00:00:16.000]  去神學院教Apologetics
[00:00:16.000 --> 00:00:18.000]  即是護教學
[00:00:18.000 --> 00:00:21.000]  因為二十一世紀傳道人做牧師
[00:00:21.000 --> 00:00:24.000]  那些會眾是懂得很多東西的
[00:00:24.000 --> 00:00:26.000]  很可能就是問一些問題
[00:00:26.000 --> 00:00:31.000]  如果你跟他不夠同等的水平的話
[00:00:31.000 --> 00:00:33.000]  你很多問題都回答不了
[00:00:33.000 --> 00:00:35.000]  譬如究竟神做人是自由意志
[00:00:35.000 --> 00:00:37.000]  因為是預定的
[00:00:37.000 --> 00:00:38.000]  神是否全能
[00:00:38.000 --> 00:00:41.000]  祂可否做到大石大到祂自己都補不起
[00:00:41.000 --> 00:00:43.000]  你怎知道神聽禱告等等
[00:00:43.000 --> 00:00:45.000]  有二十多篇
[00:00:45.000 --> 00:00:48.000]  我要在中國裏面講的
[00:00:48.000 --> 00:00:52.000]  現在林牧師要我講猜拳
[00:00:52.000 --> 00:00:54.000]  我昨天講第一篇是
[00:00:54.000 --> 00:00:56.000]  Purpose Strength Church
[00:00:56.000 --> 00:00:58.000]  我不是讀書報告
[00:00:58.000 --> 00:01:00.000]  我是講馬太福音28章
[00:01:00.000 --> 00:01:03.000]  主耶穌在未上十字架之先
[00:01:03.000 --> 00:01:07.000]  在閣樓開主餐
[00:01:07.000 --> 00:01:09.000]  做個抹餅聚會
[00:01:09.000 --> 00:01:11.000]  要十二個門徒吃同一塊餅
[00:01:11.000 --> 00:01:14.000]  這個餅是代表祂的身體為眾人抹開的
[00:01:14.000 --> 00:01:16.000]  由那一天開始
[00:01:16.000 --> 00:01:18.000]  那十二個門徒因為吃了餅
[00:01:18.000 --> 00:01:20.000]  祂成為基督的身體
[00:01:20.000 --> 00:01:23.000]  而每一個門徒就成為身體的一部分
[00:01:23.000 --> 00:01:25.000]  這個就是教會的開始
[00:01:25.000 --> 00:01:28.000]  不過崇拜要等到耶穌升天之後
[00:01:28.000 --> 00:01:30.000]  五旬節聖靈降臨
