
[00:00:00.000 --> 00:00:04.000]  我們今天要講的道
[00:00:04.000 --> 00:00:08.000]  基本上會圍繞著我們整個信仰的核心
[00:00:08.000 --> 00:00:09.000]  就是福音
[00:00:09.000 --> 00:00:13.000]  福音的核心就是在聖經裏
[00:00:13.000 --> 00:00:15.000]  我們看回聖經
[00:00:15.000 --> 00:00:17.000]  裏面總共有六十六卷書
[00:00:17.000 --> 00:00:20.000]  大家知道聖經有六十六卷書吧
[00:00:20.000 --> 00:00:22.000]  聖經分為兩部分
[00:00:22.000 --> 00:00:24.000]  哪兩部分呢?
[00:00:24.000 --> 00:00:25.000]  新約和舊約
[00:00:25.000 --> 00:00:27.000]  或者舊約和新約
[00:00:27.000 --> 00:00:28.000]  舊和新
[00:00:28.000 --> 00:00:30.000]  而舊約的部分有多少卷呢?
[00:00:30.000 --> 00:00:32.000]  三十九卷
[00:00:32.000 --> 00:00:35.000]  三九就是二十七
[00:00:35.000 --> 00:00:37.000]  新約有多少卷呢?
[00:00:37.000 --> 00:00:38.000]  二十七卷
[00:00:38.000 --> 00:00:40.000]  那條式是正確的嗎?
[00:00:40.000 --> 00:00:42.000]  不是,只是幫你記的
[00:00:42.000 --> 00:00:44.000]  三九二十七是幫你記的
[00:00:44.000 --> 00:00:45.000]  三十九加二十七
[00:00:45.000 --> 00:00:47.000]  剛剛好是六十六卷
[00:00:47.000 --> 00:00:50.000]  三十九卷的舊約聖經
[00:00:50.000 --> 00:00:54.000]  其實是無可推諉的
[00:00:54.000 --> 00:00:56.000]  這位耶穌基督
[00:00:56.000 --> 00:00:57.000]  我們信仰的核心
[00:00:57.000 --> 00:00:59.000]  耶穌基督要來
[00:00:59.000 --> 00:01:02.000]  然後在二十七卷的聖經裏面
[00:01:02.000 --> 00:01:05.000]  頭四卷我們稱之為福音書
[00:01:05.000 --> 00:01:08.000]  所以我們的信仰就是福音的信仰
[00:01:08.000 --> 00:01:11.000]  那四卷福音書是講哪一個呢?
[00:01:11.000 --> 00:01:12.000]  耶穌基督
[00:01:12.000 --> 00:01:15.000]  所以我們有馬太、馬可、路加、約翰
[00:01:15.000 --> 00:01:16.000]  這四個人物
[00:01:16.000 --> 00:01:19.000]  從四個近身的人
[00:01:19.000 --> 00:01:20.000]  從四個角度
[00:01:20.000 --> 00:01:25.000]  來看耶穌基督的生平
[00:01:25.000 --> 00:01:27.000]  和他整個信仰的核心
[00:01:27.000 --> 00:01:28.000]  其實是在告訴我們
[00:01:28.000 --> 00:01:30.000]  如何拯救我們
[00:01:30.000 --> 00:01:32.000]  所以這四卷福音書同樣記載了
[00:01:32.000 --> 00:01:36.000]  耶穌基督為我們聚丁十字架的核心
[00:01:36.000 --> 00:01:38.000]  接著到四卷福音書
[00:01:38.000 --> 00:01:41.000]  講完耶穌的生平的時候
