
[00:00:00.000 --> 00:00:04.000]  今日我們默想經文二月
[00:00:04.000 --> 00:00:05.600]  羅馬斯十二章二字
[00:00:05.600 --> 00:00:08.000]  不若效法者一個世界
[00:00:08.000 --> 00:00:10.000]  所以我們都圍到歐洲祈禱
[00:00:10.000 --> 00:00:13.600]  因為歐洲世俗化越來越厲害
[00:00:13.600 --> 00:00:15.000]  但是當講
[00:00:15.000 --> 00:00:16.800]  不若效法者一個世界的時候
[00:00:16.800 --> 00:00:18.400]  我們就知道我們要阻擋
[00:00:18.400 --> 00:00:20.600]  世界很多熟悉的價值觀
[00:00:20.600 --> 00:00:23.000]  不合乎神心意的價值觀
[00:00:23.000 --> 00:00:25.000]  影響我們每一個
[00:00:25.000 --> 00:00:25.800]  是不是
[00:00:25.800 --> 00:00:27.800]  不若效法者一個世界
[00:00:27.800 --> 00:00:29.400]  但是同樣神的心意
[00:00:29.400 --> 00:00:31.600]  卻不是我們單單
[00:00:31.600 --> 00:00:32.600]  好像打球一樣
[00:00:32.600 --> 00:00:35.000]  只是防守
[00:00:35.000 --> 00:00:36.800]  上帝祂是差遣我們每一個
[00:00:36.800 --> 00:00:39.000]  作炎作光
[00:00:39.000 --> 00:00:40.000]  轉入世界
[00:00:40.000 --> 00:00:41.800]  去影響世界
[00:00:41.800 --> 00:00:45.800]  是不是
[00:00:45.800 --> 00:00:47.600]  最近
[00:00:47.600 --> 00:00:50.600]  有些時候我聽到有些人說
[00:00:50.600 --> 00:00:51.800]  當我和一些弟兄姊妹說
[00:00:51.800 --> 00:00:53.200]  要作炎作光的時候
[00:00:53.200 --> 00:00:54.200]  弟兄姊妹說
[00:00:54.200 --> 00:00:57.000]  我人微言輕
[00:00:57.000 --> 00:01:00.200]  在家裡我是最小的
[00:01:00.200 --> 00:01:03.400]  又或者在公司我是最小的
[00:01:03.400 --> 00:01:07.400]  其實我沒有什麼影響力
[00:01:07.400 --> 00:01:09.200]  當我思想的時候我想
[00:01:09.200 --> 00:01:11.600]  似乎不是
[00:01:11.600 --> 00:01:12.800]  過往好像
[00:01:12.800 --> 00:01:15.200]  位高權重的人影響力越大
[00:01:15.200 --> 00:01:15.800]  那事實
[00:01:15.800 --> 00:01:17.400]  你越位高權重
[00:01:17.400 --> 00:01:20.400]  你應該影響力越來越大的
[00:01:20.400 --> 00:01:23.400]  但我回想以風聖家做例子
[00:01:23.400 --> 00:01:26.200]  我放假一個禮拜
[00:01:26.200 --> 00:01:28.400]  影響力不大
[00:01:28.400 --> 00:01:30.000]  但當我們清潔童宮
[00:01:30.000 --> 00:01:33.400]  兒者和靈者放假一個禮拜
[00:01:33.400 --> 00:01:35.400]  那就大件事了
[00:01:35.400 --> 00:01:36.600]  大家回來
[00:01:36.600 --> 00:01:38.600]  就會有一陣
[00:01:38.600 --> 00:01:41.600]  很濃烈的味道出來了
[00:01:41.600 --> 00:01:43.800]  有時我們的影響力
[00:01:43.800 --> 00:01:47.600]  不是單單在於我們的地位
[00:01:47.600 --> 00:01:50.400]  是在於你在做什麼
[00:01:50.400 --> 00:01:53.400]  特別現在在網絡世界
[00:01:53.400 --> 00:01:56.000]  發覺人人都喜歡拍攝
[00:01:56.000 --> 00:01:57.200]  拍照
[00:01:57.200 --> 00:01:59.200]  拍片段
[00:01:59.200 --> 00:02:00.800]  小段片段
[00:02:00.800 --> 00:02:02.600]  所以見到好人好事
[00:02:02.600 --> 00:02:03.800]  或者壞人壞事
[00:02:03.800 --> 00:02:06.000]  拍了之後放上網
[00:02:06.000 --> 00:02:08.000]  就引起很大的
[00:02:08.000 --> 00:02:10.200]  轟動
[00:02:10.200 --> 00:02:12.200]  有很多影響力出來了
[00:02:12.200 --> 00:02:14.400]  再即時說一件事
[00:02:14.400 --> 00:02:16.400]  我們每個人
[00:02:16.400 --> 00:02:18.600]  都有影響力
[00:02:18.600 --> 00:02:20.400]  我們每個人
