
[00:00:00.000 --> 00:00:02.500]  好,我們大家一起祈禱,我們仰望神
[00:00:02.500 --> 00:00:08.620]  主,我們充滿感恩
[00:00:08.620 --> 00:00:11.160]  因為我們的確知道
[00:00:11.160 --> 00:00:14.000]  今天成為何等樣的人
[00:00:14.000 --> 00:00:16.200]  是出於祢的恩典
[00:00:16.200 --> 00:00:18.380]  教會能夠蒙恩
[00:00:18.380 --> 00:00:22.460]  可以有弟兄姊妹在其中認識真理
[00:00:22.460 --> 00:00:24.200]  在其中成長
[00:00:24.200 --> 00:00:26.500]  完全是祢自己的工作
[00:00:26.500 --> 00:00:29.640]  沒有人能夠憑著自己的智慧、聰明
[00:00:29.640 --> 00:00:31.960]  叫人能夠得著救恩
[00:00:31.960 --> 00:00:35.660]  唯有祢自己賜生命於人
[00:00:35.660 --> 00:00:37.820]  因此我們感謝祢
[00:00:37.820 --> 00:00:39.860]  因為教會是屬於祢的
[00:00:39.860 --> 00:00:44.120]  是祢以祢自己的寶血所買熟回來的
[00:00:44.120 --> 00:00:46.440]  是祢自己所珍貴的
[00:00:46.440 --> 00:00:48.480]  主,求祢幫助我們
[00:00:48.480 --> 00:00:50.540]  在其中領受祢的恩典
[00:00:50.540 --> 00:00:52.240]  亦明白祢的心意
[00:00:52.240 --> 00:00:55.420]  讓自己成為一個流通的管道
[00:00:55.420 --> 00:00:58.920]  也同樣可以將恩典延伸出去
[00:00:58.920 --> 00:01:02.100]  叫別人都可以因為我們蒙福
[00:01:02.100 --> 00:01:06.220]  主,我們感謝祢對北村家長期的恩惠
[00:01:06.220 --> 00:01:07.780]  特別是在一個很特別的時刻
[00:01:07.780 --> 00:01:09.820]  祢將地方賜給我們
[00:01:09.820 --> 00:01:11.880]  而主,我們也禱告
[00:01:11.880 --> 00:01:17.320]  相對香港仍然有超過百分之九十六的人
[00:01:17.320 --> 00:01:19.800]  是未曾來到去信主
[00:01:19.800 --> 00:01:23.960]  主,求祢自己瑞顧很多未曾認識祢的生命
[00:01:23.960 --> 00:01:27.140]  施恩帶領他們歸回祢的陽圈
[00:01:27.460 --> 00:01:29.580]  主,我們感謝祢今天讓我們一起
[00:01:29.580 --> 00:01:31.880]  再一次透過聖經來敬拜祢
[00:01:31.880 --> 00:01:33.460]  認識祢自己
[00:01:33.460 --> 00:01:35.880]  求祢賜下祢寶貴的聖靈
[00:01:35.880 --> 00:01:38.400]  指教我們明白真理
[00:01:38.400 --> 00:01:40.800]  又賜給我們心靈的力量
[00:01:40.800 --> 00:01:43.860]  能夠去跟隨、去遵從
[00:01:43.860 --> 00:01:46.880]  以致我們得著祢要給我們的豐盛
[00:01:46.880 --> 00:01:49.120]  求主,除去一切的障礙
[00:01:49.120 --> 00:01:52.880]  讓我們在祢的恩典、祢的聖靈裏面
[00:01:52.880 --> 00:01:54.880]  一同蒙恩
[00:01:54.880 --> 00:01:58.580]  我們仰望祈禱,奉耶穌基督聖名求
[00:01:58.580 --> 00:02:00.580]  阿們
[00:02:00.580 --> 00:02:06.580]  大家翻看聖經的《約書亞記》二十三章的經文
[00:02:06.580 --> 00:02:12.380]  我們今天思想當紀念主恩而專心的遵從
[00:02:12.380 --> 00:02:15.480]  我們剛剛過了我們的猜拳年會
[00:02:15.480 --> 00:02:19.980]  我盼望我們都會繼續留心關心猜拳的事情
[00:02:19.980 --> 00:02:24.580]  我記得我們的大會講員楊牧師在當中提及一件事情
[00:02:24.580 --> 00:02:29.380]  提及到今天不單止中國有很多人未曾聽聞福音
[00:02:29.380 --> 00:02:32.880]  也提到今天在歐洲特別是在英國的地方
[00:02:32.880 --> 00:02:36.880]  教會有衰落的情況和現象
[00:02:36.880 --> 00:02:40.880]  有很多的教會倒閉
[00:02:40.880 --> 00:02:45.580]  當他這樣講的時候我就想起我自己過去的一個經歷
[00:02:45.580 --> 00:02:49.880]  零八年我有機會去加拿大的滿地可的地方
[00:02:49.880 --> 00:02:52.380]  跟當地的教會來到廣東
[00:02:52.380 --> 00:02:54.680]  去到一間很大的禮拜堂
[00:02:54.680 --> 00:02:56.680]  是華人的教會
[00:02:56.680 --> 00:03:00.180]  我都很驚訝這間禮拜堂原來是一間坐地的
[00:03:00.180 --> 00:03:02.680]  一個很宏偉的禮拜堂
[00:03:02.680 --> 00:03:06.380]  進去的時候看到很美的彩色玻璃
[00:03:06.380 --> 00:03:11.380]  大家可能去過歐洲的教會都見過這些很美的坐地禮拜堂
[00:03:11.380 --> 00:03:15.380]  又見到他們的講台他們很多周圍的設計
[00:03:15.380 --> 00:03:22.180]  是經過很細微很精工的雕刻的一些裝飾
[00:03:22.180 --> 00:03:25.180]  我就問這間華人宣道會
[00:03:25.180 --> 00:03:30.180]  究竟你們是怎樣可以有這個禮堂
[00:03:30.180 --> 00:03:33.180]  他們就說我們買回來的
[00:03:33.180 --> 00:03:36.180]  是一間聯合教會United Church
[00:03:36.180 --> 00:03:40.180]  在大概十五年之前賣給他們
[00:03:40.180 --> 00:03:44.180]  我就問這間教會為什麼會不再繼續有敬拜
[00:03:44.180 --> 00:03:47.180]  而賣給你們呢
[00:03:47.180 --> 00:03:49.180]  他們的目者告訴我
