
[00:00:00.000 --> 00:00:02.920]  丁小梅 我想再看看
[00:00:02.920 --> 00:00:07.600]  我們有多少人其實參加過這個新媒體教會的會議
[00:00:07.600 --> 00:00:11.040]  這個中堂是多很多 給點掌聲 每一個
[00:00:11.040 --> 00:00:13.760]  無論你是來快 還是看了一部份
[00:00:13.760 --> 00:00:16.240]  我相信在這個禮拜對你來說
[00:00:16.240 --> 00:00:18.720]  都已經是一個很大的挑戰
[00:00:18.720 --> 00:00:24.400]  我自己在去年已經知道有這個研習會的出現
[00:00:24.400 --> 00:00:27.280]  因為我是2010年認識這間教會
[00:00:27.280 --> 00:00:29.280]  我們2012年我是第一次去聽的
[00:00:29.280 --> 00:00:30.840]  我聽了之後才叫牧師去聽
[00:00:30.840 --> 00:00:33.400]  但那時候真是概念股 不知道搞什麼
[00:00:33.400 --> 00:00:35.600]  但直到去年去看的時候
[00:00:35.600 --> 00:00:38.360]  我們看到有些實體的東西出現了
[00:00:38.360 --> 00:00:39.840]  我們都很興奮的
[00:00:39.840 --> 00:00:44.320]  但是當他一路去預備今天的講章的時候
[00:00:44.320 --> 00:00:46.320]  其實我12月 上帝已經跟我說
[00:00:46.320 --> 00:00:48.120]  我們要看一看七教會的
[00:00:48.120 --> 00:00:51.680]  在啟示錄裡面 上帝對七教會所說的話
[00:00:51.680 --> 00:00:55.080]  但一路混雜著這一段時間的衝擊
[00:00:55.080 --> 00:00:57.080]  都是一個很混亂的時間
[00:00:57.080 --> 00:01:01.440]  我不知道大家怎麼去想 究竟上帝在2017年一開始
[00:01:01.440 --> 00:01:05.360]  就將這個新媒體教會的概念帶給我們
[00:01:05.360 --> 00:01:07.880]  究竟對我們來說是想說什麼話
[00:01:07.880 --> 00:01:11.240]  看這兩章的經文 七間的教會
[00:01:11.240 --> 00:01:13.320]  如果你是做基督徒 做那段時間
[00:01:13.320 --> 00:01:15.600]  你有參加過主教學或者聖經課程
[00:01:15.600 --> 00:01:17.360]  我們是很容易讀到的
[00:01:17.360 --> 00:01:20.840]  但是反過來 我有一個很大的感嘆
[00:01:20.840 --> 00:01:23.040]  就是說 究竟如果今天
[00:01:23.040 --> 00:01:26.440]  上帝再要寫一封信給我們教會
[00:01:26.440 --> 00:01:30.200]  其實上帝是要跟我們說些什麼呢
[00:01:30.200 --> 00:01:33.120]  反而今天我很想我們大家一起來思想一下
[00:01:33.120 --> 00:01:34.600]  我們一起去禱告好嗎
[00:01:34.600 --> 00:01:35.480]  Tim 我們感謝你
[00:01:35.480 --> 00:01:38.760]  因為你是一直願意跟人溝通的上帝
[00:01:38.760 --> 00:01:40.560]  還有我們知道你愛我們
[00:01:40.560 --> 00:01:43.000]  你也藉著主耶穌基督十字架的救恩
[00:01:43.000 --> 00:01:45.200]  讓我們打破這個隔膜
[00:01:45.200 --> 00:01:47.200]  以致我們可以直接去禱告
[00:01:47.200 --> 00:01:49.080]  我們可以直接去呼求你
[00:01:49.080 --> 00:01:51.280]  我們可以直接聽到你的聲音
[00:01:51.280 --> 00:01:53.520]  還有願意你今天親自在我們當中
[00:01:53.520 --> 00:01:56.200]  對我們每一個弟兄姊妹去說話
[00:01:56.200 --> 00:02:00.240]  讓我們能夠知道你在我們生命當中的一切心意
[00:02:00.240 --> 00:02:02.040]  願意在我們當中帶領我們
[00:02:02.040 --> 00:02:03.080]  聽我們的禱告
[00:02:03.080 --> 00:02:05.080]  奉靠主耶穌基督的名
[00:02:05.080 --> 00:02:06.080]  Amen
[00:02:06.080 --> 00:02:09.960]  事實上 我相信當你在聖教會修長了一段時間
[00:02:09.960 --> 00:02:11.800]  我們對於上帝會不會跟別人說話
[00:02:11.800 --> 00:02:14.440]  這個話題是不會覺得陌生的
[00:02:14.440 --> 00:02:15.720]  無論你在看聖經
[00:02:15.720 --> 00:02:17.800]  在創造的本質裡面
[00:02:17.800 --> 00:02:21.680]  神和人是可以面對面去溝通和聊天的
[00:02:21.680 --> 00:02:23.640]  只不過是因為罪的緣故
[00:02:23.640 --> 00:02:27.440]  將神和人之間的親密關係被割斷
[00:02:27.440 --> 00:02:29.440]  當你相信主 看聖經的時候
[00:02:29.440 --> 00:02:31.440]  我相信每一個人都是很羨慕
[00:02:31.440 --> 00:02:33.720]  聖經上所說的那些偉人
[00:02:33.720 --> 00:02:36.200]  他們可以被神稱呼為朋友
[00:02:36.200 --> 00:02:39.480]  他們很清楚在一些很奇特的意象裡面
[00:02:39.480 --> 00:02:42.360]  知道自己前面要走的方向
[00:02:42.360 --> 00:02:44.360]  我相信每一個相信主的基督徒
[00:02:44.360 --> 00:02:46.200]  你都很想像他們一樣
[00:02:46.200 --> 00:02:48.760]  很清楚地聽到上帝的聲音
[00:02:48.760 --> 00:02:50.760]  但是往往 不知道為什麼
[00:02:50.760 --> 00:02:53.440]  很多時候我們都是很猶豫的
[00:02:53.440 --> 00:02:54.840]  但是感恩的就是說
[00:02:54.840 --> 00:02:56.600]  上帝樂意跟別人說話
[00:02:56.600 --> 00:02:58.600]  不只是跟偉人說話
[00:02:58.600 --> 00:02:59.800]  跟旁邊的人說
[00:02:59.800 --> 00:03:01.800]  上帝是會跟你說話的
[00:03:01.800 --> 00:03:03.800]  你看聖經故事
[00:03:03.800 --> 00:03:08.440]  小朋友只要是單純地向神禱告的時候
[00:03:08.440 --> 00:03:10.440]  神是會跟他們說話的
