
[00:00:00.000 --> 00:00:04.260]  第二次大戰,1942年
[00:00:04.260 --> 00:00:08.060]  英軍在北非的阿拉曼戰役
[00:00:08.060 --> 00:00:09.600]  El Alamein
[00:00:09.600 --> 00:00:12.980]  首次打敗
[00:00:12.980 --> 00:00:18.440]  隆美爾,被稱爲沙漠之湖的統帥的德軍
[00:00:18.440 --> 00:00:20.840]  之前德軍沒有輸過
[00:00:20.840 --> 00:00:24.480]  之後英軍都沒有敗過
[00:00:24.480 --> 00:00:28.600]  這個戰役使得英軍士氣大振
[00:00:28.600 --> 00:00:34.440]  他們說戰爭完了,我們得勝了
[00:00:34.440 --> 00:00:38.340]  首相邱吉爾發表演說
[00:00:38.340 --> 00:00:40.680]  他說現在不是結束
[00:00:40.680 --> 00:00:43.400]  也不是結束的開始
[00:00:43.400 --> 00:00:49.200]  他可以說剛剛開了個頭
[00:00:49.200 --> 00:00:51.000]  是開始的結束
[00:00:51.000 --> 00:00:52.240]  英文是這樣說的
[00:00:52.240 --> 00:00:55.960]  Now, this is not the end
[00:00:55.960 --> 00:00:59.520]  It is not even the beginning of the end
[00:00:59.520 --> 00:01:06.360]  But it is perhaps the end of the beginning
[00:01:06.360 --> 00:01:08.480]  有一場的戰役
[00:01:08.480 --> 00:01:11.960]  是決定性的屬靈的戰役
[00:01:11.960 --> 00:01:14.760]  是在各國它的決戰
[00:01:14.760 --> 00:01:16.960]  基督直至死
[00:01:16.960 --> 00:01:21.760]  敗壞那掌使權的撒旦
[00:01:21.760 --> 00:01:24.280]  帶來終末的開始
[00:01:24.280 --> 00:01:27.280]  Beginning of the end
[00:01:27.280 --> 00:01:31.280]  撒旦雖然現在好像裝空作勢
[00:01:31.280 --> 00:01:33.280]  若無其事
[00:01:33.280 --> 00:01:37.880]  但基督在十字架已經一翼錦旗功
[00:01:37.880 --> 00:01:40.560]  徹底打敗撒旦
[00:01:40.560 --> 00:01:42.560]  我們現在是收拾手尾
[00:01:42.560 --> 00:01:44.680]  等候主的再來
[00:01:44.680 --> 00:01:47.960]  更新萬有
[00:01:47.960 --> 00:01:49.760]  個他一翼
[00:01:49.760 --> 00:01:53.360]  讓我們窺探到終末的世界
[00:01:53.360 --> 00:01:55.360]  是聚得赦免
[00:01:55.360 --> 00:01:56.960]  身體復活
[00:01:56.960 --> 00:02:00.160]  羔羊與獅子共處
[00:02:00.160 --> 00:02:01.760]  社會一體共融
[00:02:01.760 --> 00:02:04.360]  是無分高端低端
[00:02:04.360 --> 00:02:09.160]  是無眼淚無疼痛的新天新地
[00:02:09.160 --> 00:02:10.960]  這個是奧祕
[00:02:10.960 --> 00:02:13.360]  因爲是前所未聞
[00:02:13.360 --> 00:02:15.760]  想都未想過的
[00:02:15.760 --> 00:02:17.960]  竟然發生了
[00:02:17.960 --> 00:02:19.360]  阿拉曼一役
[00:02:19.360 --> 00:02:21.960]  是開始結束
[00:02:21.960 --> 00:02:25.160]  end of the beginning
[00:02:25.160 --> 00:02:26.360]  個他一翼
[00:02:26.360 --> 00:02:27.760]  是終末的開始
[00:02:27.760 --> 00:02:29.960]  結束的開始
[00:02:29.960 --> 00:02:32.360]  beginning of the end
[00:02:32.360 --> 00:02:38.560]  因爲我們看見終末的景象
[00:02:38.560 --> 00:02:41.560]  引發敬虔奧祕感
[00:02:41.560 --> 00:02:45.560]  一早就佔據了早期教會的敬拜者
[00:02:45.560 --> 00:02:47.760]  其中崇拜裏面是重唱
[00:02:47.760 --> 00:02:50.760]  大哉敬虔奧祕
[00:02:50.760 --> 00:02:52.560]  無人不以爲然
[00:02:52.560 --> 00:02:55.560]  就神在肉身顯現
[00:02:55.560 --> 00:02:57.360]  被聖靈傾議
[00:02:57.360 --> 00:02:58.960]  被天使看見
[00:02:58.960 --> 00:03:00.760]  被傳於外邦
[00:03:00.760 --> 00:03:02.360]  被世人信服
[00:03:02.360 --> 00:03:07.760]  被接在榮耀裏
[00:03:07.760 --> 00:03:09.760]  被聖靈傾議
[00:03:09.760 --> 00:03:13.360]  就是聖靈感恩瑪利亞
[00:03:13.360 --> 00:03:14.960]  是聖靈感恩
[00:03:14.960 --> 00:03:17.560]  是聖靈justify
[00:03:17.560 --> 00:03:21.560]  是經過行房就可以懷孕
[00:03:21.560 --> 00:03:22.960]  被天使看見
[00:03:22.960 --> 00:03:24.560]  就是那天晚上
[00:03:24.560 --> 00:03:27.360]  劃破百里行夜空的大聖
[00:03:27.360 --> 00:03:29.760]  照亮整個大地
[00:03:29.760 --> 00:03:30.960]  天使報佳音
[00:03:30.960 --> 00:03:32.960]  被牧羊人說
[00:03:32.960 --> 00:03:37.560]  這是關於萬民的喜訊
[00:03:37.560 --> 00:03:39.160]  被天使看見
[00:03:39.160 --> 00:03:40.360]  道成肉身
[00:03:40.360 --> 00:03:43.760]  我在馬槽
[00:03:43.760 --> 00:03:45.560]  被傳於外邦
[00:03:45.560 --> 00:03:50.760]  是聖誕期之後的顯現期
