
[00:00:00.000 --> 00:00:06.000]  我們再一次來到主的寶座面前禱告
[00:00:06.000 --> 00:00:11.000]  坐在私人寶座的主
[00:00:11.000 --> 00:00:18.000]  我們帶著我們軟弱的生命
[00:00:18.000 --> 00:00:24.000]  帶著一個內裡仍然很多混亂
[00:00:24.000 --> 00:00:28.000]  甚至很多邪情私欲的生命
[00:00:28.000 --> 00:00:34.000]  來到你私人寶座面前
[00:00:34.000 --> 00:00:39.000]  主讓我們不懼怕來到私人寶座面前
[00:00:39.000 --> 00:00:43.000]  因為這是私人的寶座
[00:00:43.000 --> 00:00:47.000]  這是釋放我們的寶座
[00:00:47.000 --> 00:00:55.000]  這是讓我們能夠對付我們生命裡一切黑暗的寶座
[00:00:55.000 --> 00:00:58.000]  主我多謝你
[00:00:58.000 --> 00:01:02.000]  耶穌因為你付了極重極重的代價
[00:01:02.000 --> 00:01:06.000]  我們今天可以來到你寶座前
[00:01:06.000 --> 00:01:12.000]  求你的聖靈自由運行在我們每一個的心中
[00:01:12.000 --> 00:01:18.000]  願你活潑有能的道在我們心中也運行
[00:01:18.000 --> 00:01:22.000]  主讓今天你要醫治的
[00:01:22.000 --> 00:01:24.000]  你要赦免的
[00:01:24.000 --> 00:01:26.000]  你要釋放
[00:01:26.000 --> 00:01:28.000]  你要挽回
[00:01:28.000 --> 00:01:30.000]  你要拯救的
[00:01:30.000 --> 00:01:33.000]  一切都在你恩典之下
[00:01:33.000 --> 00:01:35.000]  我們這樣恭敬仰望
[00:01:35.000 --> 00:01:39.000]  奉耶穌基督得勝明治祈求
[00:01:39.000 --> 00:01:41.000]  阿們
[00:01:48.000 --> 00:01:57.000]  有些學者說這些是後來編輯詩篇的一些編輯者
[00:01:57.000 --> 00:01:59.000]  加一些歷史處境給他
[00:01:59.000 --> 00:02:01.000]  或者加一些場景給他
[00:02:01.000 --> 00:02:05.000]  令到這個詩篇可能讀得更加明白
[00:02:05.000 --> 00:02:10.000]  其實不一定要從大衛那個犯罪的處境看
[00:02:10.000 --> 00:02:12.000]  不過我們今天可以嘗試
[00:02:12.000 --> 00:02:14.000]  因為有一些很特別的地方
[00:02:14.000 --> 00:02:16.000]  我也很想你特別留意
[00:02:16.000 --> 00:02:19.000]  所以我們讀一讀那個括弧那句
[00:02:19.000 --> 00:02:22.000]  在你的長康第九頁那裏第一節
[00:02:22.000 --> 00:02:24.000]  括弧那一段
[00:02:24.000 --> 00:02:25.000]  一二三
[00:02:25.000 --> 00:02:29.000]  大衛與拔士巴同室之間
[00:02:29.000 --> 00:02:31.000]  先知南丹同天下
[00:02:31.000 --> 00:02:35.000]  大衛和拔士巴皆與人相見
[00:02:35.000 --> 00:02:39.000]  在這裏看不到一些很重複的字眼
[00:02:39.000 --> 00:02:43.000]  不過其實在原文裏面是有重複的字眼
[00:02:43.000 --> 00:02:48.000]  大衛與拔士巴同室的翻譯
[00:02:48.000 --> 00:02:50.000]  如果用比較原文的方法
[00:02:50.000 --> 00:02:56.000]  是應該說大衛去到拔士巴那裏
[00:02:56.000 --> 00:03:01.000]  然後先知南丹去到大衛那裏
[00:03:01.000 --> 00:03:04.000]  那兩個字是一樣的
[00:03:04.000 --> 00:03:06.000]  如果你們喜歡抄一下
[00:03:06.000 --> 00:03:07.000]  是值得抄一下
[00:03:07.000 --> 00:03:09.000]  因為這個整個詩篇是很重要的
[00:03:09.000 --> 00:03:11.000]  我今天很想講的那幾個字
[00:03:11.000 --> 00:03:15.000]  大衛來到拔士巴那裏
[00:03:15.000 --> 00:03:20.000]  先知南丹去到大衛那裏
[00:03:20.000 --> 00:03:21.000]  還有甚麼那裏呢
[00:03:21.000 --> 00:03:23.000]  如果你看就不要只找到那裏
[00:03:23.000 --> 00:03:26.000]  因為那裏反而不是那個字
[00:03:26.000 --> 00:03:28.000]  是十三節
[00:03:28.000 --> 00:03:29.000]  十三節那裏
[00:03:29.000 --> 00:03:33.000]  我就把你的道子教有過犯的人
[00:03:33.000 --> 00:03:38.000]  罪人就會回到你那裏
[00:03:38.000 --> 00:03:40.000]  都是那個字
[00:03:40.000 --> 00:03:41.000]  去到那裏
[00:03:41.000 --> 00:03:44.000]  去到那個那裏那個字
[00:03:44.000 --> 00:03:47.000]  這個是今天我特別在三段裏面
[00:03:47.000 --> 00:03:50.000]  都會用這個主題
[00:03:50.000 --> 00:03:52.000]  這個那裏
[00:03:52.000 --> 00:03:54.000]  這個誰去到誰那裏
[00:03:54.000 --> 00:03:56.000]  那個的重點
[00:03:56.000 --> 00:03:59.000]  成為我們今天分享的其中一個重點
[00:03:59.000 --> 00:04:00.000]  另外一個很特別的
[00:04:00.000 --> 00:04:02.000]  很多時候我們看詩篇
