
[00:00:00.000 --> 00:00:03.340]  有時要出去報道
[00:00:03.340 --> 00:00:07.040]  每個人有不同的性格或成長背景
[00:00:07.040 --> 00:00:08.920]  對某些人來說比較容易
[00:00:08.920 --> 00:00:13.260]  但有時對其他人來說可能有些困難
[00:00:13.260 --> 00:00:15.260]  今天我們看看這段經文
[00:00:15.260 --> 00:00:17.260]  剛才我們讀了這段經文
[00:00:17.260 --> 00:00:21.140]  在《馬太福音》第九章三十五至十章一節
[00:00:21.140 --> 00:00:23.380]  這裡說什麼呢?我們再聽一節
[00:00:23.380 --> 00:00:26.380]  耶穌走遍各城各鄉在會堂裡教訓人
[00:00:26.380 --> 00:00:30.100]  宣講天國的福音又醫治各樣的病症
[00:00:30.100 --> 00:00:33.820]  看見許多的人就憐憫他們
[00:00:33.820 --> 00:00:37.900]  因為他們困苦流離如同羊沒有牧人一般
[00:00:37.900 --> 00:00:40.620]  於是對門徒說要收的莊稼多
[00:00:40.620 --> 00:00:42.060]  做工的人少
[00:00:42.060 --> 00:00:44.760]  所以你們當求莊稼的主
[00:00:44.760 --> 00:00:47.580]  打發工人出去收他的莊稼
[00:00:47.580 --> 00:00:49.880]  耶穌叫了十二個門徒來
[00:00:49.880 --> 00:00:52.540]  給他們權柄能趕逐污鬼
[00:00:52.540 --> 00:00:54.960]  並醫治各樣的病症
[00:00:54.960 --> 00:00:56.960]  在第一節我們看到
[00:00:56.960 --> 00:01:00.960]  當時耶穌走遍嘉利利各城各鄉
[00:01:00.960 --> 00:01:03.960]  而跟隨的人非常非常多
[00:01:03.960 --> 00:01:06.960]  耶穌看到這群人很需要福音
[00:01:06.960 --> 00:01:08.960]  但耶穌就說出一個問題
[00:01:08.960 --> 00:01:12.960]  要收的莊稼很多
[00:01:12.960 --> 00:01:15.960]  但做事的人很少
[00:01:15.960 --> 00:01:17.960]  怎麼辦呢?
[00:01:17.960 --> 00:01:20.960]  莊稼非常多
[00:01:20.960 --> 00:01:23.960]  很多人很需要福音很想聽
