
[00:00:00.000 --> 00:00:02.000]  各位節目早上好
[00:00:02.000 --> 00:00:05.000]  這個很激烈的圖畫
[00:00:05.000 --> 00:00:07.000]  天守真理 棄絕謊言
[00:00:07.000 --> 00:00:09.000]  好像有人在打一本聖經
[00:00:09.000 --> 00:00:11.000]  但聖經就擋得住
[00:00:11.000 --> 00:00:13.000]  導致有很多光芒出來
[00:00:13.000 --> 00:00:17.000]  這個本來是一個熟練真戰的圖
[00:00:17.000 --> 00:00:21.000]  我就將它變成今天講到的封面
[00:00:21.000 --> 00:00:23.000]  如果大家知道
[00:00:23.000 --> 00:00:24.000]  在這半年裏面
[00:00:24.000 --> 00:00:26.000]  我都一籠二養 若寒一書
[00:00:26.000 --> 00:00:28.000]  我不重複題目了
[00:00:28.000 --> 00:00:30.000]  我想讓大家重溫對上一次
[00:00:30.000 --> 00:00:32.000]  兩個禮拜之前
[00:00:32.000 --> 00:00:35.000]  我用三章十一至二十四節
[00:00:35.000 --> 00:00:38.000]  若寒用了一個
[00:00:38.000 --> 00:00:40.000]  在整個一書唯一的舊人物
[00:00:40.000 --> 00:00:43.000]  戈隱
[00:00:43.000 --> 00:00:46.000]  戈隱他被撒旦
[00:00:46.000 --> 00:00:49.000]  充滿仇恨在他心靈裏面
[00:00:49.000 --> 00:00:50.000]  他嫉妒
[00:00:50.000 --> 00:00:53.000]  以致他殺死了他的弟弟阿伯
[00:00:53.000 --> 00:00:55.000]  而經文提醒我們
[00:00:55.000 --> 00:00:57.000]  我們要放下仇恨
[00:00:57.000 --> 00:00:59.000]  將仇恨在內心滋長
[00:00:59.000 --> 00:01:02.000]  而若寒亦都透過耶穌
[00:01:02.000 --> 00:01:05.000]  他捨己愛人這個心靈的榜樣
[00:01:05.000 --> 00:01:07.000]  教導我們要學習
[00:01:07.000 --> 00:01:09.000]  去彼此相愛
[00:01:09.000 --> 00:01:11.000]  去愛我們身邊的人
[00:01:11.000 --> 00:01:12.000]  而最後我們都用了
[00:01:12.000 --> 00:01:14.000]  黃維仁博士的一個例子
[00:01:14.000 --> 00:01:16.000]  提醒我們怎樣去化解
[00:01:16.000 --> 00:01:18.000]  衝突和矛盾呢
[00:01:18.000 --> 00:01:20.000]  你和他講道理是沒有用的
[00:01:20.000 --> 00:01:21.000]  你就算一億個人支持你
[00:01:21.000 --> 00:01:23.000]  他都是不順氣
[00:01:23.000 --> 00:01:25.000]  唯有我們用愛
[00:01:25.000 --> 00:01:27.000]  用我們的感動
[00:01:27.000 --> 00:01:29.000]  去改變對方
[00:01:29.000 --> 00:01:31.000]  亦都要給對方一個空間
[00:01:31.000 --> 00:01:33.000]  讓他有自由去改變自己
[00:01:33.000 --> 00:01:34.000]  或者不改變
[00:01:34.000 --> 00:01:35.000]  正如他都用了例子
[00:01:35.000 --> 00:01:37.000]  他老婆經常要老公執床
[00:01:37.000 --> 00:01:39.000]  老公經常都不執床
[00:01:39.000 --> 00:01:41.000]  老婆都不勸他了
[00:01:41.000 --> 00:01:43.000]  終於有一天老公自願去執床
[00:01:43.000 --> 00:01:44.000]  而且越執越好
[00:01:44.000 --> 00:01:47.000]  這個就是黃維仁給我們的例子
[00:01:47.000 --> 00:01:49.000]  亦都是上兩個星期
[00:01:49.000 --> 00:01:50.000]  在三章
[00:01:50.000 --> 00:01:52.000]  十一至二十四節給我們的學習
[00:01:52.000 --> 00:01:55.000]  而今日我們都接著在二十四節之後
[00:01:55.000 --> 00:01:57.000]  的四章一至六節
[00:01:57.000 --> 00:01:59.000]  提出了一個很重要的一個靈
[00:01:59.000 --> 00:02:01.000]  我們要好好這樣去
[00:02:01.000 --> 00:02:03.000]  試驗
[00:02:03.000 --> 00:02:04.000]  去分辨
[00:02:04.000 --> 00:02:06.000]  在三章二十四節說
[00:02:06.000 --> 00:02:08.000]  我們怎樣能夠遵守神的命令
[00:02:08.000 --> 00:02:09.000]  我們怎樣住在神的裏面
[00:02:09.000 --> 00:02:11.000]  因為上帝賜給我們有聖靈
[00:02:11.000 --> 00:02:13.000]  如果有聽楊一書的
[00:02:13.000 --> 00:02:14.000]  教導都知道
[00:02:14.000 --> 00:02:16.000]  聖靈就是那個
[00:02:16.000 --> 00:02:18.000]  上帝要恩高
[00:02:18.000 --> 00:02:19.000]  屬神的群體
[00:02:19.000 --> 00:02:21.000]  最重要的就是聖靈
