
[00:00:00.000 --> 00:00:07.300]  我不知道大家用這一種的觀角度去看究竟會是有什麼感覺
[00:00:07.300 --> 00:00:08.900]  因為平時應該是
[00:00:08.900 --> 00:00:10.200]  我在上面
[00:00:10.200 --> 00:00:11.500]  就你在下面
[00:00:11.500 --> 00:00:12.800]  你就抬高頭
[00:00:12.800 --> 00:00:14.100]  現在反過來
[00:00:14.100 --> 00:00:14.800]  我抬高頭
[00:00:14.800 --> 00:00:15.600]  所以呢
[00:00:15.600 --> 00:00:16.500]  其實都感恩的
[00:00:16.500 --> 00:00:18.200]  因為你會舒服了
[00:00:18.200 --> 00:00:20.100]  我就可能我付出多一點
[00:00:20.100 --> 00:00:21.300]  但是不要緊
[00:00:21.300 --> 00:00:21.900]  值得的
[00:00:21.900 --> 00:00:22.300]  還有呢
[00:00:22.300 --> 00:00:25.100]  平時我的每個星期都養成了這個習慣
[00:00:25.100 --> 00:00:26.100]  就是抬高頭
[00:00:26.100 --> 00:00:27.400]  還有呢
[00:00:27.400 --> 00:00:29.000]  我的風格是比較特別的
[00:00:29.000 --> 00:00:31.300]  因為你知道那些孩子
[00:00:31.300 --> 00:00:33.000]  他們很容易會分心的
[00:00:33.000 --> 00:00:36.000]  所以我就會這樣開始慢慢會向你們走近
[00:00:36.000 --> 00:00:37.200]  你們不要害怕
[00:00:37.200 --> 00:00:38.100]  但是
[00:00:38.100 --> 00:00:40.000]  希望你習慣到我這種模式
[00:00:40.000 --> 00:00:40.600]  不過放心
[00:00:40.600 --> 00:00:41.900]  我一定都會回來的
[00:00:41.900 --> 00:00:44.000]  因為我始終都要看一看
[00:00:44.000 --> 00:00:46.500]  我自己預備了的講道內容
[00:00:46.500 --> 00:00:47.400]  那麼
[00:00:47.400 --> 00:00:48.800]  講了一段時間
[00:00:48.800 --> 00:00:49.800]  介紹自己
[00:00:49.800 --> 00:00:50.800]  那麼剛才講到
[00:00:50.800 --> 00:00:52.900]  今天這個主題
[00:00:52.900 --> 00:00:54.900]  是
[00:00:54.900 --> 00:00:57.000]  特別是一個新的系列
[00:00:57.000 --> 00:00:59.500]  而剛才我講我的主題叫做
[00:00:59.500 --> 00:01:01.900]  選對人生跑道
[00:01:01.900 --> 00:01:02.400]  那麼
[00:01:02.400 --> 00:01:03.700]  首先問一下大家
[00:01:03.700 --> 00:01:06.100]  有沒有聽過一套近來上映的電影
[00:01:06.100 --> 00:01:07.300]  叫做《F1》
[00:01:07.300 --> 00:01:08.900]  《The Movie》
[00:01:08.900 --> 00:01:13.400]  不知道在座有沒有人是看了的
[00:01:13.400 --> 00:01:13.800]  咦
[00:01:13.800 --> 00:01:14.000]  哦
[00:01:14.000 --> 00:01:14.300]  OK
[00:01:14.300 --> 00:01:15.100]  好像沒有舉手
[00:01:15.100 --> 00:01:16.100]  就是沒有舉手的
[00:01:16.100 --> 00:01:17.400]  應該是暫時還沒看
[00:01:17.400 --> 00:01:18.100]  是不是
[00:01:18.100 --> 00:01:18.900]  不要介意了
[00:01:18.900 --> 00:01:20.800]  因為我無論如何都要透過這套電影
[00:01:20.800 --> 00:01:21.900]  去講解我今天的內容
[00:01:21.900 --> 00:01:22.600]  所以呢
[00:01:22.600 --> 00:01:24.000]  一定有些劇透的
[00:01:24.000 --> 00:01:24.600]  不過呢
[00:01:24.600 --> 00:01:25.200]  沒問題啦
[00:01:25.200 --> 00:01:25.600]  因為呢
[00:01:25.600 --> 00:01:26.400]  你們現在呢
[00:01:26.400 --> 00:01:28.100]  你知道科技發達
[00:01:28.100 --> 00:01:29.000]  YouTube很多時候
[00:01:29.000 --> 00:01:31.700]  你們懶得看
[00:01:31.700 --> 00:01:32.200]  看這套電影
[00:01:32.200 --> 00:01:33.000]  浪費那麼多時間
[00:01:33.000 --> 00:01:34.100]  一個多兩個小時
[00:01:34.100 --> 00:01:35.700]  可能你都是看十分鐘
[00:01:35.700 --> 00:01:37.300]  YouTube就整套電影你都看完了
[00:01:37.300 --> 00:01:38.000]  是不是
[00:01:38.000 --> 00:01:38.800]  所以你不介意
[00:01:38.800 --> 00:01:39.900]  我會將小劇透
[00:01:39.900 --> 00:01:40.600]  因為呢
[00:01:40.600 --> 00:01:41.800]  很關鍵是裡面
[00:01:41.800 --> 00:01:42.600]  這套電影
[00:01:42.600 --> 00:01:44.900]  如果你又知道
[00:01:44.900 --> 00:01:46.700]  它其中一個出名就是
[00:01:46.700 --> 00:01:49.100]  駕駛賽車的那些場景
[00:01:49.100 --> 00:01:51.800]  是非常之有動感
[00:01:51.800 --> 00:01:53.900]  特別是可能不知道是不是男士
[00:01:53.900 --> 00:01:56.200]  可能那種感覺會更加強烈
[00:01:56.200 --> 00:01:56.700]  不過呢
[00:01:56.700 --> 00:01:57.400]  我看的時候呢
[00:01:57.400 --> 00:02:00.200]  除了我欣賞它這套電影
[00:02:00.200 --> 00:02:01.900]  它那個動感的畫面
[00:02:01.900 --> 00:02:04.400]  就是駕駛賽車那種刺激之外呢
[00:02:04.400 --> 00:02:05.800]  其中另一樣東西呢
[00:02:05.800 --> 00:02:07.500]  吸引我的地方是什麼呢
[00:02:07.500 --> 00:02:09.300]  就是那個主角
[00:02:09.300 --> 00:02:11.900]  他那個整個電影的
[00:02:11.900 --> 00:02:13.300]  那個生命線
[00:02:13.300 --> 00:02:14.600]  那條時間線
[00:02:14.600 --> 00:02:15.700]  是很特別的
[00:02:15.700 --> 00:02:16.500]  原來是講什麼呢
[00:02:16.500 --> 00:02:19.100]  我用他一點點來做開始
[00:02:19.100 --> 00:02:19.800]  就是講什麼呢
[00:02:19.800 --> 00:02:22.500]  這個賽車手主角啦
[00:02:22.500 --> 00:02:23.800]  他本身是一個呢
[00:02:23.800 --> 00:02:25.300]  很有天分
[00:02:25.300 --> 00:02:29.100]  在賽車場上的一個賽車手
[00:02:29.100 --> 00:02:31.400]  而他正正是
[00:02:31.400 --> 00:02:33.400]  甚至去到什麼情況呢
[00:02:33.400 --> 00:02:34.400]  就是去到呢
[00:02:34.400 --> 00:02:37.100]  他已經是可以問鼎冠軍的
[00:02:37.100 --> 00:02:38.300]  差不多
[00:02:38.300 --> 00:02:40.200]  那你想一下他
[00:02:40.200 --> 00:02:41.500]  就是整件事是什麼
[00:02:41.500 --> 00:02:42.900]  就是很年輕
[00:02:42.900 --> 00:02:44.800]  而又差不多
[00:02:44.800 --> 00:02:48.100]  已經可以登上高峰
[00:02:48.100 --> 00:02:50.000]  所以在他那一次
[00:02:50.000 --> 00:02:54.200]  正要成為冠軍那一次的賽事裡面呢
[00:02:54.200 --> 00:02:56.000]  他差不多了
[00:02:56.000 --> 00:02:57.300]  轉完彎
[00:02:57.300 --> 00:02:58.400]  進入直路
[00:02:58.400 --> 00:03:01.500]  他就能夠贏得冠軍了
[00:03:01.500 --> 00:03:02.300]  那當然啦
[00:03:02.300 --> 00:03:04.500]  事情當然是很戲劇化的嘛
[00:03:04.500 --> 00:03:05.700]  你都猜到
[00:03:05.700 --> 00:03:07.500]  在進入這個
[00:03:07.500 --> 00:03:09.000]  轉彎進入直路之前
[00:03:09.000 --> 00:03:12.200]  他一定要面對就是他有對手
[00:03:12.200 --> 00:03:14.400]  而那個對手就在他前一點點
[00:03:14.400 --> 00:03:15.300]  那呢
[00:03:15.300 --> 00:03:17.600]  因著他求勝心切呢
[00:03:17.600 --> 00:03:19.500]  他作出了一個選擇
[00:03:19.500 --> 00:03:21.500]  就是用他覺得
[00:03:21.500 --> 00:03:23.600]  他應該要跑的那條路
[00:03:23.600 --> 00:03:24.700]  用那個方法
[00:03:24.700 --> 00:03:26.000]  去希望
[00:03:26.000 --> 00:03:27.300]  透過轉這個彎
[00:03:27.300 --> 00:03:29.500]  而過那個對手的頭
[00:03:29.500 --> 00:03:31.000]  那結果
[00:03:31.000 --> 00:03:31.900]  不知道你能不能猜到
