
[00:00:00.000 --> 00:00:02.980]  我們心願每一位弟兄姊妹
[00:00:02.980 --> 00:00:06.000]  都能夠找到神對你的呼召
[00:00:06.000 --> 00:00:09.000]  以致不是因為有什麼好處
[00:00:09.000 --> 00:00:10.940]  不是因為別人的稱讚
[00:00:10.940 --> 00:00:14.800]  僅僅是因為我們為了愛神 回應神
[00:00:14.800 --> 00:00:17.000]  我們投入去服事
[00:00:17.000 --> 00:00:20.260]  投入在侍奉的裏面
[00:00:20.260 --> 00:00:23.080]  所以今天和大家分享
[00:00:23.080 --> 00:00:27.020]  一段或者兩節很熟悉的聖經
[00:00:27.020 --> 00:00:30.660]  就是羅馬書第十二章第一到第二節
[00:00:30.660 --> 00:00:32.500]  可能你都懂得背
[00:00:32.500 --> 00:00:34.500]  所以不如如果懂得背
[00:00:34.500 --> 00:00:36.820]  我們都嘗試一下一起背
[00:00:36.820 --> 00:00:38.300]  不要看了
[00:00:38.300 --> 00:00:42.300]  弟兄們 我以神的慈悲勸你們
[00:00:42.300 --> 00:00:45.600]  將身體獻上 當作活祭
[00:00:45.600 --> 00:00:49.100]  這是聖潔的 是神所喜悅的
[00:00:49.100 --> 00:00:53.300]  你們如此侍奉乃是理所當然的
[00:00:53.300 --> 00:00:55.900]  不要效法這個世界
[00:00:55.900 --> 00:00:58.800]  只要心意更新而變化
[00:00:58.800 --> 00:01:02.200]  叫你們察驗何謂神的善良
[00:01:02.200 --> 00:01:05.900]  純存可喜悅的旨意
[00:01:05.900 --> 00:01:09.000]  這兩節的聖經可能我們上教會
[00:01:09.000 --> 00:01:10.100]  就算不是很久
[00:01:10.100 --> 00:01:13.500]  我們都一起去背誦
[00:01:13.500 --> 00:01:15.600]  一起去思想
[00:01:15.600 --> 00:01:19.000]  今天很想和大家深入一點去看
[00:01:19.000 --> 00:01:20.500]  這兩節的聖經
[00:01:20.500 --> 00:01:24.400]  就是和我們的侍奉生命有什麼關係
[00:01:24.400 --> 00:01:28.000]  當我們看一段聖經的時候
[00:01:28.000 --> 00:01:30.100]  我們不能將它抽離
[00:01:30.100 --> 00:01:34.200]  脫離它在經文裡面的位置和作用
[00:01:34.200 --> 00:01:38.300]  大家知道這兩節的經文是出於羅馬書
[00:01:38.300 --> 00:01:42.300]  也可以說是羅馬書一個很重要的分界線
[00:01:42.300 --> 00:01:43.900]  因為之前的十一章
[00:01:43.900 --> 00:01:45.800]  就是講到神的福音
[00:01:45.800 --> 00:01:49.900]  如何將它傳給猶太人 傳給外邦人
[00:01:49.900 --> 00:01:53.700]  這個福音是一個很完備的福音
[00:01:53.700 --> 00:01:55.900]  不單止說信耶穌上天堂
[00:01:55.900 --> 00:01:59.800]  事實上你在羅馬書裡面找到的福音
[00:01:59.800 --> 00:02:02.400]  並不是信耶穌上天堂
[00:02:02.400 --> 00:02:05.400]  這個福音是講到我們得救
[00:02:05.400 --> 00:02:07.200]  講到我們成性
[00:02:07.200 --> 00:02:10.400]  講到我們得榮耀
[00:02:10.400 --> 00:02:12.500]  所以這個福音是一個榮耀的福音
[00:02:12.500 --> 00:02:16.800]  這個福音是改變我們生命的福音
[00:02:16.800 --> 00:02:19.000]  所以這個羅馬書給我們看到
[00:02:19.000 --> 00:02:21.400]  神在頭十一章裡面
[00:02:21.400 --> 00:02:23.400]  揭示了祂的心意
[00:02:23.400 --> 00:02:25.000]  就是祂願意萬人得救
[00:02:25.000 --> 00:02:27.100]  不願意一人沉淪
[00:02:27.100 --> 00:02:31.600]  所以前十一章是有關神福音的展述
[00:02:31.600 --> 00:02:34.800]  但是第十二章第一節這個「所以」
[00:02:34.800 --> 00:02:41.800]  就是提到十一章有關神福音真理的實際的應用
[00:02:41.800 --> 00:02:45.300]  這個是保羅書信裡面經常出現的格式
[00:02:45.300 --> 00:02:47.300]  記得我們上半年都是這樣
[00:02:47.300 --> 00:02:48.600]  以弗所書裡面
[00:02:48.600 --> 00:02:51.800]  頭那三章就是神的真理
[00:02:51.800 --> 00:02:55.200]  後那三章就是真理的實踐
[00:02:55.200 --> 00:02:56.800]  因此我們可以這樣說
[00:02:56.800 --> 00:02:58.700]  這裡所說的「所以」
[00:02:58.700 --> 00:03:02.400]  既是保羅在前面展述的福音真理
[00:03:02.400 --> 00:03:04.200]  帶給我們的要求
[00:03:04.200 --> 00:03:06.600]  也是我們這群聽信福音
