
[00:00:00.000 --> 00:00:03.460]  在這麼多傳記裏面,其中一個傳記是我小時候看的,
[00:00:03.460 --> 00:00:05.460]  我中學生時候看的,
[00:00:05.460 --> 00:00:10.100]  就是我們中國被稱為教會的三大偉人之一,
[00:00:10.100 --> 00:00:13.360]  三大神所重用的僕人之一,
[00:00:13.360 --> 00:00:16.100]  他叫宋尚哲。
[00:00:16.100 --> 00:00:19.500]  時代不同了,我們那個時代差不多每個人都認識他,
[00:00:19.500 --> 00:00:24.500]  但現在可能很多因為時間的問題,未必每個人有機會聽過。
[00:00:24.500 --> 00:00:29.340]  我問一下,當中有多少人看過宋尚哲傳的,請舉手。
[00:00:29.340 --> 00:00:32.100]  都不少啊,都不少啊。
[00:00:32.100 --> 00:00:37.800]  我記得宋尚哲小說裏面有一個地方令我很深刻印象的,
[00:00:37.800 --> 00:00:43.800]  大家知道宋尚哲講道是很誇張的,如果用今天的說法來講,
[00:00:43.800 --> 00:00:49.600]  他是很多的道具,而且是很大的投入感,
[00:00:49.600 --> 00:00:53.800]  甚至有人形容他在台上走來走去,走上走落,
[00:00:53.800 --> 00:00:57.600]  有時候預備一些棺材在那裏,做那些教材來的,
[00:00:57.600 --> 00:01:03.400]  還有就是形容他講完道之後,他裏面的內衣可以另一出水的,
[00:01:03.400 --> 00:01:05.900]  就是這麼誇張的。
[00:01:05.900 --> 00:01:11.000]  宋尚哲博士其中一個講道,
[00:01:11.000 --> 00:01:15.700]  就是很喜歡用一個工具,用一個實物教材,
[00:01:15.700 --> 00:01:17.900]  做了一條小手巾出來,
[00:01:17.900 --> 00:01:21.600]  到他呼召人信耶穌的時候,他做了一條小手巾出來,
[00:01:21.600 --> 00:01:27.400]  「龜家霸,龜家霸」呼召那些人來信耶穌。
[00:01:27.400 --> 00:01:32.200]  後來有些神學生就看到宋尚哲轉,很想學他,
[00:01:32.200 --> 00:01:34.200]  即是學宋尚哲的講道,
[00:01:34.200 --> 00:01:37.200]  在他講道的時候,特別是在講報道會的時候,
[00:01:37.200 --> 00:01:40.800]  又拿一條小手巾出來,「龜家霸,龜家霸」,
[00:01:40.800 --> 00:01:48.100]  結果那些會眾就馬上回家了。
[00:01:48.100 --> 00:01:50.400]  這裏經常提醒我們做傳道人的就是,
[00:01:50.400 --> 00:01:52.900]  有時候我們學到他的表現,
[00:01:52.900 --> 00:01:56.100]  但學不到他裏面實在的敬虔,
[00:01:56.100 --> 00:01:57.500]  你沒有這樣的敬虔生命,
[00:01:57.500 --> 00:01:59.600]  你有這樣的表現,甚至做的動作,
[00:01:59.600 --> 00:02:04.000]  一樣的聲線都不會有同樣的贖命效果。
[00:02:04.000 --> 00:02:09.000]  不過我估計這個同樣地會發生在信徒的生命當中,
[00:02:09.000 --> 00:02:12.400]  就是有時候我們學了怎樣做基督徒,
[00:02:12.400 --> 00:02:16.700]  甚至學了怎樣做一個積極的基督徒,
[00:02:16.700 --> 00:02:19.500]  我們參加聚會,
[00:02:19.500 --> 00:02:22.600]  我們有侍奉,
[00:02:22.600 --> 00:02:24.700]  我們會傳福音,
[00:02:24.700 --> 00:02:27.100]  甚至我們會讀經祈禱,
[00:02:27.100 --> 00:02:32.800]  但我們知道跟上帝的關係好像有很多隔膜,
[00:02:32.800 --> 00:02:35.200]  很遠的距離。
[00:02:35.200 --> 00:02:37.800]  我估計每一個真心跟從耶穌的人,
[00:02:37.800 --> 00:02:40.000]  我相信大部分在座當中都是,
[00:02:40.000 --> 00:02:44.200]  都期望我們做一個表裡一致的基督徒。
[00:02:44.200 --> 00:02:46.400]  我今天安靜的時間,我再祈禱說,
[00:02:46.400 --> 00:02:50.000]  「神啊,究竟你的培靈會最後想做甚麼呢?」
[00:02:50.000 --> 00:02:52.100]  我很想祈禱就是,
[00:02:52.100 --> 00:02:54.600]  神的道在我們心裏面發生作用,
[00:02:54.600 --> 00:02:59.300]  我們能夠在神的面前做一個表裡一致,
[00:02:59.300 --> 00:03:02.600]  很認真成長的基督徒。
[00:03:02.600 --> 00:03:05.500]  我今天晚上,我接著昨晚所說的,
[00:03:05.500 --> 00:03:11.800]  《羅馬書》第六章,十五到二十三節,
