
[00:00:00.000 --> 00:00:03.880]  這段經文講到耶穌聽到
[00:00:03.880 --> 00:00:06.600]  施洗約翰被斬了頭
[00:00:06.600 --> 00:00:10.200]  這個死訊後 耶穌自己上了一艘船
[00:00:10.200 --> 00:00:13.240]  祂希望去到一個比較靜的地方
[00:00:13.240 --> 00:00:16.200]  自己靜一靜 休息一休息 想想事情
[00:00:16.200 --> 00:00:19.760]  但是周圍的群眾聽到耶穌在附近
[00:00:19.760 --> 00:00:21.080]  然後怎樣?
[00:00:21.080 --> 00:00:24.200]  他們在不同的地方不同的城市走出來
[00:00:24.200 --> 00:00:27.320]  在陸地一直追著耶穌
[00:00:27.320 --> 00:00:31.840]  甚至比主耶穌更加早去到曠野的地方
[00:00:31.840 --> 00:00:38.000]  等耶穌來醫病 行神蹟 教導
[00:00:38.000 --> 00:00:39.800]  原本經文告訴我們
[00:00:39.800 --> 00:00:43.200]  耶穌很想靜一靜 休息一下
[00:00:43.200 --> 00:00:45.680]  但是耶穌見到這群群眾
[00:00:45.680 --> 00:00:49.040]  這麼渴求和有這麼大的需要的時候
[00:00:49.040 --> 00:00:51.240]  耶穌就憐憫他們
[00:00:51.240 --> 00:00:55.440]  耶穌憐憫他們 馬上開工
[00:00:55.440 --> 00:01:00.200]  又去做醫治 教導
[00:01:00.200 --> 00:01:04.840]  接著天色已經漸漸入黑了
[00:01:04.840 --> 00:01:07.960]  過了晚上吃飯的時間
[00:01:07.960 --> 00:01:10.720]  但是這一群人仍然沒有東西吃
[00:01:10.720 --> 00:01:12.240]  門徒就請耶穌
[00:01:12.240 --> 00:01:13.960]  耶穌啊 你打發那些人
[00:01:13.960 --> 00:01:15.560]  自己到處去找東西吃 走啦
[00:01:15.560 --> 00:01:19.520]  自己去找東西吃啦 很多人啊
[00:01:19.520 --> 00:01:24.160]  但是耶穌就即場用了五餅二魚這個神蹟
[00:01:24.160 --> 00:01:27.040]  餵飽了幾千人
[00:01:27.040 --> 00:01:28.600]  很有趣 我們留意一下這段經文
[00:01:28.600 --> 00:01:31.640]  有一個很有趣的位置
[00:01:31.640 --> 00:01:35.200]  什麼位置啊
[00:01:35.200 --> 00:01:36.360]  十六節 我們一起讀吧
[00:01:36.360 --> 00:01:37.880]  1 2 3
[00:01:37.880 --> 00:01:40.840]  耶穌說 不用他們去
[00:01:40.840 --> 00:01:46.360]  你們給他們吃吧
[00:01:46.360 --> 00:01:51.200]  門徒只有五個餅
[00:01:51.200 --> 00:01:53.160]  我也不知道用什麼兩字
[00:01:53.160 --> 00:01:56.440]  五餅二魚
[00:01:56.440 --> 00:01:59.120]  五餅二魚怎麼夠餵飽幾千人啊
[00:01:59.120 --> 00:02:00.480]  我們這裡這麼少人
[00:02:00.480 --> 00:02:04.960]  一百人都不夠吃
[00:02:04.960 --> 00:02:07.880]  為什麼耶穌會跟門徒說
[00:02:07.880 --> 00:02:12.840]  不用他們走 你們給他們吃吧
[00:02:12.840 --> 00:02:14.360]  怎麼吃啊
[00:02:14.360 --> 00:02:15.840]  門徒怎麼搞定這一次
[00:02:15.840 --> 00:02:18.400]  這麼難的這個難題 這個功課
[00:02:18.400 --> 00:02:22.040]  耶穌想這群門徒學些什麼
