
[00:00:00.000 --> 00:00:04.020]  各位梁法堂的弟兄姊妹及各位朋友 平安
[00:00:04.020 --> 00:00:06.980]  今天很開心有機會在聖誕節的時候
[00:00:06.980 --> 00:00:09.040]  跟大家一起崇拜
[00:00:09.040 --> 00:00:12.900]  這個也是很難得的一個機會
[00:00:12.900 --> 00:00:16.500]  如果大家想回到大概一年前
[00:00:16.500 --> 00:00:19.620]  可能我們都只能夠在網上崇拜
[00:00:19.620 --> 00:00:23.220]  而且我們這個世界上仍然有些地方
[00:00:23.220 --> 00:00:26.640]  因為疫情的緣故又再次封城
[00:00:26.640 --> 00:00:30.560]  在那些地方想崇拜都不能夠崇拜了
[00:00:30.560 --> 00:00:35.240]  我們中間不知道有沒有第一次來到梁法堂
[00:00:35.240 --> 00:00:36.740]  參與我們的崇拜 有沒有?
[00:00:36.740 --> 00:00:38.400]  如果有 舉一下手好嗎?
[00:00:38.400 --> 00:00:41.920]  都有 非常歡迎大家
[00:00:41.920 --> 00:00:43.620]  我們通常有新朋友
[00:00:43.620 --> 00:00:45.940]  我們都會說一句歡迎光臨
[00:00:45.940 --> 00:00:49.160]  歡迎大家參與教會的崇拜
[00:00:49.160 --> 00:00:53.960]  歡迎光臨這句話我們覺得很普通
[00:00:53.960 --> 00:00:57.420]  很多時候很多的餐廳、食肆都會有
[00:00:57.420 --> 00:00:59.900]  或者別人招呼你的時候
[00:00:59.900 --> 00:01:02.300]  這些職員都會說歡迎光臨
[00:01:02.300 --> 00:01:03.580]  但是在我們生命裏面
[00:01:03.580 --> 00:01:06.720]  是不是真的歡迎光的來臨呢?
[00:01:06.720 --> 00:01:08.940]  在《仰仰呼音》就說過
[00:01:08.940 --> 00:01:10.940]  上主就是這個真光
[00:01:10.940 --> 00:01:13.920]  當耶穌基督來到這個世界上的時候
[00:01:13.920 --> 00:01:17.460]  光照著黑暗裡 黑暗卻不接受光
[00:01:17.460 --> 00:01:21.160]  所以就盼望我們都能夠透過
[00:01:21.160 --> 00:01:23.020]  今天所讀的經文
[00:01:23.020 --> 00:01:24.780]  為生命得道系照亮
[00:01:24.780 --> 00:01:27.580]  光進入我們的生命裏面
[00:01:27.580 --> 00:01:30.180]  我們讀這兩段經文都有光的
[00:01:30.180 --> 00:01:34.180]  今天我們主要集中在《路加福音》這一段
[00:01:34.180 --> 00:01:38.140]  在第九節就有
[00:01:38.140 --> 00:01:40.980]  當時有光就照耀這些牧羊人
[00:01:40.980 --> 00:01:44.260]  他們也都覺得害怕
[00:01:44.260 --> 00:01:45.980]  聖經裏面第九節說到
[00:01:45.980 --> 00:01:49.180]  主的榮光四面照著他們
[00:01:49.180 --> 00:01:51.100]  牧羊人就很懼怕
[00:01:51.100 --> 00:01:52.700]  光照耀我們的生命的時候
[00:01:52.700 --> 00:01:55.360]  我們是不是覺得恐懼呢?
[00:01:55.360 --> 00:01:58.940]  這段經文我就想從三個方面
[00:01:58.940 --> 00:02:01.860]  來跟大家一起思想一下
[00:02:01.860 --> 00:02:06.420]  大家會讀四卷呼音書
[00:02:06.420 --> 00:02:10.260]  四卷呼音書其實是講聖誕的故事
[00:02:10.260 --> 00:02:12.380]  當然大家剛才有看聖經
[00:02:12.380 --> 00:02:14.500]  很有趣的聖經
[00:02:14.500 --> 00:02:18.900]  是有不同的四卷呼音書的描述
[00:02:18.900 --> 00:02:23.420]  馬太福音一開始就描述耶穌出來傳道
[00:02:23.420 --> 00:02:25.620]  施舍而汗然後到祂
[00:02:25.620 --> 00:02:28.660]  《約翰福音》就描述道成了肉身
[00:02:28.660 --> 00:02:31.420]  從一個永恆的角度去講
[00:02:31.420 --> 00:02:33.900]  只有馬太福音和《路加福音》
[00:02:33.900 --> 00:02:37.940]  是講耶穌作為一個人的出生過程
[00:02:37.940 --> 00:02:41.540]  但是這兩卷呼音書也是有些不同的
[00:02:41.540 --> 00:02:45.020]  我就從不同裏面跟大家開始講
[00:02:45.020 --> 00:02:48.660]  大家可能要從少少像一個偵探那樣
[00:02:48.660 --> 00:02:51.740]  比較、了解這些呼音書的不同
[00:02:51.740 --> 00:02:56.860]  來明白今天我們所講的訊息的主要內容
[00:02:56.860 --> 00:03:01.420]  在《路加福音》第二章第一節講到
[00:03:01.420 --> 00:03:04.620]  在那些日子凱撒路古斯都降旨
[00:03:04.620 --> 00:03:07.300]  叫全國人民都登記戶籍
[00:03:07.300 --> 00:03:09.300]  這第一次登記戶籍是在
[00:03:09.300 --> 00:03:13.180]  居利樓作敘利亞總督的時候行的
[00:03:13.180 --> 00:03:16.060]  一個很普通的敘述
