
[00:00:00.000 --> 00:00:10.000]  「你們願意人怎樣待你們,你們也要怎樣待人。」
[00:00:10.000 --> 00:00:15.280]  「你們若單愛那愛你們的人,有甚麼可酬謝的呢?」
[00:00:15.280 --> 00:00:18.640]  「就是罪人也愛愛他們的人。」
[00:00:18.640 --> 00:00:24.480]  「你們若善待那善待你們的人,有甚麼可酬謝的呢?」
[00:00:24.480 --> 00:00:27.280]  「就是罪人也是這樣行。」
[00:00:27.280 --> 00:00:33.440]  「你們若藉給人,只望從他收回,有甚麼可酬謝的呢?」
[00:00:33.440 --> 00:00:38.080]  「就是罪人也藉給罪人,要如數收回。」
[00:00:38.080 --> 00:00:42.160]  「你們都要愛囚敵,也要善待他們。」
[00:00:42.160 --> 00:00:45.280]  「並要藉給人,不只望償還。」
[00:00:45.280 --> 00:00:48.240]  「你們的賞賜就必大了。」
[00:00:48.240 --> 00:00:55.760]  「你們也必作至高者的兒子,因為他恩待那忘恩的和作惡的。」
[00:00:55.760 --> 00:01:00.800]  「你們要慈悲,像你們的父慈悲一樣。」
[00:01:00.800 --> 00:01:07.920]  這是聖經的話語,是《路加福音》第6章第31至第36節
[00:01:07.920 --> 00:01:10.240]  我們今天一起的思想是
[00:01:10.240 --> 00:01:14.000]  如何能夠活出天父的心
[00:01:14.000 --> 00:01:16.320]  能夠愛我們周圍的人
[00:01:16.320 --> 00:01:18.800]  我們說到世界是在比鄰
[00:01:18.800 --> 00:01:20.800]  我們如何能夠愛周圍的人
[00:01:20.800 --> 00:01:24.240]  我們學習如何從我們自己的家開始
[00:01:24.240 --> 00:01:26.720]  如何愛我們自己的家人
[00:01:26.720 --> 00:01:28.720]  如何愛我們自己的親友
[00:01:28.720 --> 00:01:30.240]  如何愛我們的同學
[00:01:30.240 --> 00:01:32.240]  如何愛我們的同事
[00:01:32.240 --> 00:01:36.240]  究竟是如何能夠有這種的愛呢?
[00:01:36.240 --> 00:01:39.120]  我想大家都記得,所以我沒有寫出來
[00:01:39.120 --> 00:01:41.600]  我們時時都讀過
[00:01:41.600 --> 00:01:45.520]  主耶穌賜給我們的大誡命
[00:01:45.520 --> 00:01:48.000]  是哪一條誡命是最大呢?
[00:01:48.000 --> 00:01:50.000]  有人文士這樣問他
