
[00:00:00.000 --> 00:00:07.080]  很感恩再一次有機會和大家分享神的說話
[00:00:07.080 --> 00:00:09.880]  我今天揀選了這段經文
[00:00:09.880 --> 00:00:12.880]  在約翰普音的14章
[00:00:12.880 --> 00:00:19.160]  我首先和大家講講這個經文的背景
[00:00:19.160 --> 00:00:27.480]  約翰普音14章我們看到耶穌在開始和祂在結束的時候
[00:00:27.480 --> 00:00:32.560]  都和那些門徒講你們心裡不要憂愁
[00:00:32.560 --> 00:00:34.560]  為什麼耶穌會這樣講呢
[00:00:34.560 --> 00:00:37.480]  耶穌很快就要升天了
[00:00:37.480 --> 00:00:40.000]  但是那些門徒就不明白
[00:00:40.000 --> 00:00:43.160]  他們不知道耶穌會去哪裡
[00:00:43.160 --> 00:00:47.800]  他們也不能夠跟著耶穌去那個地方
[00:00:47.800 --> 00:00:52.760]  所以他們心裡憂愁其實是可以理解的
[00:00:52.760 --> 00:00:57.840]  耶穌怎樣去安慰這幫門徒呢
[00:00:57.840 --> 00:01:01.960]  就是給他們一些的應許
[00:01:01.960 --> 00:01:07.120]  而這些應許也是我們今天跟隨耶穌的人
[00:01:07.120 --> 00:01:09.120]  也都能夠得著的
[00:01:09.120 --> 00:01:17.440]  所以這些應許就成為了歷世歷代門徒的有福的確據
[00:01:17.440 --> 00:01:25.600]  耶穌在約翰普音14章一共給了門徒6個的確據
[00:01:25.600 --> 00:01:29.120]  其中有3個就在上半部
[00:01:29.120 --> 00:01:31.120]  14章的上半部
[00:01:31.120 --> 00:01:35.560]  而我們今天就看14章的下半部
[00:01:35.560 --> 00:01:40.040]  也都有3個的確據
[00:01:40.040 --> 00:01:44.160]  第一就是門徒有聖靈同在
[00:01:44.160 --> 00:01:46.800]  記載在15至18節
[00:01:46.800 --> 00:01:50.520]  第二就是門徒有天父敬愛
[00:01:50.520 --> 00:01:53.920]  記載在19至24節
[00:01:53.920 --> 00:01:58.800]  第三就是門徒有平安的禮物
[00:01:58.800 --> 00:02:03.360]  記載在25至27節
[00:02:03.360 --> 00:02:07.960]  讓我們一齊看看這一段經文
[00:02:07.960 --> 00:02:14.680]  在講道之先讓我再一次和大家一齊有一個禱告
[00:02:14.680 --> 00:02:18.800]  親愛的天父我們讚美你 因為你是信實的主
[00:02:18.800 --> 00:02:21.480]  你的話語永遠不會落空
[00:02:21.480 --> 00:02:25.440]  你的應許是必定能夠成就
[00:02:25.440 --> 00:02:27.440]  主我們感謝你
[00:02:27.440 --> 00:02:31.520]  因為只要我們抓緊你的應許的時候
[00:02:31.520 --> 00:02:34.960]  我們就無論在什麼環境裡面
[00:02:34.960 --> 00:02:40.400]  我們都能夠有從主你而來那種真正的平安
[00:02:40.400 --> 00:02:44.000]  主求你就將平安賜給我們
[00:02:44.000 --> 00:02:46.000]  無論我們的健康是怎樣
[00:02:46.000 --> 00:02:50.480]  無論我們的家庭環境是怎樣
[00:02:50.480 --> 00:02:52.960]  但是只要我們抓緊主你
[00:02:52.960 --> 00:02:56.120]  我們深信你就會將平安賜給
[00:02:56.120 --> 00:02:58.520]  多謝你聽我們的祈禱
[00:02:58.520 --> 00:03:01.440]  奉耶穌基督聖名祈禱
[00:03:01.440 --> 00:03:02.760]  阿們
[00:03:02.760 --> 00:03:07.240]  在第16和17節
[00:03:07.240 --> 00:03:12.960]  剛才主席都已經讀過了這段經文
[00:03:12.960 --> 00:03:17.040]  我們看到
[00:03:17.040 --> 00:03:24.960]  聖經用了兩個名詞去形容聖靈
