
[00:00:00.000 --> 00:00:06.440]  弟兄姐妹,多謝主席跟我們一起讀出剛才的十六篇經文
[00:00:06.440 --> 00:00:09.240]  當弟兄姐妹你去聽這首詩的時候
[00:00:09.240 --> 00:00:15.580]  不知道你感受到這首詩所給你的一個氣氛是一個如何的氣氛
[00:00:15.580 --> 00:00:18.480]  詩人的感覺他當時是如何的
[00:00:18.480 --> 00:00:21.020]  在開頭的時候他就說
[00:00:21.020 --> 00:00:25.200]  他如果要找投靠的話,他會找神去投靠
[00:00:25.200 --> 00:00:26.440]  這個神是誰呢?
[00:00:26.440 --> 00:00:28.360]  他很清楚透過第二節
[00:00:28.360 --> 00:00:33.400]  就說是耶華,這個是跟他們的祖宗已經立約的時候
[00:00:33.400 --> 00:00:36.600]  呼召他們那位耶華上帝
[00:00:36.600 --> 00:00:38.240]  不是選其他的
[00:00:38.240 --> 00:00:41.740]  他特別說,當他選到耶華之後
[00:00:41.740 --> 00:00:43.540]  第二節的結尾就是
[00:00:43.540 --> 00:00:47.180]  和合本所譯的就是「我的好處不在你以外」
[00:00:47.180 --> 00:00:50.720]  修訂版的就是「我的福氣唯獨從你而愛」
[00:00:50.720 --> 00:00:54.920]  所看的就是人生有些什麼是令到他覺得是好處
[00:00:54.920 --> 00:00:59.240]  和可以叫得上福氣的,是和神拉上關係的
[00:00:59.240 --> 00:01:02.320]  這個是他開頭兩節所帶給我們
[00:01:02.320 --> 00:01:06.320]  已經了解到他怎樣去看上帝
[00:01:06.320 --> 00:01:09.800]  之後的三四節,分別有兩批人
[00:01:09.800 --> 00:01:12.640]  第三節講的聖文是知道
[00:01:12.640 --> 00:01:15.040]  那批人他們是屬於上帝的
[00:01:15.040 --> 00:01:17.040]  他們已經選了上帝
[00:01:17.040 --> 00:01:20.720]  在作者的眼中,這一批人是非常之好
[00:01:20.720 --> 00:01:22.920]  但是第四節所講的就是
[00:01:22.920 --> 00:01:26.000]  有一批人是在追逐其他神的
[00:01:26.000 --> 00:01:29.720]  在追逐偶像,用其他的偶像來代替耶華的
[00:01:29.720 --> 00:01:32.520]  這個詩人就會和他劃清界線
[00:01:32.520 --> 00:01:34.000]  我不會做那些事
[00:01:34.000 --> 00:01:37.760]  他很清楚地在表達這一方面
[00:01:37.760 --> 00:01:39.880]  第五六節所講的就是
[00:01:39.880 --> 00:01:43.440]  他看到上帝對他的祝福
[00:01:43.440 --> 00:01:46.600]  他所有的財寶是從上帝而來的
[00:01:46.600 --> 00:01:50.280]  以至第六節他可以講他一個心聲
[00:01:50.280 --> 00:01:52.720]  我的產業實在美好
[00:01:52.720 --> 00:01:55.920]  在裡面有一份滿足的感覺
[00:01:55.920 --> 00:01:59.040]  七八節就把主題集中在平時
[00:01:59.040 --> 00:02:01.520]  上帝怎樣和他一起去相處
[00:02:01.520 --> 00:02:04.240]  上帝會指教他
[00:02:04.240 --> 00:02:06.040]  到了耶蘭人靜的時候
[00:02:06.040 --> 00:02:07.720]  沒有其他人在他身邊
[00:02:07.720 --> 00:02:10.400]  但是上帝都會透過他的心腸
[00:02:10.400 --> 00:02:13.280]  或者我們今天所理解的良心
[00:02:13.280 --> 00:02:15.520]  人的良知來提醒他
[00:02:15.520 --> 00:02:17.320]  他平時的生活是如何
[00:02:17.320 --> 00:02:20.000]  上帝的提醒是很貼近的
[00:02:20.000 --> 00:02:21.880]  所以所給到他的就是
[00:02:21.880 --> 00:02:25.520]  他要把上帝放在一個他很重視的位置
[00:02:25.520 --> 00:02:27.800]  他把上帝放在他面前
[00:02:27.800 --> 00:02:29.440]  上帝在他右邊
[00:02:29.440 --> 00:02:31.760]  在一個這樣的位置
[00:02:31.760 --> 00:02:35.640]  九至十節講的是他的情緒
[00:02:35.640 --> 00:02:39.000]  很多時候講的是他有開心的處境
[00:02:39.000 --> 00:02:42.840]  就算是面對第十節所講的死亡
[00:02:42.840 --> 00:02:45.280]  他用了陰間這個字來代替
[00:02:45.280 --> 00:02:49.160]  但是他仍然是可以有喜樂的心來面對
[00:02:49.160 --> 00:02:51.760]  最後一節就很強調地
[00:02:51.760 --> 00:02:57.040]  有滿足的喜樂和永遠的福樂
[00:02:57.040 --> 00:03:04.920]  他希望呈現一個表達他當時心靈狀態的字眼
[00:03:04.920 --> 00:03:08.520]  所以我們會看到短短十一節的詩篇
[00:03:08.520 --> 00:03:12.040]  很重複地講的是他的情緒流露
[00:03:12.040 --> 00:03:14.640]  就是看到人生中
[00:03:14.640 --> 00:03:17.200]  上帝以外是沒有好處的
[00:03:17.200 --> 00:03:22.120]  他是可以看到他現在的上帝所給他的東西
[00:03:22.120 --> 00:03:24.000]  是覺得很美好的
[00:03:24.000 --> 00:03:25.920]  他亦都不會有一個搖動
[00:03:25.920 --> 00:03:28.920]  騰振、戰驚的感覺
[00:03:28.920 --> 00:03:32.040]  很多時候都有歡喜、有滿足
[00:03:32.040 --> 00:03:33.800]  我們會看到的就是
[00:03:33.800 --> 00:03:38.080]  這個詩人他是感受到很大的滿足
[00:03:38.080 --> 00:03:39.920]  第一次問我想問一下各位
[00:03:39.920 --> 00:03:44.480]  你們最近一次感受到滿足是甚麼時候?
[00:03:44.480 --> 00:03:49.080]  最近一次你覺得心靈裏面是一個很大的滿足
[00:03:49.080 --> 00:03:52.240]  感覺是甚麼時候?
[00:03:52.240 --> 00:03:54.320]  遙不遙遠?
[00:03:54.320 --> 00:03:57.360]  如果你近的就為到此來感恩
[00:03:57.360 --> 00:03:59.120]  多謝上帝對你的祝福
[00:03:59.120 --> 00:04:01.800]  讓你能夠經歷到上帝的恩典
[00:04:01.800 --> 00:04:06.440]  是可以很近的就已經知道甚麼是滿足
[00:04:06.440 --> 00:04:07.960]  但若果是遙遠的話
[00:04:07.960 --> 00:04:09.080]  我們就會問
[00:04:09.080 --> 00:04:12.400]  這個詩篇十六篇的詩人
[00:04:12.400 --> 00:04:14.680]  他會不會有一個秘訣告訴我們
[00:04:14.680 --> 00:04:19.200]  人生得到滿足的原因和途徑在哪裏呢?
[00:04:19.200 --> 00:04:21.120]  怎樣可以得到滿足呢?
[00:04:21.120 --> 00:04:24.720]  我們一起透過這首詩篇去發掘好嗎?
[00:04:24.720 --> 00:04:26.720]  第一點我想跟大家說的就是
[00:04:26.720 --> 00:04:30.080]  上主是獨一的真神
[00:04:30.080 --> 00:04:32.680]  我們只是效忠於他
[00:04:32.680 --> 00:04:36.200]  詩人他很驚艷到上主是獨一的真神
