
[00:00:00.000 --> 00:00:03.000]  我都有一次教會一位同工
[00:00:03.000 --> 00:00:05.000]  他走來向我辭職
[00:00:05.000 --> 00:00:07.000]  他說 郎牧師好 對不住
[00:00:07.000 --> 00:00:09.000]  我要離開這個崗位
[00:00:09.000 --> 00:00:11.000]  我沒有辦法在這裏侍奉
[00:00:11.000 --> 00:00:14.000]  後來我在他一位朋友那裏才知道
[00:00:14.000 --> 00:00:17.000]  原來是我曾經講了一番說話
[00:00:17.000 --> 00:00:21.000]  那番說話對他帶來一個很大的傷害
[00:00:21.000 --> 00:00:24.000]  原來我在不知不覺之間
[00:00:24.000 --> 00:00:26.000]  我對他帶來很大的傷害
[00:00:26.000 --> 00:00:30.000]  原來我在不知不覺之間
[00:00:30.000 --> 00:00:32.000]  我傷害了一位同工
[00:00:32.000 --> 00:00:35.000]  我亦都在我侍奉的裏面
[00:00:35.000 --> 00:00:38.000]  試過給一些弟兄姊妹講一些說話
[00:00:38.000 --> 00:00:41.000]  帶給我很大的傷害
[00:00:41.000 --> 00:00:43.000]  因此在我們的生命當中
[00:00:43.000 --> 00:00:47.000]  有一個是很難很難學的功課
[00:00:47.000 --> 00:00:49.000]  就是要說
[00:00:49.000 --> 00:00:52.000]  特別我們的仇敵很厲害
[00:00:52.000 --> 00:00:56.000]  他經常在我們一些最親愛的家人裏面
[00:00:56.000 --> 00:00:59.000]  製造一些的傷害
[00:00:59.000 --> 00:01:01.000]  一些的不協調
[00:01:01.000 --> 00:01:02.000]  你想起那個人
[00:01:02.000 --> 00:01:05.000]  你的心裏面就很火熱
[00:01:05.000 --> 00:01:07.000]  你想起他 你就想起一些
[00:01:07.000 --> 00:01:11.000]  我對他各樣的事情都覺得很不妥當
[00:01:11.000 --> 00:01:12.000]  他講的說話
[00:01:12.000 --> 00:01:14.000]  甚至我見到他的樣子
[00:01:14.000 --> 00:01:15.000]  見到他的眼神
[00:01:15.000 --> 00:01:18.000]  我就很不喜歡他了
[00:01:18.000 --> 00:01:21.000]  原來撒旦就是這樣要破壞
[00:01:21.000 --> 00:01:23.000]  我們的家庭關係
[00:01:23.000 --> 00:01:25.000]  破壞我們的人際關係
[00:01:25.000 --> 00:01:28.000]  有人說對我們傷害最大的
[00:01:28.000 --> 00:01:31.000]  就是我們最親的人
[00:01:31.000 --> 00:01:33.000]  原來有很多時候
[00:01:33.000 --> 00:01:35.000]  我們真的需要去學
[00:01:35.000 --> 00:01:38.000]  怎樣可以去寬恕
[00:01:38.000 --> 00:01:40.000]  接納別人
[00:01:40.000 --> 00:01:43.000]  一方面是寬恕
[00:01:43.000 --> 00:01:48.000]  一方面是當他願意和你和好的時候
[00:01:48.000 --> 00:01:52.000]  你能夠重新接納回去
[00:01:52.000 --> 00:01:55.000]  所以今天我想鼓勵各位弟兄姊妹
[00:01:55.000 --> 00:01:59.000]  你學這個很難很難的功課
[00:01:59.000 --> 00:02:01.000]  因為在聖經裏面
[00:02:01.000 --> 00:02:03.000]  是很多次教導
[00:02:03.000 --> 00:02:08.000]  我們必須要去饒恕弟兄姊妹
[00:02:08.000 --> 00:02:11.000]  饒恕那些得罪我們的人
[00:02:11.000 --> 00:02:13.000]  甚至當你去獻祭的時候
[00:02:13.000 --> 00:02:16.000]  你在祭壇的旁邊
[00:02:16.000 --> 00:02:20.000]  想起有弟兄曾經我得罪他的
[00:02:20.000 --> 00:02:24.000]  聖經說你要放下你的祭品
[00:02:24.000 --> 00:02:27.000]  先去和你的弟兄和好
[00:02:27.000 --> 00:02:30.000]  然後你才好回來去獻祭
[00:02:30.000 --> 00:02:33.000]  原來因為當你獻祭的時候
[00:02:33.000 --> 00:02:35.000]  你的心裏面仍然沒有書的話
[00:02:35.000 --> 00:02:38.000]  神是不會越納的
[00:02:38.000 --> 00:02:42.000]  今天我們真的很需要來到天父面前
[00:02:42.000 --> 00:02:45.000]  求聖靈光照我們啟示我們
[00:02:45.000 --> 00:02:51.000]  給我們看見我們需要和什麼人重建關係
[00:02:51.000 --> 00:02:54.000]  重新和好
[00:02:54.000 --> 00:02:57.000]  因為耶穌在十字架上
[00:02:57.000 --> 00:03:01.000]  廢掉了一切的冤仇
[00:03:01.000 --> 00:03:03.000]  叫我們能夠與神和好
[00:03:03.000 --> 00:03:06.000]  也與那些得罪我們的人
[00:03:06.000 --> 00:03:08.000]  能夠彼此的接納
[00:03:08.000 --> 00:03:10.000]  互相的和好
[00:03:10.000 --> 00:03:15.000]  所以我們實在很需要去學這麼重要
[00:03:15.000 --> 00:03:17.000]  這麼難學的功課
[00:03:17.000 --> 00:03:19.000]  我聽過有一位牧師說
[00:03:19.000 --> 00:03:25.000]  他說他和他的父親有一個很大的嚴軀
