
[00:00:00.000 --> 00:00:00.960]  領展會午安
[00:00:00.960 --> 00:00:06.400]  在開始的時候想跟大家介紹一個
[00:00:06.400 --> 00:00:08.200]  業餘的運動員
[00:00:08.200 --> 00:00:11.780]  他不是頂尖那些很厲害的
[00:00:11.780 --> 00:00:16.380]  他的名字叫做鮑伯佐敦
[00:00:16.380 --> 00:00:21.000]  他玩什麼運動呢?就是三項鐵人
[00:00:21.000 --> 00:00:29.440]  顧名思義三項,所以玩三類的運動
[00:00:29.700 --> 00:00:34.560]  一起玩,游泳,跑步,還要踏單車
[00:00:34.560 --> 00:00:40.720]  每一種運動都需要完成某一個距離
[00:00:40.720 --> 00:00:42.240]  這樣才行
[00:00:42.240 --> 00:00:48.900]  所以對這些玩三項鐵人運動的運動員
[00:00:48.900 --> 00:00:53.000]  基本上他需要有足夠的韌力
[00:00:53.000 --> 00:00:58.360]  一般人的比賽要完成這三項運動
[00:00:58.620 --> 00:01:00.920]  起碼需要八小時
[00:01:00.920 --> 00:01:07.080]  而且在過程當中
[00:01:07.080 --> 00:01:11.420]  其實不只是講韌力
[00:01:11.420 --> 00:01:15.000]  如果有一項運動玩得很好
[00:01:15.000 --> 00:01:16.540]  但是你
[00:01:16.540 --> 00:01:18.340]  另外一項
[00:01:18.340 --> 00:01:21.400]  就差一節
[00:01:21.400 --> 00:01:23.700]  其實是不行的
[00:01:23.960 --> 00:01:28.820]  所以要平均也不錯,這樣才行
[00:01:28.820 --> 00:01:33.940]  三項鐵人比賽其中一個
[00:01:33.940 --> 00:01:39.060]  比較高水平的比賽就是美國夏威夷
[00:01:39.060 --> 00:01:42.140]  每年
[00:01:42.140 --> 00:01:45.460]  正是有一定數量的人
[00:01:45.460 --> 00:01:48.020]  參賽會邀請他參賽
[00:01:48.020 --> 00:01:53.660]  其他人如果要參加夏威夷這個比賽
[00:01:53.920 --> 00:01:55.700]  就會入圍申請
[00:01:55.700 --> 00:01:59.800]  看看大會會不會收你
[00:01:59.800 --> 00:02:02.360]  這個鮑伯佐敦
[00:02:02.360 --> 00:02:04.420]  他就很喜歡參加這項比賽
[00:02:04.420 --> 00:02:08.000]  於是他每年都遞交申請表
[00:02:08.000 --> 00:02:10.820]  不過他每年交完申請表
[00:02:10.820 --> 00:02:14.140]  基本上都得到同一個答案
[00:02:14.140 --> 00:02:17.480]  就是你明年再申請
[00:02:17.480 --> 00:02:19.780]  希望你好運
[00:02:19.780 --> 00:02:23.620]  就好像抽獎一樣才可以入圍
[00:02:24.380 --> 00:02:30.020]  他的夢想什麼時候真的可以參與到呢,就是到他的女兒
[00:02:30.020 --> 00:02:31.560]  叫做Emily
[00:02:31.560 --> 00:02:33.860]  5歲的時候
[00:02:33.860 --> 00:02:41.020]  因為當時他的女兒寫了一封信給大會
[00:02:41.020 --> 00:02:46.660]  伯伯的太太,小妹妹的媽媽
[00:02:46.660 --> 00:02:52.540]  就代丈夫寄申請表的時候,就靜悄悄將那封信
