
[00:00:00.000 --> 00:00:03.200]  我在此恭祝大家新年蒙恩
[00:00:03.200 --> 00:00:05.600]  平安健康
[00:00:05.600 --> 00:00:10.580]  我不知道大家在新的一年當中
[00:00:10.580 --> 00:00:13.460]  有些什麼願望
[00:00:13.460 --> 00:00:16.460]  我在此有少許願望
[00:00:16.460 --> 00:00:18.260]  如果一直以來
[00:00:18.260 --> 00:00:21.820]  都在我們教會崇拜當中
[00:00:21.820 --> 00:00:26.140]  參與我們網上崇拜的話
[00:00:26.140 --> 00:00:33.240]  我不知道大家有沒有訂閱我們香港振信教會的YouTube平台
[00:00:33.240 --> 00:00:38.560]  我希望你今天訂閱、讚好和分享
[00:00:38.560 --> 00:00:41.620]  在這個農曆新年的日子當中
[00:00:41.620 --> 00:00:44.360]  你將這個極好的消息
[00:00:44.360 --> 00:00:47.740]  與你周遭的朋友一起分享
[00:00:47.740 --> 00:00:50.680]  首先你應該都會留意到
[00:00:50.680 --> 00:00:53.460]  無論是現在的螢光幕
[00:00:53.460 --> 00:00:57.840]  或者剛才崇拜主席與我們一起分享的時候
[00:00:57.840 --> 00:01:05.100]  你都看到這段純真的祝福的揮春
[00:01:05.100 --> 00:01:10.700]  其實都是我們教會裏面的一群弟兄姊妹、小朋友
[00:01:10.700 --> 00:01:13.460]  很想與大家一起分享的
[00:01:13.460 --> 00:01:18.840]  盼望這種愛我們繼續發揚出去
[00:01:18.840 --> 00:01:23.440]  在現在香港這個社會的處境當中
[00:01:23.440 --> 00:01:25.300]  世界的格局
[00:01:25.300 --> 00:01:30.360]  我不知道你會不會有一個奇想
[00:01:30.360 --> 00:01:35.360]  就是特別是中美之間
[00:01:35.360 --> 00:01:44.020]  如果兩國之間可以有免簽證、出入境自由的優惠
[00:01:44.020 --> 00:01:50.780]  兩國的人民可以自由報考彼此的學校
[00:01:50.780 --> 00:01:55.420]  當然不會看對方是間諜
[00:01:55.420 --> 00:01:59.460]  也有最優惠國待遇
[00:01:59.460 --> 00:02:02.360]  我不知道你會不會幻想到
[00:02:02.360 --> 00:02:07.700]  兩個國家之間有一個這麼好的關係
[00:02:07.700 --> 00:02:11.680]  事實上在歷史當中告訴我們
[00:02:11.680 --> 00:02:16.060]  曾經出現過這麼好的一個環境
[00:02:16.060 --> 00:02:19.700]  就是在1868年的時候
[00:02:19.700 --> 00:02:23.640]  兩國簽署了《蒲安臣條約》
[00:02:23.640 --> 00:02:29.680]  上述所說的免簽證、自由通關
[00:02:29.680 --> 00:02:34.940]  彼此鼓勵的追求學問、文化交流的活動
